"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15"
"1" 0 0 429.841319349682 429.841319349682 0 429.841319349682 0 398.144177160903 387.695737635195
"2" 0 0 388.436196342937 398.144177160903 0 387.500487348434 0 377.792506530469 357.811829681542
"3" 0 0 356.435643564356 356.435643564356 0 356.435643564356 356.435643564356 356.435643564356 312.161774427045
"4" 0 0 326.732673267327 356.435643564356 0 326.732673267327 326.732673267327 297.029702970297 312.161774427045
"5" 0 0 337.323092518226 337.323092518226 0 312.175913290966 337.323092518226 312.175913290966 303.7918237778
"6" 0 0 302.467932473001 302.467932473001 0 296.853678505984 302.467932473001 296.853678505984 295.381154172277
"7" 0 0 276.385044251238 276.385044251238 0 276.385044251238 276.385044251238 276.385044251238 287.008377353629
"8" 270.258620689655 0 270.258620689655 270.258620689655 270.258620689655 270.258620689655 270.258620689655 270.258620689655 277.412557414336
"9" 245.623611056961 0 245.623611056961 273.57791726773 245.623611056961 245.623611056961 245.623611056961 245.623611056961 273.257911367878
"10" 225.037836159727 0 225.037836159727 252.861965928053 225.037836159727 251.464938491986 225.037836159727 252.861965928053 257.500650534134
"11" 248.6129561616 0 248.6129561616 249.550675939673 248.6129561616 229.9757755724 248.6129561616 248.6129561616 236.168458339267
"12" 238.113720163012 0 238.113720163012 265.476421502037 238.113720163012 211.216766931884 238.113720163012 238.113720163012 0
"13" 230.913495350473 229.038055794327 230.913495350473 251.426115495819 230.913495350473 229.038055794327 230.913495350473 230.913495350473 249.385687097018
"14" 233.561590537701 0 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 0
"15" 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 233.561590537701 255.746749874526
"16" 237.569490339385 0 237.569490339385 248.649068926641 0 248.649068926641 237.569490339385 248.649068926641 0
"17" 292.09635365996 0 357.590380200023 392.84741409503 0 372.883994240572 368.681169008055 310.658831770245 0
"18" 282.421195126668 0 281.028814542641 299.013730419648 0 299.013730419648 297.621349835622 299.013730419648 0
"19" 273.625096824167 0 231.564678543764 273.625096824167 257.0100697134 257.0100697134 248.179705654531 273.625096824167 253.946251256374
"20" 277.616164792829 253.675603427942 239.169746049217 277.616164792829 253.675603427942 253.675603427942 263.110307414105 277.616164792829 257.918830075848
"21" 291.529110187594 291.529110187594 291.529110187594 291.529110187594 291.529110187594 291.529110187594 291.529110187594 291.529110187594 298.965506991741
"22" 340.829507431328 339.895727958913 340.829507431328 340.829507431328 340.829507431328 339.895727958913 340.829507431328 340.829507431328 349.677336626316
"23" 365.472160616318 335.706781837282 365.472160616318 392.902999883273 0 340.842768763861 360.336173689739 365.472160616318 371.4830524964
"24" 449.048675148826 437.959612466441 443.445780319831 449.048675148826 0 443.445780319831 437.959612466441 450.916306758491 0
"25" 471.853133107948 467.607516314175 448.856042141677 471.853133107948 0 448.856042141677 467.607516314175 477.042220300338 0
"26" 651.778071745389 0 651.311182009182 651.778071745389 0 643.023889191502 643.49077892771 651.778071745389 0
"27" 651.778071745389 0 651.311182009182 651.778071745389 0 643.023889191502 643.49077892771 651.778071745389 0
"28" 791.494825305423 757.178429694187 791.494825305423 791.494825305423 0 783.207532487744 783.207532487744 786.82592794335 0
"29" 847.638316084351 846.704536611936 847.638316084351 847.638316084351 0 847.638316084351 847.638316084351 801.182787331725 0
"30" 938.798537078826 0 938.798537078826 938.798537078826 0 938.798537078826 938.798537078826 868.648354213679 0
"31" 994.475138121546 0 994.475138121546 994.475138121546 0 994.475138121546 994.475138121546 946.618940160298 0
"32" 0 0 1085.40191424792 1085.40191424792 0 1085.40191424792 1085.40191424792 1071.51194459575 0
"33" 0 0 1113.64874328846 1113.64874328846 0 1102.56011205354 1113.64874328846 1079.33234767722 0
"34" 0 0 1096.49054548284 1096.95743521905 0 1038.94638549529 1095.55676601043 1042.21461364874 0
"35" 0 0 1072.20131702728 1109.24270931326 0 918.273753527751 1030.57384760113 1009.52492944497 0
"36" 0 0 1031.47614971597 999.027313049568 0 916.854719477083 1023.1888568983 970.780484009026 0
"37" 0 0 979.539040451552 928.504233301975 0 918.744120413922 943.555973659454 922.036688617121 0
"38" 0 0 929.810909656836 882.888491168002 0 858.843669753326 874.134308614115 918.255388685705 0
"39" 0 0 823.126604933468 807.252353902419 0 762.781106528675 775.27040697222 831.413897751147 0
"40" 0 0 823.126604933468 807.252353902419 0 762.781106528675 775.27040697222 831.413897751147 0
"41" 0 0 774.803517236013 763.13127383083 0 726.597151972609 754.377091276943 783.090810053692 0
"42" 742.704847871761 0 746.906855497626 753.910201540736 0 743.638627344175 743.638627344175 746.906855497626 0
"43" 765.276193579924 0 780.796806257128 796.317418934332 0 777.863777089783 763.320840801694 733.135082287762 0
"44" 742.938292739864 0 742.938292739864 752.626254766166 0 738.269395377791 738.269395377791 752.159365029958 0
"45" 774.929444967074 0 774.929444967074 801.152398871119 0 773.51834430856 774.929444967074 755.87958607714 0
"46" 778.385986862683 0 778.385986862683 778.855176728182 0 753.284329058492 777.916796997184 725.250234594932 0
"47" 785.361682279317 0 740.817040463326 794.573794068488 0 744.898355812959 785.361682279317 750.612197302445 0
"48" 773.290464240903 0 753.999372647427 787.2882685069 0 773.643350062735 767.173776662484 747.059284818067 0
"49" 763.789015431259 0 711.78139697594 794.340576048509 0 711.78139697594 711.78139697594 719.360982625257 0
"50" 730.880512980919 0 740.733500156396 791.054113231154 0 740.733500156396 715.045355020331 679.03503284329 0
