"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-07" "2018-07-23"
"924" 644.951516084346 655.918116053563 646.360094721564 646.360094721564 0 655.918116053563 649.569031860858 644.951516084346 646.360094721564 0 0 603.047895500725 646.360094721564 602.58956535024 622.641509433962 0 646.360094721564 0 0
"925" 655.918116053563 649.569031860858 649.617258176757 649.617258176757 0 660.535631830075 655.918116053563 644.951516084346 649.617258176757 0 0 633.495708652285 649.617258176757 633.495708652285 633.495708652285 0 649.617258176757 0 0
"926" 671.617669693704 645.413267661997 657.967988865692 663.071213175597 0 671.617669693704 671.617669693704 645.413267661997 657.967988865692 0 0 657.967988865692 657.967988865692 657.967988865692 631.176061238692 0 657.967988865692 0 0
"927" 647.063405514878 647.063405514878 657.967988865692 674.089538390165 0 674.520953419536 674.520953419536 647.063405514878 633.495708652285 0 0 606.703781025284 657.967988865692 657.967988865692 631.176061238692 0 633.495708652285 0 0
"928" 663.662057902375 663.662057902375 644.538461538462 660.576923076923 0 663.662057902375 663.662057902375 646.360094721564 644.538461538462 0 0 618.346153846154 644.538461538462 644.538461538462 618.807692307692 0 644.076923076923 0 0
"929" 661.487018095987 661.487018095987 638.342370255615 661.46398140976 0 661.487018095987 661.487018095987 661.487018095987 638.342370255615 0 0 637.877614252517 638.342370255615 638.342370255615 639.736638264911 0 638.342370255615 0 0
"930" 674.417692729982 674.417692729982 630.680516306423 650.729397387917 0 718.884793349541 674.417692729982 674.417692729982 630.680516306423 0 0 629.763996028412 630.680516306423 802.986328572519 817.650653020698 0 630.680516306423 0 0
"931" 674.417692729982 648.184456121088 662.070577237672 662.070577237672 0 786.761822602149 674.417692729982 648.184456121088 662.070577237672 0 0 637.882682869829 662.070577237672 811.638233232063 856.742229492872 0 662.070577237672 0 0
"932" 665.182029434547 638.342370255615 635.865792518319 635.865792518319 0 778.001549186677 665.182029434547 638.342370255615 635.865792518319 0 0 623.949093713845 635.865792518319 892.364057076745 888.198997300425 0 635.865792518319 0 0
"933" 638.342370255615 638.342370255615 644.195912070961 651.60046278442 0 808.907823392719 638.342370255615 638.342370255615 644.195912070961 0 0 617.470111839568 644.195912070961 927.767065175473 908.44581565754 0 644.195912070961 0 0
"934" 650.865998176846 650.865998176846 624.874662553028 635.865792518319 0 906.107566089334 625 625 624.874662553028 0 0 623.949093713845 624.874662553028 937.948322406479 924.990358657925 635.865792518319 624.874662553028 0 0
"935" 648.184456121088 648.184456121088 644.195912070961 651.60046278442 0 966.865343894596 633.715002744882 632.30334875696 644.195912070961 0 0 617.470111839568 644.195912070961 974.73968376398 921.750867720787 0 644.195912070961 0 0
