"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"24" 507.004540339167 0 0 0 0 0 469.51763747138
"25" 428.218694885361 0 0 0 0 0 441.857730746619
"26" 383.982401824995 0 0 348.052794525012 0 0 496.781815219162
"27" 360.989526340472 0 0 327.458183523526 0 0 444.817883382835
"28" 344.26429851719 0 0 295.624898158709 0 0 414.290369887567
"29" 346.561977688809 0 0 286.275119524235 0 0 404.050219613635
"30" 355.908289241622 0 0 286.654908877131 0 0 382.010582010582
"31" 380.378590585766 0 0 282.077195164613 0 0 353.558518288179
"32" 372.191392758741 0 0 276.378594435174 0 0 357.871861539058
"33" 360.051586681257 391.707050179771 0 268.719712365171 0 346.920431452243 391.707050179771
"34" 334.704489890954 349.024021110636 349.024021110636 230.97520276301 0 348.558345298614 349.024021110636
"35" 313.389088635297 356.182585586993 378.575894950758 227.684852274503 0 369.313740816007 335.782397999062
"36" 266.416816033892 358.68502525664 361.618054423985 198.346097441747 281.937428711096 300.391070555646 300.391070555646
"37" 253.909465020576 325.338036449147 314.050558495003 206.114050558495 247.148736037625 274.779541446208 290.182245737801
"38" 242.036011080332 282.915105100211 279.982075932866 196.390744663516 264.461463255662 279.982075932866 250.773993808049
"39" 258.158142453718 302.63570756197 301.223721368057 177.557263884531 261.805773454659 286.162535299655 258.158142453718
"40" 225.988261359661 314.611108951685 300.151591712986 169.316282504761 218.525284720333 246.394838107824 238.931861468496
"41" 211.73449537001 263.325811220916 262.858921484709 174.61676134153 246.634503151506 262.858921484709 211.73449537001
"42" 231.464885123024 264.461463255662 279.982075932866 180.870131986312 264.461463255662 264.461463255662 231.464885123024
"43" 255.388685705392 272.079993774803 295.307758151116 200.178974398879 272.079993774803 272.079993774803 272.079993774803
"44" 259.340315773018 301.782085352509 311.044239487259 201.539784273878 294.278568078787 294.278568078787 294.278568078787
"45" 245.030145021997 281.937428711096 301.368746944761 169.13801531693 264.461463255662 264.461463255662 248.940850578458
"46" 222.823126604933 305.579332347677 307.330168858454 168.255388685705 252.120457551941 265.601898684927 222.764765387908
"47" 214.844386508066 313.956330454619 314.934006843734 165.227309760469 0 295.013850415512 207.084080169464
"48" 218.621118979068 318.535522527429 331.958602443389 164.345187144969 0 343.630845848572 217.220449770446
"49" 200.917324211917 304.815952112566 315.893808061569 133.167489408015 0 318.692424301317 209.196563921172
"50" 202.031691245685 372.411358644493 361.468465641669 134.609350486351 0 396.003294634453 246.391590837778
"51" 212.461616200878 451.393477669374 389.240875344968 135.966105647763 0 451.393477669374 251.059198507404
"52" 187.857115093093 503.401096124693 422.241225171998 163.369222995297 0 503.401096124693 275.66369961519
"53" 231.436610911365 509.535719868688 427.465999687353 175.394716273253 0 518.797874003439 285.368141316242
"54" 205.067622616914 508.513931888544 449.120091249796 170.115691706045 0 511.874694476128 281.937428711096
"55" 210.817166372722 488.653733098177 466.196355085244 222.104644326866 0 488.653733098177 297.707231040564
"56" 264.853118087624 487.56257518724 487.56257518724 248.088788854825 0 487.56257518724 335.286584655982
"57" 298.148938647211 487.56257518724 487.56257518724 268.927781442819 0 487.56257518724 382.552679576235
"58" 332.86302175191 487.242798353909 487.713109935332 327.219282774838 0 487.242798353909 408.583186360964
"59" 383.289796873172 516.394401341182 516.394401341182 363.289017115677 0 516.394401341182 442.005536278217
"60" 446.913580246913 510.640799529688 511.111111111111 408.112874779541 0 510.640799529688 482.539682539682
"61" 447.50282662092 508.440874887909 527.038091153651 0 0 508.440874887909 475.92498732894
"62" 474.989278334437 520.488128192132 520.488128192132 0 0 520.488128192132 426.215446995984
"63" 474.174395591602 534.828670107493 535.294345919515 0 0 534.828670107493 410.726066203577
"64" 478.777189888301 510.170487948265 510.170487948265 0 0 510.170487948265 382.480893592004
"65" 429.022573979492 473.117860345432 473.117860345432 0 0 473.117860345432 364.809544231744
"66" 421.785866739105 474.989328262641 474.989328262641 0 0 474.989328262641 369.397337886608
"67" 433.509700176366 459.611992945326 459.611992945326 0 0 459.611992945326 370.252792475014
"68" 367.382743966626 428.905610355179 414.869975437638 0 0 428.905610355179 336.270419899411
"69" 380.107881563118 428.771003919438 440.296480266987 0 0 443.556210951142 317.590903799138
"70" 360.258671369782 412.580834803057 382.59847148736 0 0 425.396825396825 318.988830099941
"71" 305.508986705134 366.914889469375 366.914889469375 244.103083940894 0 377.149206596748 280.361807477874
"72" 313.865497302961 384.182544918312 380.457138422135 250.766424773953 0 377.197407737979 285.575691722612
"73" 286.041367534634 380.922814234157 380.457138422135 222.942295005627 0 356.358415149986 285.575691722612
"74" 287.125220458553 382.951205173427 386.713697824809 223.045267489712 0 413.874191651969 277.7189888301
"75" 276.163808190409 367.985065919962 386.53599346634 215.027418037568 0 398.669933496674 264.146540660366
"76" 275.449335256735 367.616671215252 368.084525712503 214.511286989746 0 398.261140785215 255.448555499239
"77" 276.607387140903 374.516318155169 372.640218878249 219.738127809263 0 398.788352550322 281.297635333203
"78" 283.189655172413 402.390282131661 394.866771159874 244.866771159874 0 403.330721003134 304.702194357366
"79" 327.35304374782 446.041771612353 425.233463788894 267.718060991204 0 446.041771612353 327.35304374782
"80" 0 459.667043549456 459.667043549456 304.807204959257 0 459.667043549456 337.323092518226
"81" 0 455.289968652037 455.289968652037 270.728840125392 0 455.289968652037 335.26645768025
