"2016-06-17" "2016-06-29" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"16" 8.19241529625241 74.6759483018401 13.7958306558312 45.5441934888437 0 16.4690167811227 11.1226445305397 30.1526723905312
"17" 8.19241529625241 74.6759483018401 13.7958306558312 45.5441934888437 0 16.4690167811227 11.1226445305397 30.1526723905312
"18" 2.51134946436316 68.7536850645459 7.31427691543068 42.0170787927685 0 7.31427691543068 7.31427691543068 21.334426973745
"19" NA 63.5484841117624 0.251915514126322 39.2724934899123 0 0.251915514126322 0.251915514126322 14.1452327804205
"20" NA 63.5484841117624 0.251915514126322 39.2724934899123 0 0.251915514126322 0.251915514126322 14.1452327804205
"21" NA 59.6947358803092 0.431993184065409 34.2178594408787 0 NA NA 7.39207236784454
"22" NA 59.6947358803092 0.431993184065409 34.2178594408787 0 NA NA 7.39207236784454
"23" NA 63.9253562171465 13.8460645602908 35.2343220251414 0 NA 0.0310822910444413 0.0310822910444413
"24" NA 77.3540032988637 18.4614194137211 37.2382519313652 0 NA 0.0414430547259218 0.0414430547259218
"25" 0.431993184065409 77.3540032988637 19.8740098838027 35.7568020601864 0 0.431993184065409 2.65448129673305 2.65448129673305
"26" 3.4942857261011 0 25.1837744376833 38.1550439996598 0 3.4942857261011 7.96424585061364 7.96424585061364
"27" 8.0562228528962 0 27.0345254755307 38.4171495340601 0 8.0562228528962 11.9674379618447 11.9674379618447
"28" 13.4958151568009 0 30.3654174880315 40.7415750408074 0 13.4958151568009 15.5267079949494 16.9724508091996
"29" 27.6099296789761 0 44.9689623140405 44.9689623140405 0 27.6099296789761 27.9305060985878 32.0798898034887
"30" 37.8680970134939 0 48.7603703517365 48.7963008853075 0 37.9040275470649 37.3353232607946 42.3739876715775
"31" 46.5824399940653 77.20685683984 55.4160358448534 59.962435949364 0 50.2837977825098 46.085180669409 55.00897291648
"32" 50.5056193989777 68.5687991082987 57.4352985503956 66.1797074192474 0 55.4687605400313 48.0947652667816 61.2165662781938
"33" 51.0748909079287 61.2815533348384 56.6265786944953 68.9336565908529 0 56.6265786944953 46.6974987653683 65.4771948623128
"34" 52.6584777889953 61.2815533348384 59.0032638307858 73.0684957123374 0 59.0032638307858 47.6557439117835 69.118253736863
"35" 51.9327984891548 61.2815533348384 59.3350488712437 75.7444860663872 0 59.3350488712437 48.2648898537828 71.1358704283337
"36" 42.7530262758332 55.1133282545342 55.2233190530859 68.2266332069267 0 53.6657153482577 40.0020947993042 67.0937603437833
"37" 35.3613155655972 55.1133282545342 49.7803290310794 64.9100376653457 0 47.7035240913085 34.3657403645677 65.6075840853426
"38" 32.3639278959788 51.8404909814821 44.5252222484655 59.2003917051348 21.4428658756093 42.3256109901281 30.9354009794252 61.5541935801707
"39" 27.2649946370443 45.1362255441896 37.3840642251291 50.0733085135556 36.3788864743594 34.8702227870292 22.6554802133699 59.4236770254059
"40" 27.2649946370443 45.1362255441896 37.3840642251291 50.0733085135556 36.3788864743594 34.8702227870292 22.6554802133699 59.4236770254059
"41" 31.5255157209131 44.5732375244077 39.7911549649743 50.4810352001345 39.2952085193861 37.5915437066369 27.492190600198 58.4193391706243
"42" 31.5255157209131 44.5732375244077 39.7911549649743 50.4810352001345 39.2952085193861 37.5915437066369 27.492190600198 58.4193391706243
"43" 40.6204066803021 45.9079416461583 41.9674409336772 50.9604955773462 42.808941363397 39.2614764032972 34.5231245827162 55.5432321940039
"44" 40.6204066803021 45.9079416461583 41.9674409336772 50.9604955773462 42.808941363397 39.2614764032972 34.5231245827162 55.5432321940039
"45" 47.4068250670138 46.8077591850808 47.4068250670138 56.6053732912148 47.4068250670138 43.4051248710803 40.0536452661467 59.1073098148512
"46" 47.4068250670138 46.8077591850808 47.4068250670138 56.6053732912148 47.4068250670138 43.4051248710803 40.0536452661467 59.1073098148512
"47" 47.4638825491651 47.9436852566182 47.4638825491651 56.9001005361648 47.4638825491651 42.8905108966697 42.8905108966697 60.3255518821243
"48" 48.9815589340606 56.491672596002 48.9815589340606 57.1531272993916 48.9815589340606 42.5788386205671 42.5788386205671 59.92730168752
"49" 37.1689116849674 59.8003751703506 41.3724933802193 52.7279760303509 37.1689116849674 34.7423894133387 32.5955400324721 57.282232992571
"50" 31.3991669695847 61.4547264575249 37.2841813429373 54.7827999875344 31.3991669695847 31.3043669522978 28.2987778190845 62.8099253161392
"51" 22.4279764068462 60.8913351287141 35.249100521998 48.3218049804328 22.4279764068462 30.4041133878186 20.2134127279175 55.2013776795662
"52" 9.32682632999717 56.736798913547 29.6360609928827 40.1763741123878 9.32682632999717 26.5672336284236 9.32682632999717 52.5521570202913
"53" 9.32682632999717 56.736798913547 29.6360609928827 40.1763741123878 9.32682632999717 26.5672336284236 9.32682632999717 52.5521570202913
"54" 6.78068173321182 49.7116851454607 28.7753995074674 34.8677387517995 6.78068173321182 26.1449760522167 6.78068173321182 46.6155030057861
"55" 6.43803700160274 45.014468620635 31.345627512208 32.1487951094197 6.43803700160274 30.5424599149963 6.43803700160274 44.9938797060212
"56" 10.7369153999414 42.8839417491349 31.4932408254457 32.1625471564555 10.7369153999414 30.823934494436 10.7369153999414 42.8667843202901
"57" 21.5227518579887 36.7393212988373 32.1922198984768 35.4423032088857 21.5227518579887 32.2252777936098 21.5227518579887 46.7557410375228
"58" 21.5227518579887 36.7393212988373 32.1922198984768 35.4423032088857 21.5227518579887 32.2252777936098 21.5227518579887 46.7557410375228
