"2018-05-21" "2018-06-01" "2018-06-03" "2018-06-08" "2018-06-21" "2018-06-25" "2018-07-04" "2018-07-20" "2018-07-21" "2018-07-22" "2018-07-24" "2018-09-08" "2018-09-11" "2018-09-14" "2016-08-17" "2017-06-15" "2017-06-22" "2017-06-28" "2017-06-29" "2017-07-19" "2017-07-18" "2017-07-29" "2017-07-31" "2017-08-08" "2017-08-10" "2017-08-28" "2017-09-02" "2017-09-06" "2017-09-07" "2017-09-08" "2017-09-14" "2017-09-15" "2017-09-16"
59.4699999999994 NA 46.9499999999995 56.3399999999994 NA 43.8199999999995 53.2099999999994 43.8199999999995 NA 46.9499999999995 40.6899999999996 NA 68.8599999999993 59.4699999999994 NA 37.5599999999996 40.6899999999996 31.2999999999997 34.4299999999996 46.9499999999995 37.5599999999996 NA 34.4299999999996 28.1699999999997 43.8199999999995 53.2099999999994 53.2099999999994 43.8199999999995 53.2099999999994 NA NA 46.9499999999995 50.0799999999995
84.5099999999991 NA 62.5999999999993 71.9899999999992 NA 62.5999999999993 65.7299999999993 65.7299999999993 NA 62.5999999999993 56.3399999999994 NA 84.5099999999991 71.9899999999992 NA 56.3399999999994 56.3399999999994 NA 46.9499999999995 59.4699999999994 50.0799999999995 NA 56.3399999999994 37.5599999999996 59.4699999999994 68.8599999999993 59.4699999999994 NA 62.5999999999993 NA NA 59.4699999999994 56.3399999999994
84.5099999999991 NA 59.4699999999994 65.7299999999993 NA 59.4699999999994 62.5999999999993 62.5999999999993 NA 56.3399999999994 50.0799999999995 NA 62.5999999999993 68.8599999999993 NA 50.0799999999995 59.4699999999994 NA 43.8199999999995 53.2099999999994 46.9499999999995 NA 53.2099999999994 40.6899999999996 56.3399999999994 62.5999999999993 62.5999999999993 NA 62.5999999999993 NA NA 56.3399999999994 56.3399999999994
87.6399999999991 NA 75.1199999999992 81.3799999999991 NA 71.9899999999992 78.2499999999992 78.2499999999992 NA 71.9899999999992 62.5999999999993 NA 87.6399999999991 78.2499999999992 NA 65.7299999999993 68.8599999999993 NA 62.5999999999993 71.9899999999992 59.4699999999994 NA 71.9899999999992 56.3399999999994 68.8599999999993 68.8599999999993 71.9899999999992 NA 71.9899999999992 NA NA 71.9899999999992 65.7299999999993
68.8599999999993 NA 62.5999999999993 65.7299999999993 NA 50.0799999999995 59.4699999999994 56.3399999999994 NA 53.2099999999994 46.9499999999995 NA 75.1199999999992 68.8599999999993 NA 53.2099999999994 56.3399999999994 37.5599999999996 40.6899999999996 53.2099999999994 40.6899999999996 NA 53.2099999999994 34.4299999999996 53.2099999999994 62.5999999999993 62.5999999999993 59.4699999999994 62.5999999999993 NA NA 62.5999999999993 53.2099999999994
90.769999999999 NA 78.2499999999992 84.5099999999991 NA 68.8599999999993 78.2499999999992 75.1199999999992 NA 71.9899999999992 62.5999999999993 NA 93.899999999999 87.6399999999991 NA 65.7299999999993 75.1199999999992 34.4299999999996 53.2099999999994 71.9899999999992 65.7299999999993 NA 62.5999999999993 50.0799999999995 68.8599999999993 84.5099999999991 84.5099999999991 65.7299999999993 78.2499999999992 NA NA 78.2499999999992 68.8599999999993
84.5099999999991 NA 71.9899999999992 78.2499999999992 NA 62.5999999999993 75.1199999999992 68.8599999999993 NA 65.7299999999993 56.3399999999994 NA 90.769999999999 81.3799999999991 NA 62.5999999999993 65.7299999999993 37.5599999999996 50.0799999999995 65.7299999999993 56.3399999999994 NA 46.9499999999995 34.4299999999996 62.5999999999993 68.8599999999993 75.1199999999992 71.9899999999992 68.8599999999993 NA NA 75.1199999999992 68.8599999999993
65.7299999999993 NA 46.9499999999995 56.3399999999994 NA 40.6899999999996 43.8199999999995 40.6899999999996 NA 40.6899999999996 34.4299999999996 NA 50.0799999999995 56.3399999999994 NA 40.6899999999996 40.6899999999996 28.1699999999997 37.5599999999996 46.9499999999995 37.5599999999996 NA 34.4299999999996 43.8199999999995 46.9499999999995 46.9499999999995 46.9499999999995 37.5599999999996 34.4299999999996 NA NA 46.9499999999995 28.1699999999997
62.5999999999993 50.0799999999995 56.3399999999994 59.4699999999994 34.4299999999996 40.6899999999996 43.8199999999995 43.8199999999995 65.7299999999993 46.9499999999995 40.6899999999996 NA 62.5999999999993 65.7299999999993 NA 40.6899999999996 43.8199999999995 31.2999999999997 31.2999999999997 46.9499999999995 40.6899999999996 62.5999999999993 46.9499999999995 40.6899999999996 46.9499999999995 43.8199999999995 46.9499999999995 46.9499999999995 40.6899999999996 NA 46.9499999999995 43.8199999999995 40.6899999999996
46.9499999999995 NA 31.2999999999997 40.6899999999996 NA 21.9099999999998 37.5599999999996 31.2999999999997 NA 31.2999999999997 18.7799999999998 NA 46.9499999999995 43.8199999999995 NA 25.0399999999997 28.1699999999997 18.7799999999998 25.0399999999997 25.0399999999997 21.9099999999998 NA 21.9099999999998 9.3899999999999 28.1699999999997 34.4299999999996 34.4299999999996 31.2999999999997 31.2999999999997 NA NA 34.4299999999996 31.2999999999997
