"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15" "2016-05-17" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-08-26" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-04" "2018-06-09" "2018-06-21" "2018-06-26" "2018-06-27" "2018-06-30" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-10" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-13"
296.289938602148 NA NA NA NA 315.920630647532 NA 156.617962358719 NA 146.525161627861 165.017042520782 579.623748517435 579.623748517435 134.160298607909 371.005290699228 323.88654762462 NA 567.223968185152 607.524971125101 615.049383997405 401.948250805924 285.088709659563 193.147924181871 175.942127658285 347.755490526903 202.183585084656 NA 338.135514940436 427.381724640407 NA 487.3174037108 NA 514.177385647555 421.170552604295 418.182280937518 395.43284573807 666.124956445169 634.246530140356 698.748539703751 628.568116199184 423.79980687822
301.270565165439 NA NA NA NA 323.11315691048 NA 163.248959594452 NA 151.739714588149 173.461295310057 572.197198770255 572.197198770255 138.83118844998 365.158565813179 334.568910382331 NA 560.822536091945 605.182626882562 604.753207423516 401.426773821782 289.413170122765 197.525048357546 181.741549653059 354.601728056411 214.64265076342 NA 344.545499944744 432.483909559233 NA 492.532032745497 NA 506.277776080235 421.114194362277 423.108054123355 394.219927973656 616.397253491891 626.922163453916 681.197063455016 609.423497278645 420.956414158463
296.289938602148 NA NA NA NA 321.773836488309 NA 160.993763170779 NA 148.7943255122 171.940739644841 577.56783161518 577.56783161518 136.800080978483 366.491072792318 330.175040429368 NA 566.997765974264 607.930307013572 612.35589371304 403.777552444411 287.516273396501 196.602747463384 177.609935084977 352.530525081977 209.389313100378 NA 342.295620224358 430.510146114686 NA 489.16242396406 NA 512.668676818464 421.624470609567 421.782354369534 396.693059782575 641.598136159008 633.341357172555 693.088539475974 618.503432190497 423.572174986378
301.270565165439 NA NA NA NA 320.91270362412 NA 165.893722269822 NA 154.200388302723 172.824394108077 563.752555412658 563.752555412658 140.545033473341 364.387149032136 336.598824260501 NA 551.892571742269 596.97818485264 597.805497730238 397.912863229661 289.332535653448 195.679624895484 182.392970405164 354.538538022217 215.854443802631 NA 343.99044739894 431.251020437351 NA 494.663189685347 NA 495.587527781263 420.215452767603 422.287711335584 390.466171080431 592.286035912858 616.194337591618 664.945235980343 601.842364369992 415.994382300385
301.267639157406 NA NA NA NA 318.795678601931 NA 165.299557890618 NA 155.666106181449 172.426383245832 551.419747771504 551.419747771504 143.103928241673 359.617289994679 343.094600492329 NA 542.057352369577 579.53631735443 582.563509079707 385.011272357412 284.737907248186 187.231348905699 180.857111389522 355.020670052764 220.13283459249 NA 346.727679586075 430.523273101819 NA 502.445632513614 NA 477.434892581877 417.88838782951 421.250985561726 385.47399846535 543.483278669989 598.251307779833 631.903003436962 583.160114094121 404.619334856681
301.270565165439 NA NA NA NA 318.848304082148 NA 164.581615937657 NA 153.698819128453 172.515651332374 555.020413656718 555.020413656718 141.278761991584 358.739179542857 339.942881259212 NA 542.415168877211 584.628644008473 588.943670921088 392.592025468861 289.500097053814 191.179169940427 182.886525201017 354.593826303706 218.522779886772 NA 345.644882671926 429.79259118945 NA 499.227990429501 NA 484.033947942577 417.822039120666 421.125731328132 385.793490791091 563.150924490715 603.745474258134 646.186598384748 588.957071342065 408.816876514597
293.801088324519 NA NA NA NA 306.09912254935 NA 151.509636783843 NA 137.878806951612 166.188140423552 572.365751446422 572.365751446422 132.816104608997 363.944770081117 318.835833671101 NA 554.061394174008 595.390744704469 611.087947005591 394.435438846546 290.202585028922 187.795146381706 174.737513699246 342.942342162394 204.239395739638 NA 339.67512185082 417.027578582277 NA 484.329655739696 NA 505.841421384278 413.410971205658 410.383675621358 386.732357455453 657.116259667665 620.611170306461 688.899408662937 622.932204131612 417.89126284524
286.328685475566 NA NA NA NA 294.900120350619 NA 150.079634036919 NA 132.324745798348 170.189283632423 563.601605109822 563.601605109822 133.521200012657 353.360657352414 310.87905619288 NA 542.347303221388 580.569637044638 600.255584824066 382.96349837579 297.269776321471 188.702609720999 172.7286533643 334.256984231401 212.935709668964 NA 333.633374172751 405.051627227353 NA 477.62461061937 NA 496.700903777924 400.869172349098 398.995103665911 375.007966763177 638.414977970655 603.139874435045 668.946011593492 612.009275710821 408.020378091152
286.328685475566 NA NA NA NA 279.717626124002 NA 148.692675953693 NA 128.333305442388 173.187372428138 542.492493856113 542.492493856113 131.67607354831 333.77717269472 298.013382988353 NA 515.558942224264 549.937906178545 581.485131302279 370.034893758738 307.071127858264 191.463063141016 167.962609881419 322.776718215833 222.168790626055 NA 325.021764855105 384.905752159287 NA 465.829651966822 NA 475.10574364481 383.266721252975 381.41185115847 357.176239711806 598.585280856995 572.644900586636 633.323315651527 588.228180483481 394.172983145028
NA NA NA NA NA 468.669737993922 NA 344.125364659803 NA 329.947428368217 368.829755914784 739.616668464637 739.616668464637 281.412945924802 515.338352366705 512.197664177511 NA 721.514284510467 770.582532708417 756.308472456727 499.69529773832 444.970764570605 397.867770515753 NA 482.306362790517 401.793298011928 NA 440.588710394062 555.853884260751 NA 650.414925075942 NA 642.150026661558 537.240203616128 553.113578388385 509.556780311797 650.993028561916 767.097231304232 772.530204554783 739.621240704646 486.002563335733
