"2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15"
587.23158898343 588.027665300581 741.395324596091 791.557494103384 NA 473.52964775091 795.862237548709 618.352926859566 795.862237548709 669.864933397752 748.551129556402 695.176907381028 756.857130631105 590.381583059498 611.96732127062 491.59741677685 479.454527998831 NA 482.47966869943 NA 753.998679681794 621.821670824833 583.699940872683
578.921463284575 593.164316753133 751.956339415711 792.194714998659 NA 470.315610305561 796.499458443984 603.519756898576 796.499458443984 642.004619122982 759.179969823425 674.1249273623 769.308779797082 583.524367242366 596.24939787423 488.356519385845 476.206686752993 NA 477.076835172456 NA 766.450328847771 609.749365226351 568.44941606043
528.902924805103 445.40057337716 635.363800803119 639.354406532394 NA 511.143206271715 657.465958118039 571.383090532993 644.95153823439 594.52168725143 635.645659332647 603.125828914427 649.902765669437 573.93845495559 555.09581993336 522.679182191511 498.830214840078 NA 504.516314847011 NA 635.63041059041 535.586491978533 537.938590278894
517.385585891802 430.618832922094 643.344908890885 644.363704221897 NA 499.229445948636 662.910525468215 559.370061939047 649.982009028583 584.394276903478 644.405020409449 593.412515122458 655.347333019613 561.379237980618 541.331286197222 511.319816138002 483.255126105983 NA 486.265198968925 NA 640.639708279913 526.913180904125 524.799962704334
599.995708982645 585.064400346295 730.455010349168 788.361398713718 NA 477.049928736398 792.666142159043 637.076803842713 792.666142159043 695.021945505321 735.596429848171 706.649492635257 741.753191204743 600.464139962001 629.274000652179 494.885158027812 482.974808984319 NA 487.276091948609 NA 738.894740255431 634.829870770128 599.358621966694
510.882152478587 421.05693796045 650.255842329295 649.352729646055 NA 487.633343710611 668.312498136966 547.120397574774 654.861591241077 570.638710385061 651.108393262668 579.656948604041 660.226915232107 544.466390129877 527.351713671914 500.774159045022 473.141442778349 NA 472.519196206207 NA 645.628733704071 520.185844080008 512.468876821682
507.497640464971 419.386895775414 654.8316741813 655.762153290336 NA 478.04751723538 674.887328454969 538.313987079124 661.271305469501 559.403119988964 657.985340073894 568.421358207945 666.636629460532 532.685003385648 519.441921427166 494.768200629212 465.855276671597 NA 462.187337109946 NA 652.476187894729 516.147736933533 499.196475280373
503.865221358544 419.887127342809 659.539765161163 663.18194904219 NA 469.14916045618 681.522354417171 532.773084385121 668.691101221356 550.826386293882 666.444293106887 560.667026779778 674.056425212386 528.436013525622 516.100913144266 491.291947843076 459.522783327659 NA 455.271554072798 NA 660.935140927722 513.786684455611 492.007852657771
493.842566409196 419.449404188735 671.085812611968 682.215478891357 NA 450.723435464478 699.914320750655 518.159230343381 691.944241255538 529.641624152012 681.94973529836 544.852384978764 692.282165216356 509.195185544551 501.510589468119 483.003178096575 443.624724887651 NA 443.925721219177 NA 675.89022417939 512.163597224391 470.571124595827
499.256634834622 417.508720558386 666.574004145302 674.171263094831 NA 457.750473245827 693.281842805312 520.886372646748 681.981778374232 536.535504044147 677.437926831693 550.917626980519 685.649661417245 518.007312521467 507.397893005513 488.348933759126 451.496574910575 NA 449.642661357243 NA 671.141752912647 512.735160676673 482.517900955586
