"2016-05-31" "2016-08-18" "2016-08-19" "2016-08-31" "2016-09-01" "2017-06-27" "2017-07-12" "2017-07-17" "2017-07-19" "2017-08-06" "2017-08-08" "2017-08-21" "2017-09-02" "2017-09-15" "2018-05-28" "2018-06-02" "2018-07-04" "2018-07-07" "2018-07-23" "2018-07-24" "2018-08-18"
67.5060662579442 111.179971524376 111.179971524376 101.499149836431 101.499149836431 78.5723173726406 91.9312007877044 81.0882776151065 89.3032360877831 91.9312007877044 86.1965133076946 92.9460811922993 101.499149836431 90.261969928119 101.499149836431 92.6944305385381 94.2117800492273 75.0015536137538 78.7432461662561 86.475579656718 74.2682893894803
73.9990182113357 114.488308582534 114.488308582534 103.753192122117 103.753192122117 81.9237195898965 90.8008682575593 83.6320309710896 91.5522246013822 90.8008682575593 90.7085257366624 91.8083124892476 103.753192122117 93.3629203863275 103.753192122117 99.3947690918789 94.2066192510472 76.3772605851183 84.3892899471257 87.8814808292972 79.9143331703499
59.9700068751255 106.118975692694 106.118975692694 98.5071895513829 98.5071895513829 76.9181142370903 93.4294878591817 80.3324153748046 86.2933755656289 93.4294878591817 81.775590814781 89.5157448450336 98.5071895513829 84.9979600941857 98.5071895513829 85.3613851579706 93.464943442442 73.7699619941117 73.4792363323227 84.8856557089129 69.004279555547
61.8646304229501 77.2544730529937 77.2544730529937 79.6529988442045 79.6529988442045 57.3602892244241 74.5962376698392 67.9166009393653 62.155396140538 61.8646304229501 66.7356710248093 51.1042498373061 NA 70.708428029333 103.55657119432 137.610212748099 72.8909748668726 54.7933884568148 65.8878744287447 66.7356710248093 68.0754684115422
67.2627284004989 81.2463635513682 81.2463635513682 83.0863121938871 83.0863121938871 63.3214298517886 77.1747335014761 71.8475742118925 66.5361722556747 67.2627284004989 70.5439127794122 56.8664192403468 NA 75.001051306084 104.260699425029 128.136674178729 76.9107797889311 58.8662642923661 70.7830669055692 70.5439127794122 72.697211640517
53.1186614439994 70.9823329678229 70.9823329678229 71.3898453988841 71.3898453988841 48.6143202454734 70.6159751859072 61.71096359454 53.9017046408667 53.1186614439994 56.4732682684538 37.5968781602855 NA 60.3083892057927 96.4371704770746 146.565566637467 66.654230574771 48.8669703514517 55.3777011209039 56.4732682684538 59.7906699645947
76.2043439345953 113.728706687273 113.728706687273 103.064415937645 103.064415937645 83.7767019575573 89.545486386779 86.8970988070707 92.5615081043232 89.545486386779 92.5615081043232 87.8349939669581 102.993590226857 93.0220630910554 102.993590226857 103.15561690338 92.9512373802669 77.4201717451099 88.1501377586264 90.3028498005587 83.6751809818506
51.9003320032729 102.935111950506 102.935111950506 97.5836192420405 97.5836192420405 75.6346538794593 94.4116551500815 78.2024561853868 84.9815726275522 93.5669351054239 80.4637878767043 85.0918154266392 97.5836192420405 81.418750720449 97.5836192420405 77.6870559176668 94.4116551500815 72.4865016364807 68.0652005248644 82.7202409362347 64.8932364329054
46.0871883841909 98.5090393332896 98.5090393332896 96.0029080715455 96.0029080715455 72.1489339161223 94.2470597224335 74.3637748716106 82.5539532845354 91.1393157624071 78.0361685336875 77.3039355154547 95.1598207305258 78.4231567476925 95.1598207305258 71.8461004981891 94.2470597224335 69.8438690141634 64.5100270490636 78.8815596224585 63.5972660409714
70.7792559937776 103.82778187875 103.82778187875 98.7299062949946 98.7299062949946 74.54020661227 83.5277696263514 80.4555246601025 83.4355567794045 80.4555246601025 83.5905253725842 69.7153442801143 95.2948604864194 87.0255711811594 97.2087226121894 96.8936674500877 86.5078017456533 69.8609317443011 86.3214939931151 83.4355567794045 82.4059068134363
