"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 643 1417 1640 1427 1837 1749
"15356000" 208 445 542 411 798 823
"15485500" 54 136 305 144 321 306
"15515500" 143 265 309 269 407 496
"15484000" NA 48 48 NA 453 NA
"15493400" NA 22 58 NA 50 NA
"15514000" NA 79 686 NA 10943 NA
"15477740" NA 6 18 NA 16 NA
"15493700" NA 41 668 NA 2629 NA
"15511000" NA NA 159 NA NA NA
"15519100" NA NA 13 NA NA NA
