"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
405.506922507294 653.621194112106 674.241192000327 237.22097567308 NA 653.286248890105 NA
124.060567219985 399.008153647944 435.962126658048 52.1011143083063 NA 376.897129157182 168.156018999771
121.089965138235 367.97032987963 400.504065624442 58.3295191350237 NA 351.722130540334 136.734303003985
391.718581710084 657.004980118707 678.559223782575 237.22097567308 NA 658.370811777317 NA
426.799820578988 645.537169774544 666.527111209423 237.22097567308 NA 644.907674152368 NA
371.986606728616 663.701980701067 684.222708357287 229.115766378122 NA 667.817186826448 NA
357.962639030262 665.367799778228 683.844319922406 218.206854529546 NA 670.248564357069 NA
140.620180807777 447.962056687681 488.382780556326 51.9958310490623 NA 424.667129447756 221.174500115431
135.300758621261 365.631108265817 394.992381306475 77.460629255352 NA 355.478888186214 136.535914843119
194.248409446481 434.993306340845 458.289402838898 131.938141438103 NA 417.266642904373 216.303479671614
163.852997167046 493.380296948487 531.939370114654 59.4803355586127 NA 468.336379955863 264.745006776954
214.909823326897 464.15074134431 490.145415954168 146.05913826881 NA 425.166290903337 241.150702701996
240.592739435375 470.17918292163 495.428056674267 158.9241643957 NA 406.93263736805 267.445147665398
167.684051712207 403.298504663007 427.82128732454 110.376912149365 NA 388.576126302167 180.020996233563
151.674681924556 378.965976678626 407.016606151754 94.0871835070521 NA 367.655846701321 151.480073343459
NA 795.539538161724 856.120624909976 109.403951961654 NA 761.375664890605 383.772978917586
456.370264348647 637.284192118464 651.690783808775 237.22097567308 NA 632.288982398178 NA
NA 1111.62707301858 1155.77032538438 NA NA 1095.99321661946 NA
NA 860.456541674577 932.864734814621 111.407350869269 NA 819.902682689547 409.762793311217
256.742341729378 438.504363692827 459.315745861793 160.988613550353 NA 363.191706999557 276.952228297049
