"2018-05-28" "2018-05-29" "2018-06-08" "2018-06-20" "2018-06-25" "2018-06-26" "2018-06-27" "2018-07-02" "2018-07-03" "2018-07-07" "2018-07-18" "2018-07-20" "2018-07-22" "2018-07-23" "2018-07-24" "2018-07-30" "2018-07-31" "2018-08-11" "2018-08-19" "2018-08-22" "2018-09-08" "2018-09-13" "2018-09-17" "2016-08-22" "2016-08-28" "2016-09-01" "2017-05-15" "2017-05-17" "2017-06-06" "2017-06-22" "2017-06-21" "2017-06-27" "2017-06-28" "2017-07-05" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-20" "2017-07-29" "2017-07-30" "2017-07-31" "2017-08-05" "2017-08-07" "2017-08-21" "2017-08-31" "2017-09-06" "2017-09-14" "2017-09-16" "2017-09-17" "2017-09-08"
21.9099999999991 21.9099999999991 21.9099999999991 15.6499999999994 18.7799999999992 NA 12.5199999999995 21.9099999999991 31.2999999999987 18.7799999999992 NA NA 18.7799999999992 15.6499999999994 15.6499999999994 NA 15.6499999999994 12.5199999999995 21.9099999999991 NA 21.9099999999991 21.9099999999991 25.039999999999 28.1699999999989 15.6499999999994 21.9099999999991 25.039999999999 18.7799999999992 12.5199999999995 12.5199999999995 NA NA 6.25999999999974 12.5199999999995 12.5199999999995 15.6499999999994 12.5199999999995 NA 15.6499999999994 9.38999999999962 18.7799999999992 12.5199999999995 9.38999999999962 12.5199999999995 40.6899999999983 NA 15.6499999999994 25.039999999999 21.9099999999991 15.6499999999994
31.2999999999987 31.2999999999987 31.2999999999987 28.1699999999989 28.1699999999989 25.039999999999 28.1699999999989 25.039999999999 31.2999999999987 31.2999999999987 NA NA 21.9099999999991 NA 21.9099999999991 NA 31.2999999999987 21.9099999999991 34.4299999999986 NA 28.1699999999989 40.6899999999983 40.6899999999983 40.6899999999983 25.039999999999 37.5599999999985 37.5599999999985 34.4299999999986 25.039999999999 NA 18.7799999999992 NA 18.7799999999992 25.039999999999 28.1699999999989 NA 21.9099999999991 NA 25.039999999999 NA 21.9099999999991 25.039999999999 25.039999999999 NA 50.079999999998 NA 28.1699999999989 28.1699999999989 46.9499999999981 28.1699999999989
31.2999999999987 31.2999999999987 28.1699999999989 NA NA NA 18.7799999999992 NA 21.9099999999991 28.1699999999989 NA NA 18.7799999999992 21.9099999999991 15.6499999999994 NA 21.9099999999991 21.9099999999991 31.2999999999987 NA NA 25.039999999999 31.2999999999987 34.4299999999986 21.9099999999991 21.9099999999991 31.2999999999987 31.2999999999987 21.9099999999991 18.7799999999992 NA NA NA 18.7799999999992 12.5199999999995 21.9099999999991 NA NA 25.039999999999 21.9099999999991 NA NA 18.7799999999992 18.7799999999992 43.8199999999982 NA NA 25.039999999999 37.5599999999985 21.9099999999991
28.1699999999989 28.1699999999989 28.1699999999989 18.7799999999992 28.1699999999989 NA 18.7799999999992 25.039999999999 43.8199999999982 28.1699999999989 NA NA 21.9099999999991 18.7799999999992 18.7799999999992 NA 18.7799999999992 25.039999999999 28.1699999999989 NA 21.9099999999991 31.2999999999987 31.2999999999987 40.6899999999983 21.9099999999991 25.039999999999 31.2999999999987 25.039999999999 9.38999999999962 15.6499999999994 NA NA 12.5199999999995 18.7799999999992 9.38999999999962 18.7799999999992 15.6499999999994 NA 18.7799999999992 15.6499999999994 21.9099999999991 18.7799999999992 15.6499999999994 25.039999999999 50.079999999998 65.7299999999973 31.2999999999987 25.039999999999 31.2999999999987 25.039999999999
28.1699999999989 28.1699999999989 28.1699999999989 15.6499999999994 NA 18.7799999999992 NA NA 12.5199999999995 31.2999999999987 NA NA 15.6499999999994 NA 12.5199999999995 NA 12.5199999999995 21.9099999999991 31.2999999999987 37.5599999999985 18.7799999999992 31.2999999999987 34.4299999999986 43.8199999999982 25.039999999999 15.6499999999994 31.2999999999987 28.1699999999989 3.12999999999987 NA NA NA NA 9.38999999999962 NA NA 12.5199999999995 NA 18.7799999999992 NA 15.6499999999994 15.6499999999994 6.25999999999974 NA 90.7699999999963 NA 25.039999999999 25.039999999999 40.6899999999983 9.38999999999962
34.4299999999986 34.4299999999986 34.4299999999986 28.1699999999989 NA 31.2999999999987 28.1699999999989 NA 28.1699999999989 31.2999999999987 NA NA 25.039999999999 NA 28.1699999999989 NA 31.2999999999987 28.1699999999989 40.6899999999983 34.4299999999986 37.5599999999985 34.4299999999986 40.6899999999983 40.6899999999983 34.4299999999986 31.2999999999987 37.5599999999985 31.2999999999987 25.039999999999 NA 18.7799999999992 NA 25.039999999999 25.039999999999 NA NA 28.1699999999989 NA 25.039999999999 NA 28.1699999999989 28.1699999999989 28.1699999999989 NA 65.7299999999973 NA 28.1699999999989 37.5599999999985 40.6899999999983 34.4299999999986
46.9499999999981 50.079999999998 46.9499999999981 40.6899999999983 43.8199999999982 NA 40.6899999999983 37.5599999999985 71.9899999999971 46.9499999999981 NA NA 40.6899999999983 37.5599999999985 43.8199999999982 NA 40.6899999999983 46.9499999999981 50.079999999998 NA 46.9499999999981 50.079999999998 53.2099999999978 62.5999999999975 53.2099999999978 46.9499999999981 53.2099999999978 53.2099999999978 34.4299999999986 37.5599999999985 NA NA 28.1699999999989 34.4299999999986 31.2999999999987 37.5599999999985 37.5599999999985 NA 31.2999999999987 37.5599999999985 37.5599999999985 31.2999999999987 31.2999999999987 37.5599999999985 75.1199999999969 131.459999999995 37.5599999999985 40.6899999999983 46.9499999999981 34.4299999999986
62.5999999999975 56.3399999999977 56.3399999999977 46.9499999999981 NA NA 50.079999999998 56.3399999999977 46.9499999999981 53.2099999999978 NA NA 46.9499999999981 37.5599999999985 37.5599999999985 40.6899999999983 53.2099999999978 50.079999999998 56.3399999999977 NA 43.8199999999982 59.4699999999976 68.8599999999972 65.7299999999973 50.079999999998 46.9499999999981 62.5999999999975 62.5999999999975 40.6899999999983 46.9499999999981 NA NA 37.5599999999985 43.8199999999982 43.8199999999982 50.079999999998 46.9499999999981 12.5199999999995 46.9499999999981 40.6899999999983 43.8199999999982 37.5599999999985 46.9499999999981 56.3399999999977 78.2499999999968 NA NA 37.5599999999985 68.8599999999972 46.9499999999981
28.1699999999989 28.1699999999989 25.039999999999 21.9099999999991 NA NA 21.9099999999991 25.039999999999 21.9099999999991 28.1699999999989 NA NA 21.9099999999991 21.9099999999991 25.039999999999 25.039999999999 25.039999999999 28.1699999999989 28.1699999999989 NA 25.039999999999 28.1699999999989 34.4299999999986 34.4299999999986 28.1699999999989 34.4299999999986 31.2999999999987 28.1699999999989 25.039999999999 28.1699999999989 NA NA 18.7799999999992 25.039999999999 21.9099999999991 25.039999999999 21.9099999999991 NA 25.039999999999 21.9099999999991 25.039999999999 18.7799999999992 21.9099999999991 25.039999999999 40.6899999999983 NA NA 28.1699999999989 34.4299999999986 28.1699999999989
50.079999999998 50.079999999998 43.8199999999982 37.5599999999985 NA NA 34.4299999999986 37.5599999999985 34.4299999999986 43.8199999999982 118.939999999995 NA 31.2999999999987 31.2999999999987 37.5599999999985 40.6899999999983 40.6899999999983 40.6899999999983 46.9499999999981 NA 40.6899999999983 50.079999999998 53.2099999999978 53.2099999999978 40.6899999999983 37.5599999999985 50.079999999998 43.8199999999982 34.4299999999986 37.5599999999985 NA NA 31.2999999999987 37.5599999999985 34.4299999999986 31.2999999999987 31.2999999999987 NA 37.5599999999985 28.1699999999989 28.1699999999989 31.2999999999987 34.4299999999986 40.6899999999983 62.5999999999975 NA NA 43.8199999999982 53.2099999999978 37.5599999999985
