"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15"
NA NA 70.6991104590005 NA NA 13.3269307322698 NA 1.47246732859952 NA
263.030286713721 NA NA NA NA 337.571642822045 NA 221.525667420515 NA
NA NA 146.486957555733 NA NA 71.7811806221241 NA 25.8910564130393 NA
NA NA 110.219290918405 NA NA 46.4542530190845 NA 13.4968489847079 NA
NA NA 82.4822955355006 NA NA 36.0055577611024 NA 10.6869744145259 NA
NA NA 251.919683854956 NA NA 163.04837357181 NA 84.2854574744153 NA
262.066591518049 NA NA NA NA 332.699052667587 NA 217.96143539185 NA
NA NA 272.242226309167 NA NA 188.073918290062 NA 106.087737688639 NA
NA NA 201.086570802108 NA NA 130.067261619365 NA 61.4902989505816 NA
NA NA 272.242226309167 NA NA 202.065260852922 NA 118.240911897253 NA
453.557816554631 346.899435348299 439.560414511914 449.002472571235 299.522009546659 420.591519584036 427.424002912261 472.368854534976 340.928943897429
NA NA 307.515644313081 NA NA 230.540187664091 NA 135.801571055868 NA
243.002600765157 253.204459801511 242.185160190322 250.859946781061 258.885963925531 228.528239860542 238.490596216033 259.416778507215 270.76364541965
NA NA 716.765704275093 630.626468119305 NA 443.169269062268 NA 386.464656356499 NA
NA NA 153.3656934535 NA NA 103.237176471269 NA 46.6874933516317 NA
NA NA 318.706423997163 NA NA 246.200341112047 NA 143.716358150944 NA
390.165559093718 329.62240287079 376.53799138193 387.453736132668 278.303165653709 357.735980032473 365.401813540925 410.856296446461 321.013650095521
NA NA 716.765704275093 630.626468119305 NA 445.25675579132 NA 403.374810559524 NA
NA NA 728.342315797524 642.55104782775 NA 444.731473975923 NA 424.040185138026 NA
NA NA 690.937058205319 648.557215055198 NA 465.503753998651 552.688035036103 483.931741509043 NA
