"Date" "rc_Q" "gauge_Q"
2016-05-30 9313.31071229912 10579.0039856917
2016-06-15 9087.71184833734 7796.27915424922
2016-06-17 8217.58230151731 7810.43757754521
2016-06-24 8261.97315423712 7119.33661962087
2016-08-18 NA 10029.4872607273
2016-09-03 8527.01373085673 7181.57704843009
2017-05-17 8670.8938495289 9372.876221952
2017-06-02 9034.34612466791 7250.30203510886
2017-06-04 7828.87636848678 6547.39295215565
2017-07-04 4387.22535353304 5117.08071394714
2017-07-06 NA 4858.68948879513
2017-07-29 5133.95618344765 5685.20160712243
2017-09-08 4577.41425008556 5285.82080278887
2017-09-15 3830.77519771633 4836.8572000727
2018-05-29 9295.63913793568 12221.7208901867
2018-06-07 8516.70752196057 7677.48998279578
2018-07-23 NA 5056.02959269478
