Landsat	Sentinel-2	Planet	LS-ST	ST-PL	LS-ST-PL	
15453500	17.35522822	19.39885881	23.77022937	20.61026352	25.50756265	24.1255925
15356000	5.183084279	11.11184941	13.81031974	10.70292742	20.15644812	19.19219032
15485500	6.493189991	11.56924819	24.20554892	14.39914901	26.19121715	26.04492258
15515500	19.41819226	19.29847379	22.43460467	20.5488354	29.33779971	70.08772347
15484000	NA	51.96506002	52.31307225	NA	486.5873759	NA
15493400	NA	33.99186791	104.4002046	NA	84.52470819	NA
15514000	NA	90.92653935	849.9712675	NA	13059.70916	NA
15477740	NA	NA	71.69062197	NA	NA	NA
15493700	NA	NA	1142.502009	NA	NA	NA
15511000	NA	NA	1536.133416	NA	NA	NA
15519100	NA	NA	227.7225731	NA	NA	NA
