"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 0.713863418208156 2.42062224882468 1.23686161797524 1.64597776031093 3.81610083807193 2.77594879887512
"15356000" 0.217048249491539 1.05714457624335 -2.4488745851134 0.919781810354832 -1.69036898163233 0.872603336438605
"15485500" -0.97371840206071 0.69861149640043 5.02158295395828 1.46154707571168 4.66553321595482 4.15195504512276
"15515500" -6.28816859042608 2.50971697366281 2.71196085061211 2.27254366224872 7.07176616712576 7.71665613879205
"15484000" NA 13.8372130507886 15.2260032352279 NA 79.2586972509961 NA
"15493400" NA 9.47617793774231 25.2803124566124 NA 21.9126206914955 NA
"15514000" NA 24.1156306536718 274.387402229572 NA 1276.31649954603 NA
"15477740" NA 3.23738019406537 17.9000250004587 NA 15.7986769506033 NA
"15493700" NA 15.2075984005719 220.404043974461 NA 673.107503254168 NA
"15511000" NA NA 95.2747440816589 NA NA NA
"15519100" NA NA 63.495012794519 NA NA NA
