"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 0.592693019072447 0.486703428932444 0.351307022552309 0.423170204573714 0.194811624453305 0.267075435320251
"15356000" 0.907141080612855 0.57164585009704 0.42249227752326 0.623599957134 -0.280925322424756 -0.143699137360208
"15485500" 0.97244629605382 0.843133082564548 0.261015874675874 0.787499878693422 0.15524860016539 0.21687580056151
"15515500" 0.659572929344405 0.482682131586323 0.026195539365259 0.411075076008583 -0.432496966146264 -6.89797398478985
"15484000" NA -1.40043681237649 -0.320239170027946 NA -142.769169372499 NA
"15493400" NA 0.432095978644788 -3.19055896937098 NA -1.95925385600712 NA
"15514000" NA -2.86431627804268 -359.187158415191 NA -81579.1137778379 NA
"15477740" NA 0.184417071696377 -3.63618762129401 NA -2.82282645314329 NA
"15493700" NA -1.18918001111092 -549.302088114649 NA -8734.75214762257 NA
"15511000" NA NA -825.182881949097 NA NA NA
"15519100" NA NA -7.66053014818011 NA NA NA
