"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-23"
815.234661317092 810.790597637086 772.588397398849 772.785810443172 NA 789.793410327504 789.125499943937 810.790597637086 757.72455438568 570.53431142652 NA 611.312753966023 586.796249082821 555.676833541693 815.791763808647 781.053156309591 NA
808.252882970288 805.457495734517 778.500880037621 777.117251293957 NA 784.578599111516 789.125499943937 805.457495734517 765.760113965638 572.460496204212 NA 619.993382684868 605.054550138436 585.722608048053 819.698266486483 783.202372614733 NA
782.301044089648 771.397188294946 715.533745616768 708.299365160291 NA 736.050256590423 NA 757.70901750277 675.648879639873 504.89441466721 NA 576.130280920395 506.273552070034 456.829815555154 773.934396467102 736.50155421683 NA
777.549889101976 766.833955388042 713.462229938454 706.261376435919 NA 730.381528683571 NA 755.577793306644 668.87360943862 504.226587243938 NA 581.822714093814 504.822964242357 454.205894402078 771.598553582629 734.016151061002 NA
800.544363702231 799.028273461833 783.281325764918 778.512402620884 NA 780.649032071881 783.886795624505 799.634811035772 769.424447346962 575.766894209984 NA 628.873416165439 618.897141149461 612.017907192576 818.376314760888 784.59752394166 NA
769.000502463635 758.359583217238 708.824408842759 703.739594534629 NA 726.323441737172 NA 751.310000066637 668.09583079878 504.226587243938 NA 584.442988009688 507.315443459314 451.711788966438 762.474624288308 727.937045509484 NA
790.658632840612 788.144850965117 779.565410355848 775.713520492577 NA 777.076235684386 779.725659560245 792.225778987661 769.975694865314 582.158697397296 NA 637.020959322903 627.452034403175 624.729403495568 812.278854670389 780.38611474379 NA
759.83133720589 749.991430441564 703.506882963849 699.739317124657 NA 720.836919585638 NA 747.944437366772 668.213252989537 504.226587243938 NA 589.346106346433 511.150447000804 449.805787200475 753.544096180767 722.826424545701 NA
780.185457902808 776.636123940846 776.917319887936 773.154154823362 NA 773.988909423036 776.639145196413 786.167275218646 770.795265279791 591.818496920801 NA 647.123851869834 638.410877834993 635.774650049736 805.653159128841 776.917319887936 NA
774.269028164767 769.437639031972 772.228691326974 770.244466814462 NA 768.918766305619 769.621731568723 781.21003097857 768.147676109066 597.614675762353 NA 653.346221554184 642.820567844531 631.004168287884 799.132470641555 773.589502427417 NA
752.477222906198 741.840567384728 699.849723860115 695.647008698697 NA 714.512576290647 NA 743.39470531465 663.271682764406 512.676095007977 NA 598.971853727304 513.707655050944 450.130565509663 741.97377136029 716.009556343465 NA
830.920189657225 823.692593586682 767.643438879377 771.117293271847 NA 801.112152419253 NA 823.692593586682 747.435303115357 563.120965182068 NA 600.86662702017 557.042868725709 510.060672405262 813.915549444212 781.740853657809 NA
759.494608099653 753.065072780283 762.385003036911 763.595364847384 NA 758.752168233097 760.433064073626 766.435610913457 764.535396325971 609.953130857173 NA 662.163883673493 656.923134824818 639.762363080411 786.199377483437 763.824695704142 NA
832.627540204414 824.322801967441 760.729424997011 767.76886111241 NA 805.471053297754 NA 824.729910817746 740.196660476865 558.477131588347 NA 590.071771701317 547.340631769631 491.873000480586 808.363373768704 778.348295769006 NA
829.664610143597 819.211287669326 754.003202085714 762.822059518008 NA 804.574346270745 NA 820.292462162705 734.912679430564 556.10114433584 NA 580.272384702842 539.92768350089 478.288032244442 802.245545414063 773.91640352136 NA
736.090281000356 725.400377804094 686.642601484892 686.064580518802 NA 702.094128337066 NA 729.843285229704 646.869559780192 518.293280487616 NA 613.732440937863 518.425278943839 454.143224272454 723.17647828876 700.540727990485 NA
745.207047254366 738.672320422748 749.62325369329 755.389461246257 NA 746.843564529067 751.983414103524 752.148050068169 754.994577447219 620.86720919406 NA 666.860643162723 667.069680871285 647.107374965723 770.302734751606 751.062946360521 NA
733.469533747509 726.514201728635 735.584319787557 746.6676945947 NA 735.316353615838 744.73284272857 740.410536561313 741.270913454855 628.924427312428 NA 671.713588148922 672.001147523667 647.615417142882 753.384114971784 737.024012454788 NA
722.23654393864 713.605619362991 722.999294923876 736.206802961989 NA 724.083363806969 731.828283795003 729.177546752443 729.3436825214 634.77444320353 NA 676.462597436875 672.0635045418 641.550610810236 739.314073068168 724.438987591107 NA
723.3220838594 712.632180663138 677.258264256015 682.41539299447 NA 695.714406051855 NA 718.937465776078 638.58418002596 518.293280487616 NA 619.822292881413 516.953204986774 452.657079461495 710.330009965017 689.069071631104 NA
