"2018-05-29" "2018-06-02" "2018-06-08" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-13" "2018-07-21" "2018-07-23" "2018-07-29" "2018-07-31" "2018-08-11" "2018-08-19" "2018-09-07" "2018-09-11" "2018-09-13" "2018-09-14" "2016-08-17" "2016-08-22" "2016-09-01" "2017-05-15" "2017-05-18" "2017-06-03" "2017-06-06" "2017-06-14" "2017-06-15" "2017-06-28" "2017-07-06" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-05" "2017-08-09" "2017-08-21" "2017-08-31" "2017-09-02" "2017-09-04" "2017-09-08" "2017-09-16"
NA NA 28.0800000000009 NA 31.200000000001 68.6400000000022 28.0800000000009 49.9200000000016 24.9600000000008 31.200000000001 37.4400000000012 31.200000000001 81.1200000000026 NA 81.1200000000026 62.400000000002 34.3200000000011 81.1200000000026 34.3200000000011 84.2400000000027 59.2800000000019 59.2800000000019 46.8000000000015 71.7600000000023 43.6800000000014 24.9600000000008 NA 28.0800000000009 71.7600000000023 NA 74.8800000000024 28.0800000000009 37.4400000000012 28.0800000000009 28.0800000000009 NA NA 124.800000000004 28.0800000000009 NA 28.0800000000009 43.6800000000014
15.6000000000005 18.7200000000006 NA 40.5600000000013 43.6800000000014 59.2800000000019 NA 43.6800000000014 NA NA NA NA 74.8800000000024 46.8000000000015 56.1600000000018 37.4400000000012 NA 53.0400000000017 NA 53.0400000000017 53.0400000000017 53.0400000000017 46.8000000000015 53.0400000000017 40.5600000000013 40.5600000000013 43.6800000000014 NA 59.2800000000019 43.6800000000014 56.1600000000018 NA 43.6800000000014 NA NA 46.8000000000015 28.0800000000009 140.400000000004 NA NA NA 40.5600000000013
40.5600000000013 40.5600000000013 NA 46.8000000000015 53.0400000000017 87.3600000000028 NA 53.0400000000017 NA NA 49.9200000000016 NA 109.200000000003 56.1600000000018 102.960000000003 56.1600000000018 NA 102.960000000003 3.1200000000001 102.960000000003 59.2800000000019 59.2800000000019 49.9200000000016 121.680000000004 74.8800000000024 43.6800000000014 NA NA 93.600000000003 46.8000000000015 96.7200000000031 NA 49.9200000000016 NA NA 131.040000000004 37.4400000000012 140.400000000004 NA 40.5600000000013 NA 56.1600000000018
NA NA 18.7200000000006 NA 21.8400000000007 49.9200000000016 18.7200000000006 21.8400000000007 15.6000000000005 15.6000000000005 24.9600000000008 15.6000000000005 59.2800000000019 NA 31.200000000001 28.0800000000009 24.9600000000008 56.1600000000018 28.0800000000009 65.5200000000021 31.200000000001 34.3200000000011 24.9600000000008 56.1600000000018 15.6000000000005 12.4800000000004 NA 18.7200000000006 53.0400000000017 NA 53.0400000000017 15.6000000000005 NA 9.3600000000003 15.6000000000005 NA NA 90.4800000000029 15.6000000000005 NA 18.7200000000006 24.9600000000008
NA NA 49.9200000000016 NA 56.1600000000018 78.0000000000025 46.8000000000015 53.0400000000017 46.8000000000015 46.8000000000015 56.1600000000018 46.8000000000015 93.600000000003 NA 65.5200000000021 59.2800000000019 53.0400000000017 81.1200000000026 56.1600000000018 90.4800000000029 62.400000000002 62.400000000002 53.0400000000017 84.2400000000027 53.0400000000017 49.9200000000016 NA 49.9200000000016 84.2400000000027 NA 84.2400000000027 46.8000000000015 NA 40.5600000000013 31.200000000001 NA NA 118.560000000004 46.8000000000015 NA 43.6800000000014 56.1600000000018
21.8400000000007 34.3200000000011 NA 43.6800000000014 49.9200000000016 127.920000000004 NA 56.1600000000018 NA NA 46.8000000000015 NA 137.280000000004 49.9200000000016 109.200000000003 68.6400000000022 NA 124.800000000004 49.9200000000016 140.400000000004 90.4800000000029 84.2400000000027 84.2400000000027 134.160000000004 68.6400000000022 53.0400000000017 NA NA 137.280000000004 49.9200000000016 134.160000000004 NA 56.1600000000018 NA NA 168.480000000005 24.9600000000008 171.600000000005 NA 31.200000000001 NA 59.2800000000019
NA NA 31.200000000001 NA 37.4400000000012 71.7600000000023 28.0800000000009 34.3200000000011 18.7200000000006 28.0800000000009 15.6000000000005 28.0800000000009 71.7600000000023 NA 43.6800000000014 43.6800000000014 31.200000000001 68.6400000000022 34.3200000000011 71.7600000000023 40.5600000000013 40.5600000000013 34.3200000000011 65.5200000000021 34.3200000000011 24.9600000000008 NA 31.200000000001 65.5200000000021 NA 68.6400000000022 28.0800000000009 NA 28.0800000000009 21.8400000000007 NA NA 102.960000000003 31.200000000001 NA 28.0800000000009 37.4400000000012
NA NA 34.3200000000011 NA 37.4400000000012 62.400000000002 31.200000000001 34.3200000000011 24.9600000000008 31.200000000001 40.5600000000013 31.200000000001 68.6400000000022 NA 62.400000000002 53.0400000000017 37.4400000000012 62.400000000002 37.4400000000012 68.6400000000022 49.9200000000016 46.8000000000015 40.5600000000013 68.6400000000022 43.6800000000014 28.0800000000009 NA 34.3200000000011 68.6400000000022 NA 65.5200000000021 31.200000000001 24.9600000000008 28.0800000000009 34.3200000000011 NA NA 140.400000000004 34.3200000000011 NA 31.200000000001 40.5600000000013
NA NA NA 37.4400000000012 37.4400000000012 53.0400000000017 NA 34.3200000000011 NA NA NA NA 53.0400000000017 46.8000000000015 59.2800000000019 53.0400000000017 NA 59.2800000000019 NA 59.2800000000019 62.400000000002 59.2800000000019 43.6800000000014 53.0400000000017 31.200000000001 NA 43.6800000000014 NA 49.9200000000016 40.5600000000013 53.0400000000017 NA 43.6800000000014 NA NA NA NA 81.1200000000026 NA NA NA 34.3200000000011
6.2400000000002 12.4800000000004 NA 28.0800000000009 46.8000000000015 87.3600000000028 NA 68.6400000000022 NA NA 46.8000000000015 NA 112.320000000004 43.6800000000014 84.2400000000027 78.0000000000025 NA 84.2400000000027 59.2800000000019 99.8400000000032 78.0000000000025 74.8800000000024 74.8800000000024 93.600000000003 53.0400000000017 37.4400000000012 NA NA 96.7200000000031 28.0800000000009 96.7200000000031 NA 62.400000000002 NA NA 102.960000000003 15.6000000000005 159.120000000005 NA 12.4800000000004 NA 53.0400000000017
