"2016-05-17" "2016-05-30" "2016-06-25" "2016-06-26" "2016-08-18" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-13" "2017-06-27" "2017-07-15" "2017-07-18" "2017-07-30" "2017-08-06" "2017-08-07" "2017-09-08" "2017-09-15" "2018-05-18" "2018-05-28" "2018-05-29" "2018-06-05" "2018-06-07" "2018-06-08" "2018-06-21" "2018-06-23" "2018-07-07" "2018-07-13" "2018-07-17" "2018-07-20" "2018-07-23" "2018-07-26" "2018-08-23" "2018-09-09" "2018-09-11" "2018-09-13"
941.554066 894.9526839 NA 813.0321783 NA 869.0629674 869.0629674 847.8293304 753.950646 642.3586097 666.2536438 NA 667.1839207 748.4956361 740.9839377 731.7286412 NA 927.7047957 967.013923 NA 919.2346018 840.8248295 875.0663668 773.3609286 874.9900563 778.4659215 881.4399956 752.1938356 NA 675.6591677 668.3769822 NA 849.2631178 861.2625595 832.5208043
904.9248853 864.015242 NA 803.8022503 NA 845.2817462 845.2817462 851.6644123 757.2154702 649.1950821 672.3820269 NA 674.4923083 752.6429608 743.3922255 730.0407504 NA 876.1584616 916.2375331 NA 883.5577857 822.9889272 854.6798047 771.8462796 853.2057724 771.6833934 852.428162 755.8379699 NA 680.2689725 674.0360882 NA 833.7556029 847.6698399 819.5183676
928.8285025 907.6878172 NA 819.0397487 NA 879.1190154 879.1190154 830.5686009 752.1137189 634.1569033 662.2823126 NA 666.3777211 750.5784203 743.1554672 721.0709909 NA 923.1684571 954.615759 NA 906.0741986 849.3320552 883.2944849 770.3534703 887.5506899 784.614279 892.4327981 746.8296396 NA 670.402083 658.3118169 NA 857.9086137 868.0738273 840.4142093
918.466538 899.9420296 NA 823.8287203 NA 874.3729703 874.3729703 807.8412411 749.8595401 617.9896969 652.3767796 NA 661.0300553 748.9544876 743.4544697 705.3678254 NA 914.5778683 940.7839532 NA 894.7927057 853.6552988 877.6808295 768.6223794 882.6816347 789.8834029 884.7117185 742.0425364 NA 655.1036314 638.4506924 NA 863.2240606 871.0017261 847.1809157
877.7419774 839.6918372 NA 795.8356867 NA 826.4978651 826.4978651 842.8362657 761.9937536 659.7949278 685.9638086 NA 687.3056436 757.5983944 746.5512567 740.4513578 NA 833.4345423 873.5136138 NA 853.194298 809.1967205 839.483656 773.2384788 833.702962 765.2166071 833.2500087 761.6731232 NA 688.40079435 682.4928602 NA 822.7588939 837.5531229 808.5797055
853.273058 823.7784967 NA 788.9363777 NA 813.982387 813.982387 827.9867304 758.8546594 661.2792594 690.121998 NA 692.4652283 754.3691423 744.5494643 741.5045754 NA 814.5255376 846.5887948 NA 830.3333422 799.662364 826.2659373 768.8499707 820.1581844 759.8128948 817.5553664 757.4191665 NA 690.52960415 685.3537106 NA 813.9660119 828.2669258 800.8363514
913.9609263 910.1657113 NA 837.5144915 NA 881.4235445 881.4235445 784.3297556 747.217994 589.3144356 636.3119225 NA 653.9605362 743.0444463 741.971757 686.2940339 NA 928.3738415 935.4410329 NA 889.3717377 869.5459277 884.0229985 766.3773624 893.1013074 797.9550048 899.0055242 734.1755098 NA 624.21513205 602.4985621 NA 881.7439727 880.7813821 858.1682532
894.985543 894.963104 NA 836.5332773 NA 867.388108 867.388108 732.9059843 742.4885601 573.4434784 626.736943 NA 649.7477884 727.3876364 733.226239 653.3789352 NA 920.7059797 920.9819207 NA 872.9451396 861.4334749 869.5481967 762.6421109 880.9911566 804.1311547 885.2239204 724.253858 NA 601.1387505 581.1359297 NA 876.7151276 869.4492121 853.7649228
808.4572361 802.2437051 NA 744.531566 NA 785.9951812 785.9951812 676.4130943 653.5726011 520.1434307 574.3249654 NA 605.4133806 631.5444149 631.5444149 564.8074871 NA 809.0553553 809.6534746 NA 794.5400913 786.0305258 794.5400913 681.2538505 837.5184795 739.6527091 NA 676.1697624 NA 526.2992184 521.365871 NA 806.6760426 798.028773 785.0367415
815.8592301 807.4971149 NA 754.5542385 NA 790.0437192 790.0437192 651.384187 659.6692977 522.28076 573.0746944 NA 600.4387383 634.515302 636.4279633 571.54506 NA 818.6059336 821.3526371 NA 798.6897341 789.9442455 798.6897341 695.2034118 823.7877919 748.9760385 NA 679.5195356 NA 529.1400308 518.0684732 NA 815.055418 805.4728823 793.7194937
877.8085814 873.5835846 NA 828.9876924 NA 852.2690239 852.2690239 683.609152 735.4076198 563.6497371 618.9644645 NA 642.4134526 709.0212337 717.913594 634.4967101 NA 901.0033333 904.3999036 NA 855.6107342 846.4158216 853.4563186 758.063561 865.1311628 806.7224164 869.4882498 714.7469242 NA 586.9794069 564.320833 NA 865.48452 858.6611067 848.5639636
801.7539947 797.4527605 NA 741.559914 NA 783.3044554 783.3044554 704.7095382 652.7349116 516.9304562 572.6501233 NA 608.326514 631.6578959 631.6578959 560.5519276 NA 801.7539947 801.7539947 NA 789.7348876 783.2717352 789.7348876 669.5152271 860.5762907 738.1856365 NA 673.8285218 NA 521.2415646 520.4023856 NA 801.8935222 793.2462526 781.5262776
794.2971629 788.3216322 NA 739.2174651 NA 774.2071251 774.2071251 730.8674752 655.0447049 518.4058738 573.426656 NA 609.9659266 632.5747227 632.5747227 557.5439888 NA 792.4809725 792.4809725 NA 781.4429383 778.5568921 781.4429383 668.3045506 880.6984986 732.9780037 NA 669.0513318 NA 523.79402525 522.7169821 NA 790.6997128 782.7899035 773.0355562
825.9060098 814.5757554 NA 772.7410573 NA 799.2165027 799.2165027 629.5233583 672.5199145 525.9419093 574.303914 NA 603.6020536 644.2609035 648.3363306 581.4239565 NA 830.3405187 834.7750277 NA 805.734086 796.9885974 805.734086 711.5314623 821.860877 766.1872906 NA 688.5196723 NA 532.27998025 517.4723508 NA 826.5949041 814.8495831 805.7673534
871.7754499 864.1511871 NA 824.6917692 NA 843.3221368 843.3221368 651.7452282 726.0572399 558.146177 614.7166856 NA 636.0449549 697.1552197 703.9945486 626.4661509 NA 889.6119954 893.606685 NA 846.6239094 837.7731852 846.6239094 756.6486252 858.2925128 805.1866151 873.2337993 714.7872381 NA 576.86162935 551.5578372 NA 860.6904772 853.9684481 846.19839
