"Date" "rc_Q" "gauge_Q"
2016-09-12 24.1106104383205 22.143774034944
2017-06-02 21.4633207217239 16.961791108608
2017-06-13 69.2179221430648 46.467945257472
2017-07-14 63.006528843511 23.899418523648
2017-07-22 23.9032347198759 29.647738381824
2017-07-31 30.0043697588594 29.364569915904
2017-08-06 56.2585344240273 17.83961335296
2017-08-09 4.75437458610876 15.206146619904
2017-08-10 5.64695547075904 14.639809688064
2017-08-31 19.6286940640032 34.914671847936
2017-09-04 24.7384949652948 27.580608580608
2017-09-06 25.8608805136565 25.62674616576
2017-09-08 23.7435585763146 23.21981420544
2018-06-20 25.8724174127738 32.167937728512
2018-07-04 81.4747096655394 42.446953041408
2018-07-25 47.7199972160048 21.549120256512
2018-07-29 2.9746405343642 19.68020838144
2018-07-31 20.6051899305618 17.55644488704
2018-08-11 29.9475804831317 31.205164944384
