"2018-05-16" "2018-05-18" "2018-05-19" "2018-05-25" "2018-05-29" "2018-06-04" "2018-06-05" "2018-06-06" "2018-06-07" "2018-06-15" "2018-06-20" "2018-06-21" "2018-06-23" "2018-06-27" "2018-07-01" "2018-07-03" "2018-07-04" "2018-07-22" "2018-07-28" "2018-07-29" "2018-07-31" "2018-08-18" "2018-08-31" "2018-09-07" "2018-09-08" "2018-09-14" "2018-09-15" "2016-08-27" "2017-05-17" "2017-06-14" "2017-06-15" "2017-06-19" "2017-06-21" "2017-06-27" "2017-07-08" "2017-07-29" "2017-08-16" "2017-08-22" "2017-09-02" "2017-09-03" "2017-09-08" "2017-09-09"
482.049999999996 478.890000000001 519.580000000001 485.159999999996 488.280000000001 472.630000000001 NA NA NA 475.829999999996 457.169999999997 NA NA 454.059999999997 NA NA 475.760000000001 426.069999999997 444.729999999997 447.839999999997 435.399999999997 NA 469.609999999996 NA NA NA NA NA NA NA 456.980000000001 472.630000000001 NA NA 441.619999999997 NA NA 441.33 NA 472.630000000001 NA NA
485.159999999996 478.890000000001 497.670000000001 485.159999999996 500.800000000001 482.020000000001 NA NA NA 485.159999999996 463.389999999996 NA NA 444.729999999997 NA NA 482.020000000001 450.949999999997 444.729999999997 447.839999999997 447.839999999997 NA 482.049999999996 NA NA NA NA NA NA NA 456.980000000001 475.760000000001 NA NA 450.949999999997 NA NA 444.46 NA 478.890000000001 NA NA
497.599999999996 485.150000000001 491.410000000001 485.159999999996 485.150000000001 475.760000000001 NA NA NA 475.829999999996 450.949999999997 NA NA 454.059999999997 NA NA 475.760000000001 441.619999999997 450.949999999997 454.059999999997 450.949999999997 NA 488.269999999996 NA NA NA NA NA NA NA 460.110000000001 475.760000000001 NA NA 450.949999999997 NA NA 431.94 NA 469.500000000001 NA NA
506.929999999996 491.410000000001 507.060000000001 500.709999999996 500.800000000001 482.020000000001 NA NA NA 497.599999999996 460.279999999997 NA NA 478.939999999996 NA NA 488.280000000001 450.949999999997 457.169999999997 463.389999999996 450.949999999997 NA 541.139999999996 NA NA NA NA NA NA NA 472.630000000001 485.150000000001 NA NA 460.279999999997 NA NA 441.33 NA 485.150000000001 NA NA
NA 863.880000000001 851.360000000001 NA 820.060000000001 785.630000000001 NA 668.649999999998 NA NA NA 478.939999999999 NA NA NA 485.150000000001 716.770000000001 NA NA NA NA NA NA NA NA NA 637.549999999998 755.729999999998 NA 538.029999999998 572.790000000001 638.520000000001 541.139999999999 463.389999999999 NA 559.799999999998 622.870000000001 494.540000000001 NA 491.410000000001 765.059999999998 NA
516.259999999996 510.190000000001 538.360000000001 528.699999999996 510.190000000001 494.540000000001 NA NA NA 463.389999999996 482.049999999996 NA NA 485.159999999996 NA NA 494.540000000001 475.829999999996 485.159999999996 494.489999999996 475.829999999996 NA 525.589999999996 NA NA NA NA NA NA NA 485.150000000001 497.670000000001 NA NA 482.049999999996 NA NA 450.72 NA 482.020000000001 NA NA
NA 863.880000000001 873.270000000001 NA 829.450000000001 807.540000000001 NA 628.219999999998 NA NA NA 506.929999999999 NA NA NA 466.370000000001 798.150000000001 NA NA NA NA NA NA NA NA NA 671.759999999998 802.379999999998 NA 553.579999999998 588.440000000001 729.290000000001 550.469999999998 472.719999999999 NA 597.119999999998 563.400000000001 507.060000000001 NA 513.320000000001 761.949999999998 NA
491.379999999996 472.630000000001 482.020000000001 482.049999999996 485.150000000001 463.240000000001 NA NA NA 482.049999999996 457.169999999997 NA NA 460.279999999997 NA NA 472.630000000001 429.179999999997 441.619999999997 444.729999999997 441.619999999997 NA 525.589999999996 NA NA NA NA NA NA NA 460.110000000001 469.500000000001 NA NA 444.729999999997 NA NA 428.81 NA 472.630000000001 NA NA
NA 704.250000000001 697.990000000001 NA 679.210000000001 669.820000000001 NA 513.149999999999 NA NA NA 441.619999999999 NA NA NA 647.910000000001 669.820000000001 NA NA NA NA NA NA NA NA NA 335.879999999999 544.249999999999 NA 454.059999999999 497.670000000001 572.790000000001 450.949999999999 419.849999999999 NA 457.169999999999 494.540000000001 384.99 NA 475.760000000001 556.689999999998 NA
NA 920.220000000001 895.180000000001 NA 917.090000000001 888.920000000001 NA 671.759999999998 NA NA NA 587.789999999998 NA NA NA 679.210000000001 773.110000000001 NA NA NA NA NA NA NA NA NA 544.249999999999 914.339999999998 NA 653.099999999998 641.650000000001 744.940000000001 640.659999999998 572.239999999998 NA 643.769999999998 757.460000000001 607.220000000001 NA 644.780000000001 842.809999999998 NA
