"2016-05-17" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-08-26" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-04" "2018-06-09" "2018-06-21" "2018-06-26" "2018-06-27" "2018-06-30" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-10" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-13" "2018-05-20" "2018-05-25" "2018-05-27" "2018-05-28" "2018-05-29" "2018-06-02" "2018-06-03" "2018-06-04" "2018-06-05" "2018-06-08" "2018-06-09" "2018-06-13" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-04" "2018-07-07" "2018-07-08" "2018-07-18" "2018-07-19" "2018-07-20" "2018-07-22" "2018-07-23" "2018-07-24" "2018-07-25" "2018-07-28" "2018-07-29" "2018-07-30" "2018-07-31" "2018-08-09" "2018-08-18" "2018-09-07" "2018-09-08" "2018-09-10" "2018-09-11" "2018-09-13" "2018-09-14" "2016-07-26" "2016-09-02" "2017-05-20" "2017-06-04" "2017-06-06" "2017-06-19" "2017-06-22" "2017-06-26" "2017-06-28" "2017-07-01" "2017-07-14" "2017-07-21" "2017-07-22" "2017-07-30" "2017-08-05" "2017-08-06" "2017-08-26" "2017-08-31" "2017-09-02" "2017-09-08" "2017-09-14" "2017-09-15" "2017-09-17"
146.525161627861 165.017042520782 579.623748517435 579.623748517435 134.160298607909 371.005290699228 323.88654762462 NA 567.223968185152 607.524971125101 615.049383997405 401.948250805924 285.088709659563 193.147924181871 175.942127658285 347.755490526903 202.183585084656 NA 338.135514940436 427.381724640407 NA 487.3174037108 NA 514.177385647555 421.170552604295 418.182280937518 395.43284573807 666.124956445169 634.246530140356 698.748539703751 628.568116199184 423.79980687822 NA 563.399999999998 353.689999999998 NA 269.179999999999 NA 237.879999999999 NA NA NA 294.219999999999 425.679999999998 532.099999999998 NA NA NA 541.489999999998 NA NA NA NA NA NA 456.979999999998 NA 647.909999999997 NA NA NA NA NA 557.139999999998 NA NA 253.529999999999 NA NA NA 363.079999999998 528.969999999998 NA NA NA 291.089999999999 375.599999999998 NA 557.139999999998 NA 585.309999999997 NA NA NA 588.439999999997 291.089999999999 NA NA 222.229999999999 NA NA NA
137.878806951612 166.188140423552 572.365751446422 572.365751446422 132.816104608997 363.944770081117 318.835833671101 NA 554.061394174008 595.390744704469 611.087947005591 394.435438846546 290.202585028922 187.795146381706 174.737513699246 342.942342162394 204.239395739638 NA 339.67512185082 417.027578582277 NA 484.329655739696 NA 505.841421384278 413.410971205658 410.383675621358 386.732357455453 657.116259667665 620.611170306461 688.899408662937 622.932204131612 417.89126284524 NA 538.359999999998 384.989999999998 NA 281.699999999999 NA 231.619999999999 NA NA NA 269.179999999999 425.679999999998 544.619999999998 NA NA NA 510.189999999998 NA NA NA NA NA NA 444.459999999998 NA 647.909999999997 NA NA NA NA NA 566.529999999998 NA NA 294.219999999999 NA NA NA 391.249999999998 516.449999999998 NA NA NA 344.299999999999 406.899999999998 NA 550.879999999998 NA 560.269999999998 NA NA NA 563.399999999998 297.349999999999 NA NA 203.449999999999 NA NA NA
148.7943255122 171.940739644841 577.56783161518 577.56783161518 136.800080978483 366.491072792318 330.175040429368 NA 566.997765974264 607.930307013572 612.35589371304 403.777552444411 287.516273396501 196.602747463384 177.609935084977 352.530525081977 209.389313100378 NA 342.295620224358 430.510146114686 NA 489.16242396406 NA 512.668676818464 421.624470609567 421.782354369534 396.693059782575 641.598136159008 633.341357172555 693.088539475974 618.503432190497 423.572174986378 NA 550.879999999998 334.909999999999 NA 256.659999999999 NA 237.879999999999 NA NA NA 266.049999999999 431.939999999998 535.229999999998 NA NA NA 588.439999999997 NA NA NA NA NA NA 422.549999999998 NA 663.559999999997 NA NA NA NA NA 532.099999999998 NA NA 200.319999999999 NA NA NA 372.469999999998 494.539999999998 NA NA NA 287.959999999999 416.289999999998 NA 566.529999999998 NA 600.959999999997 NA NA NA 622.869999999997 287.959999999999 NA NA 215.969999999999 NA NA NA
132.324745798348 170.189283632423 563.601605109822 563.601605109822 133.521200012657 353.360657352414 310.87905619288 NA 542.347303221388 580.569637044638 600.255584824066 382.96349837579 297.269776321471 188.702609720999 172.7286533643 334.256984231401 212.935709668964 NA 333.633374172751 405.051627227353 NA 477.62461061937 NA 496.700903777924 400.869172349098 398.995103665911 375.007966763177 638.414977970655 603.139874435045 668.946011593492 612.009275710821 408.020378091152 NA 528.969999999998 431.939999999998 NA 297.349999999999 NA 231.619999999999 NA NA NA 322.389999999999 419.419999999998 491.409999999998 NA NA NA 494.539999999998 NA NA NA NA NA NA 435.069999999998 NA 591.569999999997 NA NA NA NA NA 544.619999999998 NA NA 322.389999999999 NA NA NA 406.899999999998 547.749999999998 NA NA NA 300.479999999999 460.109999999998 NA 582.179999999997 NA 560.269999999998 NA NA NA 547.749999999998 347.429999999999 NA NA 209.709999999999 NA NA NA
128.333305442388 173.187372428138 542.492493856113 542.492493856113 131.67607354831 333.77717269472 298.013382988353 NA 515.558942224264 549.937906178545 581.485131302279 370.034893758738 307.071127858264 191.463063141016 167.962609881419 322.776718215833 222.168790626055 NA 325.021764855105 384.905752159287 NA 465.829651966822 NA 475.10574364481 383.266721252975 381.41185115847 357.176239711806 598.585280856995 572.644900586636 633.323315651527 588.228180483481 394.172983145028 NA 535.229999999998 425.679999999998 NA 325.519999999999 NA 237.879999999999 NA NA NA 316.129999999999 397.509999999998 497.669999999998 NA NA NA 466.369999999998 NA NA NA NA NA NA 453.849999999998 NA 566.529999999998 NA NA NA NA NA 525.839999999998 NA NA 328.649999999999 NA NA NA 431.939999999998 547.749999999998 NA NA NA 366.209999999998 453.849999999998 NA 585.309999999997 NA 554.009999999998 NA NA NA 569.659999999998 416.289999999998 NA NA 209.709999999999 NA NA NA
129.617427532634 179.177443224029 521.972577995563 521.972577995563 130.640361843593 315.383581380505 283.772602223158 NA 489.690928947725 520.71210618539 557.809617212552 352.915762024946 311.550577048909 196.170771042276 161.159284809946 308.116797253599 232.165476660695 NA 312.16312101852 363.15368884755 NA 449.957905346277 NA 449.53787892368 363.841057360125 361.848704240334 336.126887509395 557.284710828183 536.214725521728 598.234097301445 567.638185087287 381.797936252839 NA 525.839999999998 416.289999999998 NA 403.769999999998 NA 253.529999999999 NA NA NA 306.739999999999 394.379999999998 500.799999999998 NA NA NA 510.189999999998 NA NA NA NA NA NA 482.019999999998 NA 563.399999999998 NA NA NA NA NA 516.449999999998 NA NA 319.259999999999 NA NA NA 419.419999999998 547.749999999998 NA NA NA 378.729999999998 444.459999999998 NA 560.269999999998 NA 541.489999999998 NA NA NA 532.099999999998 384.989999999998 NA NA 203.449999999999 NA NA NA
133.476420039266 182.139871846551 496.008042599029 496.008042599029 126.917860157797 297.67428362187 262.621007476204 NA 461.965781464689 488.809527741553 530.90310272481 329.066235803129 305.757446034094 197.134586732495 NA 285.673122193741 236.116303608985 NA 296.08362554867 335.966831178226 NA 425.778584403572 NA 419.867747594399 336.712542721179 337.222876317826 307.341675313395 515.65811385873 485.774116251679 565.986670535299 542.670750275023 364.246630821288 NA 488.279999999998 406.899999999998 NA 394.379999999998 NA 259.789999999999 NA NA NA 278.569999999999 381.859999999998 485.149999999998 NA NA NA 450.719999999998 NA NA NA NA NA NA 472.629999999998 NA 503.929999999998 NA NA NA NA NA 497.669999999998 NA NA 275.439999999999 NA NA NA 431.939999999998 572.789999999998 NA NA NA 359.949999999998 422.549999999998 NA 550.879999999998 NA 519.579999999998 NA NA NA 538.359999999998 388.119999999998 NA NA 200.319999999999 NA NA NA
139.827362144683 183.527270770541 475.37985727168 475.37985727168 121.495274081864 278.851591050265 237.472853394919 NA 438.246347075222 459.601793926089 511.26574124455 311.781344279375 302.578159316843 207.441546198588 NA 261.737734522202 237.960690490177 NA 277.413295603515 308.178842090569 NA 399.649453609074 NA 390.429089881877 310.092730888389 311.615488130528 277.282551620232 484.908240212583 443.075851352511 537.247555742247 507.412507085422 346.216692843043 NA 466.369999999998 400.639999999998 NA 359.949999999998 NA 303.609999999999 NA NA NA 275.439999999999 394.379999999998 463.239999999998 NA NA NA 456.979999999998 NA NA NA NA NA NA 450.719999999998 NA 466.369999999998 NA NA NA NA NA 463.239999999998 NA NA 266.049999999999 NA NA NA 375.599999999998 575.919999999998 NA NA NA 359.949999999998 431.939999999998 NA 516.449999999998 NA 478.889999999998 NA NA NA 500.799999999998 384.989999999998 NA NA 209.709999999999 NA NA NA
151.739714588149 173.461295310057 572.197198770255 572.197198770255 138.83118844998 365.158565813179 334.568910382331 NA 560.822536091945 605.182626882562 604.753207423516 401.426773821782 289.413170122765 197.525048357546 181.741549653059 354.601728056411 214.64265076342 NA 344.545499944744 432.483909559233 NA 492.532032745497 NA 506.277776080235 421.114194362277 423.108054123355 394.219927973656 616.397253491891 626.922163453916 681.197063455016 609.423497278645 420.956414158463 NA 544.619999999998 394.379999999998 NA 297.349999999999 NA 259.789999999999 NA NA NA 284.829999999999 447.589999999998 550.879999999998 NA NA NA 528.969999999998 NA NA NA NA NA NA 466.369999999998 NA 647.909999999997 NA NA NA NA NA 582.179999999997 NA NA 234.749999999999 NA NA NA 413.159999999998 466.369999999998 NA NA NA 300.479999999999 428.809999999998 NA 572.789999999998 NA 588.439999999997 NA 93.8999999999996 NA 572.789999999998 325.519999999999 NA NA 231.619999999999 NA NA NA
148.040199528301 175.117285430309 448.546868036479 448.546868036479 111.829539843381 266.627755218472 203.974853869065 NA 413.390977688399 428.330889289183 493.768244965422 289.966455668794 287.964461184953 203.598367716456 NA 238.670536923376 228.37603397185 NA 264.281451495711 280.576098981887 NA 370.403859271385 NA 362.811082434498 283.423997647731 284.81199676205 250.703410777653 462.430735321677 403.934392799515 514.029039054051 474.386025465657 325.191346155917 NA 453.849999999998 381.859999999998 NA 338.039999999999 NA 294.219999999999 NA NA NA 262.919999999999 353.689999999998 431.939999999998 NA NA NA 428.809999999998 NA NA NA NA NA NA 425.679999999998 NA 444.459999999998 NA NA NA NA NA 469.499999999998 NA NA 269.179999999999 NA NA NA 391.249999999998 610.349999999997 NA NA NA 363.079999999998 428.809999999998 NA 482.019999999998 NA 441.329999999998 NA NA NA 482.019999999998 369.339999999998 NA NA 206.579999999999 NA NA NA
