"2018-06-20" "2018-07-04" "2018-07-25" "2018-07-29" "2018-07-31" "2018-08-11" "2016-09-12" "2017-06-02" "2017-06-13" "2017-07-14" "2017-07-22" "2017-07-31" "2017-08-06" "2017-08-10" "2017-08-09" "2017-08-31" "2017-09-06" "2017-09-08" "2017-09-04"
31.1999999999976 24.9599999999981 24.9599999999981 NA 37.4399999999972 28.0799999999979 28.0799999999979 31.1999999999976 12.4799999999991 18.7199999999986 NA NA 21.8399999999984 NA 96.7199999999927 37.4399999999972 28.0799999999979 37.4399999999972 28.0799999999979
53.039999999996 NA 40.5599999999969 NA 59.2799999999955 56.1599999999958 53.039999999996 59.2799999999955 NA NA NA NA 28.0799999999979 15.5999999999988 59.2799999999955 59.2799999999955 59.2799999999955 53.039999999996 53.039999999996
43.6799999999967 34.3199999999974 34.3199999999974 NA 56.1599999999958 46.7999999999965 43.6799999999967 43.6799999999967 34.3199999999974 31.1999999999976 NA NA 34.3199999999974 NA 81.1199999999939 49.9199999999962 46.7999999999965 46.7999999999965 49.9199999999962
37.4399999999972 31.1999999999976 31.1999999999976 NA 37.4399999999972 34.3199999999974 37.4399999999972 37.4399999999972 24.9599999999981 24.9599999999981 NA NA 28.0799999999979 NA 74.8799999999943 46.7999999999965 37.4399999999972 43.6799999999967 37.4399999999972
18.7199999999986 NA 15.5999999999988 NA 31.1999999999976 28.0799999999979 24.9599999999981 21.8399999999984 NA NA NA NA NA NA 71.7599999999946 24.9599999999981 24.9599999999981 28.0799999999979 28.0799999999979
40.5599999999969 49.9199999999962 18.7199999999986 6.23999999999953 46.7999999999965 56.1599999999958 12.4799999999991 24.9599999999981 NA NA NA NA 12.4799999999991 NA 62.3999999999953 49.9199999999962 21.8399999999984 18.7199999999986 34.3199999999974
56.1599999999958 NA 46.7999999999965 NA 62.3999999999953 56.1599999999958 53.039999999996 59.2799999999955 NA NA NA NA 46.7999999999965 46.7999999999965 59.2799999999955 65.5199999999951 59.2799999999955 62.3999999999953 59.2799999999955
40.5599999999969 34.3199999999974 37.4399999999972 NA 49.9199999999962 40.5599999999969 40.5599999999969 43.6799999999967 NA NA NA NA 37.4399999999972 NA 53.039999999996 49.9199999999962 43.6799999999967 43.6799999999967 46.7999999999965
34.3199999999974 NA 18.7199999999986 NA 43.6799999999967 43.6799999999967 18.7199999999986 37.4399999999972 NA NA NA NA 6.23999999999953 9.35999999999929 74.8799999999943 62.3999999999953 21.8399999999984 43.6799999999967 53.039999999996
62.3999999999953 96.7199999999927 49.9199999999962 24.9599999999981 74.8799999999943 81.1199999999939 81.1199999999939 53.039999999996 59.2799999999955 40.5599999999969 NA NA 46.7999999999965 NA 84.2399999999936 90.4799999999932 87.3599999999934 81.1199999999939 90.4799999999932
28.0799999999979 NA 21.8399999999984 NA 53.039999999996 71.7599999999946 18.7199999999986 31.1999999999976 NA NA NA NA NA 15.5999999999988 71.7599999999946 62.3999999999953 40.5599999999969 40.5599999999969 56.1599999999958
21.8399999999984 9.35999999999929 12.4799999999991 NA 43.6799999999967 31.1999999999976 12.4799999999991 31.1999999999976 NA NA NA NA 9.35999999999929 NA 81.1199999999939 49.9199999999962 18.7199999999986 24.9599999999981 34.3199999999974
31.1999999999976 24.9599999999981 21.8399999999984 NA 53.039999999996 NA 31.1999999999976 43.6799999999967 NA NA 59.2799999999955 24.9599999999981 28.0799999999979 NA 68.6399999999948 65.5199999999951 37.4399999999972 40.5599999999969 43.6799999999967
31.1999999999976 21.8399999999984 12.4799999999991 NA 46.7999999999965 59.2799999999955 15.5999999999988 18.7199999999986 NA NA 56.1599999999958 NA 15.5999999999988 NA 59.2799999999955 59.2799999999955 28.0799999999979 31.1999999999976 37.4399999999972
31.1999999999976 46.7999999999965 24.9599999999981 NA 40.5599999999969 NA 34.3199999999974 31.1999999999976 NA NA 37.4399999999972 34.3199999999974 24.9599999999981 NA 53.039999999996 40.5599999999969 37.4399999999972 37.4399999999972 37.4399999999972
34.3199999999974 18.7199999999986 18.7199999999986 NA 34.3199999999974 28.0799999999979 49.9199999999962 46.7999999999965 NA NA 46.7999999999965 37.4399999999972 18.7199999999986 NA 84.2399999999936 71.7599999999946 56.1599999999958 53.039999999996 53.039999999996
37.4399999999972 28.0799999999979 18.7199999999986 NA 46.7999999999965 15.5999999999988 40.5599999999969 46.7999999999965 NA NA 43.6799999999967 37.4399999999972 21.8399999999984 NA 53.039999999996 53.039999999996 43.6799999999967 46.7999999999965 49.9199999999962
34.3199999999974 18.7199999999986 24.9599999999981 NA 40.5599999999969 40.5599999999969 15.5999999999988 31.1999999999976 NA NA NA NA 24.9599999999981 NA 43.6799999999967 37.4399999999972 31.1999999999976 28.0799999999979 34.3199999999974
31.1999999999976 43.6799999999967 24.9599999999981 NA 40.5599999999969 NA 34.3199999999974 34.3199999999974 NA NA 31.1999999999976 28.0799999999979 24.9599999999981 NA 62.3999999999953 34.3199999999974 31.1999999999976 31.1999999999976 34.3199999999974
18.7199999999986 NA 21.8399999999984 NA 53.039999999996 49.9199999999962 28.0799999999979 28.0799999999979 NA NA NA NA NA NA 68.6399999999948 62.3999999999953 28.0799999999979 31.1999999999976 34.3199999999974
