"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-27" "2017-07-12" "2017-07-17" "2017-07-30" "2017-08-06" "2017-08-21" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-21" "2018-06-26" "2018-07-04" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-18" "2018-09-09" "2018-09-13" "2018-05-27" "2018-05-29" "2018-06-02" "2018-06-08" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-13" "2018-07-20" "2018-07-21" "2018-07-23" "2018-07-29" "2018-07-31" "2018-08-10" "2018-08-11" "2018-08-19" "2018-09-07" "2018-09-11" "2018-09-13" "2018-09-14" "2016-08-17" "2016-08-22" "2016-09-01" "2017-05-15" "2017-05-18" "2017-06-03" "2017-06-06" "2017-06-14" "2017-06-15" "2017-06-28" "2017-07-06" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-05" "2017-08-09" "2017-08-21" "2017-08-31" "2017-09-02" "2017-09-04" "2017-09-08" "2017-09-16"
360.315376829265 949.092330267459 1004.92086265685 400.593245871839 NA 907.729899506405 543.542784871031 399.615505001784 1030.985228668 1030.985228668 291.361703541491 846.153423779869 944.364033496323 899.997637855129 1035.60608950738 1039.69429944577 978.864215240017 950.422162535093 918.052464572682 713.327327813564 NA 550.515491980124 509.854296400182 921.374791496965 1031.82635779035 953.09504501347 860.649123525743 923.999008409392 1046.01499434513 1028.53557664479 1057.61117317142 992.582373789659 972.821796244367 1057.94 344.300000000001 328.650000000001 1020.38 1007.86 1032.9 1026.64 NA 688.600000000002 973.430000000003 948.390000000003 1023.51 732.420000000002 1023.51 1057.94 1054.81 1036.03 1042.29 488.280000000002 466.370000000001 1070.46 1039.16 1057.94 1104.89 1064.2 328.650000000001 278.570000000001 1014.12 998.470000000003 535.230000000002 1042.29 1023.51 1054.81 1045.42 1048.55 1020.38 1032.9 1039.16 1032.9 892.050000000003 607.220000000002 635.390000000002 1079.85 1054.81 338.040000000001
357.962639030262 665.367799778228 683.844319922406 218.206854529546 NA 670.248564357069 NA 331.7966206894 697.773197027024 697.773197027024 212.004034519734 697.773197027024 686.210745237395 697.773197027024 701.425383687189 702.830343737422 700.894786972196 706.482530397587 706.094110830657 384.910339730637 NA 338.603787313005 334.380120505014 705.413886152639 700.524487881551 674.556772345508 690.267110072711 708.400873926508 700.524487881551 705.118453780187 711.151928113406 711.151928113406 657.103360556709 860.750000000003 272.310000000001 303.610000000001 801.280000000002 801.280000000002 719.900000000002 832.580000000003 NA 569.660000000002 760.590000000002 741.810000000002 832.580000000003 507.060000000002 826.320000000003 857.620000000003 848.230000000003 785.630000000002 782.500000000002 428.810000000001 400.640000000001 857.620000000003 779.370000000002 860.750000000003 892.050000000003 901.440000000003 259.790000000001 212.840000000001 810.670000000002 723.030000000002 547.750000000002 826.320000000003 773.110000000002 835.710000000003 841.970000000003 838.840000000003 835.710000000003 835.710000000003 841.970000000003 898.310000000003 757.460000000002 469.500000000001 482.020000000001 1101.76 851.360000000003 297.350000000001
374.095018668453 1064.93057293792 1101.78886821856 346.849139968779 NA 995.05212227435 511.076530905645 372.003360138867 1138.2411834308 1138.2411834308 326.234249774214 944.598399031692 1089.59359041124 1140.41116994043 1151.2082365335 1163.77050923149 931.176689742363 831.336364694116 756.217518061999 691.751905303286 239.49384678064 590.96495945236 553.006410953179 836.730598287054 1106.30683527616 849.349559949929 908.929981035416 828.628357351143 1062.61097264552 1073.78258108254 1141.90174770868 898.805810485908 874.168747579205 1170.62 416.290000000001 397.510000000001 1133.06 1070.46 1111.15 1164.36 NA 610.350000000002 1054.81 1010.99 1148.71 713.640000000002 1173.75 1195.66 1214.44 1189.4 1186.27 516.450000000002 475.760000000001 1195.66 1192.53 1233.22 1239.48 1208.18 381.860000000001 284.830000000001 1133.06 1054.81 341.170000000001 1176.88 1139.32 1192.53 1176.88 1170.62 1082.98 1145.58 1176.88 1017.25 1023.51 575.920000000002 588.440000000002 1214.44 1195.66 400.640000000001
330.979871247749 859.790067322819 914.916705917638 392.605322460179 NA 819.616587718974 531.247701485817 350.003025259719 935.573137030019 935.573137030019 225.914481555701 804.842192884632 855.076469235586 818.213822541814 936.584360685188 948.436168276647 897.814220633536 886.54125656524 870.079460829192 673.286205246126 NA 473.791408863022 462.303261355916 849.332048909065 937.026005469575 868.609316151366 794.754285162787 859.544742937935 953.318033705175 937.686217017537 965.982593718624 905.098940372643 891.696532926084 985.950000000003 403.770000000001 394.380000000001 964.040000000003 954.650000000003 942.130000000003 957.780000000003 NA 713.640000000002 957.780000000003 932.740000000003 979.690000000003 550.880000000002 967.170000000003 995.340000000003 992.210000000003 1017.25 1010.99 588.440000000002 557.140000000002 982.820000000003 976.560000000003 1004.73 1032.9 1020.38 363.080000000001 300.480000000001 939.000000000003 942.130000000003 566.530000000002 957.780000000003 838.840000000003 970.300000000003 973.430000000003 976.560000000003 973.430000000003 970.300000000003 973.430000000003 1067.33 982.820000000003 707.380000000002 710.510000000002 1007.86 985.950000000003 406.900000000001
319.660863131796 780.355480101311 822.80920384932 NA NA 749.573151044375 425.549963847565 312.372541692069 841.111313418998 841.111313418998 178.419336363186 769.465408415885 777.746833837052 771.140073081398 842.583799132629 855.045938740719 822.614302557414 812.389204579487 801.491530400864 583.789803099206 NA 413.00784569287 403.921978140073 783.575678270793 843.357718334966 786.261934227567 744.262403152877 798.831805693285 858.832713372689 847.741709219984 871.362423867746 825.837109558661 797.498271388334 904.570000000003 334.910000000001 328.650000000001 895.180000000003 876.400000000003 895.180000000003 888.920000000003 NA 685.470000000002 882.660000000003 867.010000000003 895.180000000003 500.800000000002 892.050000000003 901.440000000003 898.310000000003 910.830000000003 898.310000000003 425.680000000001 394.380000000001 882.660000000003 882.660000000003 898.310000000003 917.090000000003 910.830000000003 262.920000000001 187.800000000001 876.400000000003 845.100000000003 528.970000000002 879.530000000003 867.010000000003 879.530000000003 888.920000000003 882.660000000003 835.710000000003 876.400000000003 882.660000000003 854.490000000003 854.490000000003 575.920000000002 579.050000000002 920.220000000003 907.700000000003 344.300000000001
314.334552962038 834.174675801331 885.683038428209 392.605322460179 NA 799.908523926433 531.247701485817 336.984393124658 905.786401007387 905.786401007387 213.008393678649 793.731306025627 832.702219504003 805.19270287464 906.653164140388 919.056325354671 873.926341050212 863.894952613266 851.928563914174 656.040843315896 NA 456.46955613185 440.188572907335 832.00134605083 907.368104948918 842.159663690985 780.999151522083 843.100716778603 925.586414425008 910.077722493264 936.441751579393 880.170386540876 863.29986435307 926.480000000003 359.950000000001 325.520000000001 923.350000000003 888.920000000003 904.570000000003 892.050000000003 NA 704.250000000002 888.920000000003 892.050000000003 913.960000000003 494.540000000002 904.570000000003 926.480000000003 923.350000000003 942.130000000003 948.390000000003 535.230000000002 482.020000000001 913.960000000003 913.960000000003 923.350000000003 932.740000000003 935.870000000003 341.170000000001 222.230000000001 892.050000000003 885.790000000003 525.840000000002 904.570000000003 838.840000000003 898.310000000003 901.440000000003 904.570000000003 892.050000000003 910.830000000003 910.830000000003 948.390000000003 945.260000000003 647.910000000002 635.390000000002 945.260000000003 929.610000000003 403.770000000001
328.322708286271 699.833226918078 721.459889890451 NA NA 691.391045613193 NA 297.915888194249 738.599751573895 738.599751573895 169.220800766577 728.047680943864 715.688405406789 728.047680943864 740.003476627506 749.702330499651 738.246433610774 738.157405906942 741.249389994839 473.886075910247 NA 352.203792892578 329.842699673733 736.439572704343 741.220703595843 707.646990348368 712.880652096498 744.773983980735 752.166821259672 749.623819039771 764.761092869282 747.787966647418 702.446077222706 810.670000000002 275.440000000001 328.650000000001 804.410000000002 807.540000000002 813.800000000002 807.540000000002 NA 635.390000000002 785.630000000002 791.890000000002 813.800000000002 563.400000000002 823.190000000003 841.970000000003 826.320000000003 826.320000000003 788.760000000002 403.770000000001 381.860000000001 820.060000000003 782.500000000002 851.360000000003 873.270000000003 873.270000000003 256.660000000001 206.580000000001 795.020000000002 776.240000000002 563.400000000002 810.670000000002 795.020000000002 813.800000000002 826.320000000003 829.450000000003 795.020000000002 810.670000000002 829.450000000003 807.540000000002 807.540000000002 597.830000000002 566.530000000002 1020.38 820.060000000003 331.780000000001
371.986606728616 663.701980701067 684.222708357287 229.115766378122 NA 667.817186826448 NA 339.960469104007 696.648711532915 696.648711532915 227.661823794393 696.648711532915 685.083477570161 696.648711532915 699.097705289983 701.445549918545 703.469671181337 701.746207724242 691.121599212541 388.36173809688 NA 341.873672535859 339.324379068539 705.840434410409 700.951036139321 672.046444160581 691.28817835685 708.830204357402 700.951036139321 706.018964648657 712.052438981876 712.052438981876 662.135181607367 882.660000000003 281.700000000001 325.520000000001 860.750000000003 788.760000000002 776.240000000002 860.750000000003 NA 622.870000000002 763.720000000002 738.680000000002 835.710000000003 575.920000000002 873.270000000003 901.440000000003 879.530000000003 801.280000000002 810.670000000002 406.900000000001 381.860000000001 882.660000000003 832.580000000003 892.050000000003 910.830000000003 892.050000000003 297.350000000001 241.010000000001 826.320000000003 723.030000000002 544.620000000002 867.010000000003 788.760000000002 857.620000000003 857.620000000003 870.140000000003 841.970000000003 851.360000000003 867.010000000003 901.440000000003 845.100000000003 472.630000000001 494.540000000002 1217.57 863.880000000003 328.650000000001
320.312065044302 724.516073258947 750.747451797696 NA NA 703.329924352452 NA 300.92024419278 768.74149312778 768.74149312778 165.273901709684 736.147660351667 730.43527700742 736.147660351667 770.145218181392 782.494974405181 766.984178733974 764.627156795957 768.416230020768 517.861600476975 NA 367.245209198947 352.395005976429 754.701344460118 773.551894129051 735.216374805473 717.387186094294 765.451022323563 785.980553478429 780.865194161746 797.239555755359 773.550810242661 731.890729639678 832.580000000003 300.480000000001 353.690000000001 820.060000000003 823.190000000003 816.930000000003 829.450000000003 NA 585.310000000002 810.670000000002 795.020000000002 829.450000000003 513.320000000002 841.970000000003 867.010000000003 857.620000000003 857.620000000003 813.800000000002 425.680000000001 413.160000000001 851.360000000003 813.800000000002 860.750000000003 882.660000000003 879.530000000003 259.790000000001 225.360000000001 823.190000000003 801.280000000002 569.660000000002 832.580000000003 823.190000000003 845.100000000003 845.100000000003 845.100000000003 826.320000000003 832.580000000003 854.490000000003 832.580000000003 857.620000000003 560.270000000002 547.750000000002 1064.2 826.320000000003 359.950000000001
328.682335332275 694.651786145898 713.820105265449 NA NA 687.710181141885 NA 299.994113662075 730.591711689256 730.591711689256 171.754770156065 721.547079720659 709.072781441827 721.547079720659 733.945404820405 740.108207911333 728.408234188099 732.363058488493 735.013330563834 459.790337416933 NA 346.298903379352 327.132252048914 728.74012980107 730.957608461016 702.18013996318 706.666135747291 735.883910895119 740.339995030012 738.160278841525 753.218118535338 738.669724630883 686.649246585981 823.190000000003 275.440000000001 334.910000000001 795.020000000002 779.370000000002 766.850000000002 804.410000000002 NA 585.310000000002 769.980000000002 751.200000000002 795.020000000002 497.670000000002 813.800000000002 845.100000000003 838.840000000003 798.150000000002 791.890000000002 403.770000000001 378.730000000001 826.320000000003 763.720000000002 816.930000000003 870.140000000003 857.620000000003 259.790000000001 206.580000000001 788.760000000002 754.330000000002 516.450000000002 801.280000000002 788.760000000002 795.020000000002 807.540000000002 810.670000000002 788.760000000002 795.020000000002 807.540000000002 773.110000000002 810.670000000002 503.930000000002 500.800000000002 970.300000000003 823.190000000003 338.040000000001
448.668811207183 840.052897967154 1402.10914630261 138.093421371429 NA 833.898953284787 659.661272058905 218.238000840974 1419.78546712771 1419.78546712771 149.781400683722 580.28792688224 1406.40841962736 1427.70314947092 1422.50977993837 1425.403781902 1424.94576690252 1425.403781902 1433.06122298387 995.901707950187 731.96609631544 618.23304036904 852.389033100103 1427.70168166083 1422.85339796609 786.500677823431 781.244239504248 1422.74358566099 1425.403781902 1417.79840033073 1486.53103896843 1424.94576690252 1428.02502252616 1289.56 372.470000000001 353.690000000001 1292.69 1239.48 776.240000000002 1280.17 NA 823.190000000003 1248.87 1220.7 1308.34 1286.43 1305.21 1323.99 1349.03 1317.73 1173.75 425.680000000001 397.510000000001 1327.12 1295.82 1336.51 1367.81 1336.51 366.210000000001 219.100000000001 1298.95 1223.83 663.560000000002 1314.6 1308.34 1320.86 1320.86 1323.99 1317.73 1314.6 1320.86 1192.53 1374.07 741.810000000002 716.770000000002 1392.85 1330.25 369.340000000001
