"2016-06-23" "2016-09-09" "2017-06-01" "2018-05-19" "2018-05-28" "2018-06-20" "2018-07-22" "2018-07-29" "2018-09-08" "2018-09-15"
652.144416284262 415.796157998603 405.361897728669 658.877376133942 665.579459821656 NA 398.656065290645 400.068279731998 466.254062553715 401.374438643241
664.680294009676 396.644962605748 399.701738031622 666.857569048961 673.322628755113 NA 386.508966246527 387.286902201399 454.229301880568 389.207544692354
646.522675432401 427.173906440776 406.667117662684 654.287829624986 660.9899133127 NA 406.780955867581 406.769624772187 474.185246348146 409.729890407397
729.109229227 480.58546796199 NA 691.832923313636 745.935289222315 NA NA 458.379056935993 515.300274227442 425.499030761174
641.337959577625 439.61855984328 410.655344579289 649.522619577422 656.224703265136 NA 414.341568677981 415.753836858313 479.426702932053 419.093728967049
671.981226278155 388.021648276474 397.827152831739 673.051257502794 677.732893965508 NA 381.520528391424 380.143142417022 446.49730677746 385.968309064833
719.152851159128 480.58546796199 NA 691.832923313636 736.690038730286 NA NA 468.982752598273 514.180566061584 426.143699193062
709.306518622422 475.930756900796 440.047903911223 691.832923313636 722.702818245505 NA NA 478.90083364654 517.37035200986 427.509836851097
677.984839516727 381.094197296932 391.557872007481 681.703646131842 682.552346040375 NA 376.139429269541 375.539411810872 438.733516202613 380.620944090094
634.38748800984 454.718538345094 414.945225587394 644.267297584104 650.614319179604 NA 425.732918512881 428.633216713888 486.243484438635 428.691811853956
745.730871786238 480.58546796199 NA 701.015538666813 760.436716137204 NA NA 449.531792498715 514.682628771685 426.239195632009
762.605182043731 458.057255627494 449.129151149403 769.525662940847 769.508026183966 NA 395.367566199539 426.319441300441 452.265973838508 422.881556459277
626.828519650192 476.942626912773 428.071669486799 637.260385867819 641.252369578871 NA 443.948506705164 446.993229796136 501.100040282378 440.368729376432
627.154243278495 470.395941246612 423.008643612927 638.890092773326 643.381074448259 NA 438.336808823707 441.76212230105 495.039754627536 436.755229879489
622.866760090273 490.977075905239 435.501552008799 633.561504549935 635.877639468015 NA 454.065280869517 457.714623917169 512.169498713445 449.375700471117
761.329124025557 435.874107404755 450.088512127888 765.519802881027 768.231968165792 NA 392.699200803802 417.388537789607 428.482142352543 414.22036146209
613.941075572576 541.660425304948 497.167558063402 610.373002354245 613.965278371952 NA 501.082385243349 506.525352054553 555.417487906001 494.455385760129
621.494837063255 496.85178377532 439.507882455975 632.557586242559 633.60274268739 NA 460.392077424283 462.611681664777 516.485099020682 454.761305275968
761.108785408153 414.192224489513 449.315840825656 764.768278508939 768.011629548388 NA 390.736656420627 407.016307172306 413.018277599374 404.293145474394
620.487712174245 506.949871804472 447.796252589262 629.715955985348 629.715955985348 NA 470.515854675299 470.871718402282 527.515959056119 463.021342013473
