"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-27" "2017-07-12" "2017-07-17" "2017-07-30" "2017-08-06" "2017-08-21" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-21" "2018-06-26" "2018-07-04" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-18" "2018-09-09" "2018-09-13"
577.148735456286 722.39709828243 714.155804395418 212.195961164017 NA 599.279235093683 356.30547115666 249.641234253148 757.620693120744 757.620693120744 229.723767398406 574.868169803046 849.509066866675 NA 825.443115744472 876.508721132175 615.82256044571 520.942261648892 512.490567684596 384.48216874722 370.009828814143 370.657429771417 372.953081072247 598.09173965766 632.094029450984 713.321501956547 579.792129478144 620.280660436435 644.590930714847 683.550669829662 858.152110145228 688.389619779046 638.618498076627
577.035190159584 736.42744573026 727.118628717508 217.435799918416 NA 597.286102080322 369.181208721972 266.299239047699 766.911241709106 766.911241709106 244.869182200831 551.1401695754 881.411823341106 NA 839.556404662798 914.272016782129 618.748279653921 499.343863147793 492.855126931945 380.843411087529 371.612923213444 366.595957267606 367.527470143603 593.104789302224 641.862342562248 719.852054708455 583.374656722601 621.63562638139 645.798879507995 698.708630075469 901.647547139073 701.86929094737 642.5561144953
578.904294315133 708.2050170782 707.08044004165 213.268420428623 NA 606.545018694741 334.973814872156 247.352846456676 743.935178577484 743.935178577484 224.147774878885 596.649127313053 837.226716730428 NA 828.078592714504 857.275049517368 619.857246127233 553.674245716843 540.000244838725 385.933544201752 368.105144812023 374.310239276849 373.120705686695 607.980380204335 628.381630365771 697.647010141779 588.946119300008 623.76650109864 642.989884352274 665.844421303699 828.95551324469 677.417809164347 641.936816048883
577.106797311335 737.351020198284 730.239422313887 221.377794857308 NA 601.238360587412 371.618678354552 281.277751071365 770.098374243189 770.098374243189 260.575764637556 525.840181827591 900.685521051308 NA 842.935006580647 939.431098246412 612.04099378068 471.238273594624 466.231922341544 377.121879184832 370.354300364464 363.414646333972 361.225327383203 585.319037865329 645.280934488931 719.322717452692 573.588189663863 617.508869443595 642.495004343027 707.9064293899 931.812436968739 707.46604210643 636.05312737275
585.218066338982 684.870730754923 708.405721556012 216.345237734077 NA 616.050634476931 321.982298799787 247.925406412891 731.663544532011 731.663544532011 222.580499653476 613.813172149692 834.71985578014 NA 836.861662473202 858.674358317072 630.030277530148 587.292818428043 567.287330419999 385.226424374401 369.813586830881 374.772040678109 366.387296943371 619.744345444175 630.84846265783 679.231793055396 600.78931599102 628.422697717647 644.357125592233 653.849298798461 815.512735421373 665.893528552641 647.3683149619
NA 731.782650892664 741.625279618407 229.180765129182 NA 615.617535256236 375.613845502149 302.237363380348 775.634209248989 775.634209248989 283.143973436471 502.87280479406 921.236550707135 NA 849.555859726543 965.216603805587 604.114494293712 455.063481974439 448.731178712147 383.399994827767 376.01375432599 366.218069727962 364.028750777193 575.487084995767 643.657464769666 717.043112792012 567.584654366593 612.046812242585 634.854528365705 712.065295120992 961.386432727951 711.733202963486 626.998914263831
151.674681924556 378.965976678626 407.016606151754 94.0871835070521 NA 367.655846701321 151.480073343459 117.473562630257 415.950372882262 415.950372882262 85.8599001299775 NA 382.836006412771 NA 442.854623825784 454.165144278982 311.353627439631 290.697353268446 267.377747943237 211.158745907517 NA 183.849799095053 191.428755682077 281.289401522059 416.454276622614 423.377358564576 329.956220872162 317.807749272956 436.597832332862 416.454276622614 436.597832332862 351.770540618239 333.687991116708
167.684051712207 403.298504663007 427.82128732454 110.376912149365 NA 388.576126302167 180.020996233563 138.826471812793 431.293588600129 431.293588600129 131.076469014425 NA 397.454311778408 NA 459.343181037374 464.433354033791 331.114353217365 289.253888293296 269.527033804603 230.464622610121 NA 205.473243678119 200.696357070246 280.690134830899 430.921615185321 437.214226450027 336.431684816616 344.33983238275 446.235571410415 430.921615185321 446.235571410415 363.299885185152 334.840777681163
597.729187154364 661.431921849414 714.245806645239 223.174717357246 NA 625.243362107448 316.982309601286 249.568654127149 724.521114240163 724.521114240163 224.303288299835 629.110653635697 844.000694714778 NA 848.674322139229 872.880759465905 647.457088854174 619.727979330914 598.947642601055 388.187575965742 380.27697084564 378.548322206536 366.296357759473 633.56762239879 636.697589337385 662.678086451968 613.012990176474 638.887026523533 645.482074868563 644.011464482559 822.877383776125 655.436889465535 657.124522058542
135.300758621261 365.631108265817 394.992381306475 77.460629255352 NA 355.478888186214 136.535914843119 108.882800428903 414.518912938747 414.518912938747 40.663495296335 NA 380.117242013584 NA 430.776371510161 446.569941543701 309.281631769156 296.799362997673 275.360479529375 202.811457576902 NA 178.013422144085 195.636024249696 286.655077957469 416.381961314981 417.662877686207 335.659964175318 303.865413697325 436.525517025228 416.381961314981 436.525517025228 358.464585006073 331.543008564259
NA 698.364986004098 727.186957671586 234.369124237809 NA 609.227376235469 378.912421820615 318.536326686541 749.990678580619 749.990678580619 303.989490408379 476.962288298599 928.950478086197 NA 844.712053151903 978.93552052428 588.255752455597 454.615701330393 443.434434834516 393.456665273315 384.039819055611 373.261078944811 371.229920191963 557.252081808013 629.405998465109 689.018323599355 552.786504749908 599.749939539232 615.878884657922 682.352477419455 978.307182780223 687.223292756011 615.986754786577
194.248409446481 434.993306340845 458.289402838898 131.938141438103 NA 417.266642904373 216.303479671614 169.150506387164 458.196661896575 458.196661896575 176.925364307443 NA 423.395723012195 NA 483.446134789743 486.722607185497 363.942743550842 299.077581515338 285.265098550186 258.929879775832 NA 240.398229223552 225.014617838552 297.27212402364 461.451856914292 465.099111015341 353.622084490491 382.949462500889 466.159088362259 460.858103515111 465.565334963078 391.855512775392 336.231745571997
615.451582238271 668.142639190256 752.450661020881 235.581094676226 NA 642.534370732331 317.800494998122 252.699410942844 763.403069665544 763.403069665544 233.224769891632 647.42239537147 874.945005881021 NA 883.84035862379 904.180240876941 667.212776900339 644.724258933638 627.74252766623 392.579569176342 395.958370979276 383.323732355778 369.078913229373 654.893188698888 652.271580546834 669.820752590302 632.492686144902 657.199911149636 657.306834843779 662.245867603839 855.697624200361 672.454264646906 672.277196537901
623.149182084358 680.257690457959 803.969009085971 248.416559335476 NA 665.150946890215 321.954603575631 257.073001955532 817.348887315264 817.348887315264 244.656033717696 665.228666660624 915.287018345124 NA 929.582492944089 942.687907241385 687.562942010689 669.108475678218 654.511905856897 391.551427781621 407.664994657308 390.130367543933 367.854479287458 677.667735507768 672.621745657184 676.919186183368 655.384145650207 677.667900975869 673.86829009327 682.713857430072 900.418802267987 692.68668702065 687.709932067189
634.592521093026 701.649038236715 853.529276752747 262.371236637855 NA 691.340452401753 336.910996469798 269.909646809229 869.22022415428 869.22022415428 259.946054565125 686.529324909654 954.272020273492 NA 974.074526043204 985.668485751533 708.863600259719 694.197843788108 679.796822073305 391.662311908546 418.45753353945 400.451552154866 365.343607708054 701.589943000791 696.543953150207 685.439371376457 684.076555344438 701.590108468892 696.543953150207 706.636064923095 950.42756893928 714.263035299307 707.882690941435
651.399704493476 726.04732218831 884.90909877634 282.779509707581 NA 716.346810081219 363.412805507134 288.934607783386 907.472826086588 907.472826086588 282.180459622801 711.339330839953 985.617602277244 NA 1002.77881269649 1023.93487868171 728.706360443766 717.328436953607 704.870437978237 400.619247855501 437.417564547251 417.762547253304 375.192818883361 726.478489630756 721.432499780173 698.20362823276 712.989534848443 726.478655098858 721.432499780173 731.52461155306 997.439506310354 736.96319730177 732.771478556655
671.862979523026 747.745377857462 898.91439195032 305.887617408778 NA 737.534252493252 397.546560918751 317.317318400004 933.692059120664 933.692059120664 311.770031268897 732.526773251985 1007.75043116405 NA 1012.60891657387 1039.98240129993 746.998661415857 735.540717164644 729.374927376346 424.158292349717 469.449638174932 446.701021477659 407.526240980176 746.026720021515 742.619942192205 711.603447316875 736.680123335097 748.608768139419 742.934165735048 752.673560085471 1028.45665952425 762.021175556258 758.88894488997
683.441167814777 766.353258527156 909.22100518334 322.380843040686 NA 756.142133162945 441.08921488183 356.206522205487 954.020580671318 954.020580671318 348.942592566971 748.170716565101 1022.32033931971 NA 1011.5622450601 1042.47626584957 768.411694264892 754.412714749782 753.478929374738 459.732853588226 515.347603766291 478.251639609652 446.49874695411 771.032693924072 766.06630338108 720.89765885792 758.988329297474 776.195946597491 766.851616305101 777.757205344567 1048.80634243941 796.644339802489 792.491456458699
214.909823326897 464.15074134431 490.145415954168 146.05913826881 NA 425.166290903337 241.150702701996 181.474958185159 485.243379782168 485.243379782168 215.741916580366 NA 449.412674654334 NA 522.269684583488 524.211094128849 378.744834495132 315.814199269145 305.987271577959 284.109138536642 NA 268.886442279709 240.870375871109 318.259346293771 480.166233198982 501.283921602471 355.829415582522 433.191716266208 474.989084120546 491.134021791584 493.042979095209 401.974958589535 342.219144052421
NA 650.264815410796 711.5687901918 246.925889756622 NA 604.050920978659 383.602989487172 329.502712699755 708.036495927667 708.036495927667 328.569720859037 462.648493138411 928.539870082163 NA 826.836987039869 995.532316588589 544.057688883116 455.705596826664 438.153221076613 401.021031119248 392.554320415804 383.45004412313 380.026114968544 536.011356613472 594.642831032173 643.718013354935 531.182819843062 571.099949947377 582.172963026636 627.18404116642 995.532316588589 647.017412838245 595.442341123417
