"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 16.2576333523058 19.5242194437942 25.3452676323163 20.5719598031481 26.7829354681965 25.1310558158829
"15356000" 4.87876946494521 10.4006049763375 15.2265751539841 10.5744781624007 20.9349088486752 18.2527774573301
"15485500" 6.13091329826297 12.064861514058 32.2652793884123 14.6330977553524 33.4455482033662 32.9384198270883
"15515500" 23.6378811637374 20.8065762373244 25.0163217561222 21.5377706263892 30.3910251797363 54.0833183621456
"15484000" NA 46.0383658541067 61.620747648381 NA 415.108592963226 NA
"15493400" NA 42.2956602505073 99.8576854048391 NA 86.2552234100536 NA
"15514000" NA 68.2003912011808 795.418382810557 NA 7252.05050205304 NA
"15477740" NA 30.3656908500651 79.1561630851874 NA 86.855708557623 NA
"15493700" NA 75.1674760592002 1164.76681079968 NA 4548.60919057765 NA
"15511000" NA NA 713.893975787173 NA NA NA
"15519100" NA NA 396.741538952829 NA NA NA
