"Date" "rc_Q" "gauge_Q"
2016-05-17 9860.17754509083 12572.0852330696
2016-05-30 8878.33375680362 10579.0039856917
2016-05-30 9640.8392571142 10579.0039856917
2016-06-15 8610.0961406956 7796.27915424922
2016-06-17 7405.4068161196 7810.43757754521
2016-06-24 7460.36818629669 7119.33661962087
2016-06-25 NA 7003.0959643607
2016-06-26 8366.75844100325 6893.67966912922
2016-08-18 NA 10029.4872607273
2016-08-18 NA 10029.4872607273
2016-08-31 9232.0772813709 7525.20198182401
2016-09-01 9232.0772813709 7389.81913826765
2016-09-03 8005.22530896975 7181.57704843009
2017-05-17 7391.45635083851 9372.876221952
2017-05-31 7431.12361403143 8674.97922084557
2017-06-02 8556.69126468431 7250.30203510886
2017-06-04 6864.87044482186 6547.39295215565
2017-06-13 6688.03568706184 6201.389403648
2017-06-27 4068.88611100602 4990.84421184
2017-07-04 3772.65162086815 5117.08071394714
2017-07-06 NA 4858.68948879513
2017-07-15 4834.60202430516 5423.55394461235
2017-07-18 NA 5594.04967794279
2017-07-29 4309.20361783465 5685.20160712243
2017-07-30 5214.55712147506 5663.08614993408
2017-08-06 6222.62984622251 5974.854630912
2017-08-07 6262.72673430465 5999.91504014592
2017-09-08 3783.59597083418 5285.82080278887
2017-09-08 5001.09591213368 5285.82080278887
2017-09-15 3081.74138808402 4836.8572000727
2017-09-15 NA 4836.8572000727
2018-05-18 10021.3842380952 10932.9645680916
2018-05-28 10305.6130508985 11764.7719367317
2018-05-29 8491.29617171191 12221.7208901867
2018-05-29 NA 12221.7208901867
2018-06-05 9359.09564900285 7995.2899520978
2018-06-07 7727.55350586293 7677.48998279578
2018-06-07 9119.66726967322 7677.48998279578
2018-06-08 9343.65674862018 7803.0468805847
2018-06-21 7112.07701338788 6402.26911337165
2018-06-23 9613.8095402196 6211.13039887565
2018-07-07 8141.77155039127 7490.08909204992
2018-07-13 9651.72764305799 6691.04431491687
2018-07-17 6774.25128277944 5901.11756238643
2018-07-20 NA 5213.24472497357
2018-07-23 NA 5056.02959269478
2018-07-23 4237.52243810672 5056.02959269478
2018-07-26 4141.296713668 5052.32008579123
2018-08-23 NA 7099.25997538713
2018-09-09 9483.90861042362 7701.30445077965
2018-09-11 9423.07103839505 7483.60453418035
2018-09-13 9100.61365807534 7218.72875115879
