"2016-05-17" "2016-05-30" "2016-06-25" "2016-06-26" "2016-08-18" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-13" "2017-06-27" "2017-07-15" "2017-07-18" "2017-07-30" "2017-08-06" "2017-08-07" "2017-09-08" "2017-09-15" "2018-05-18" "2018-05-28" "2018-05-29" "2018-06-05" "2018-06-07" "2018-06-08" "2018-06-21" "2018-06-23" "2018-07-07" "2018-07-13" "2018-07-17" "2018-07-20" "2018-07-23" "2018-07-26" "2018-08-23" "2018-09-09" "2018-09-11" "2018-09-13" "2018-05-16" "2018-05-18" "2018-05-19" "2018-05-25" "2018-05-29" "2018-06-04" "2018-06-05" "2018-06-06" "2018-06-07" "2018-06-15" "2018-06-20" "2018-06-21" "2018-06-23" "2018-06-27" "2018-07-01" "2018-07-03" "2018-07-04" "2018-07-22" "2018-07-28" "2018-07-29" "2018-07-31" "2018-08-18" "2018-08-31" "2018-09-07" "2018-09-08" "2018-09-14" "2018-09-15" "2016-08-27" "2017-05-17" "2017-06-14" "2017-06-15" "2017-06-19" "2017-06-21" "2017-06-27" "2017-07-08" "2017-07-29" "2017-08-16" "2017-08-22" "2017-09-02" "2017-09-03" "2017-09-08" "2017-09-09"
904.9248853 864.015242 NA 803.8022503 NA 845.2817462 845.2817462 851.6644123 757.2154702 649.1950821 672.3820269 NA 674.4923083 752.6429608 743.3922255 730.0407504 NA 876.1584616 916.2375331 NA 883.5577857 822.9889272 854.6798047 771.8462796 853.2057724 771.6833934 852.428162 755.8379699 NA 680.2689725 674.0360882 NA 833.7556029 847.6698399 819.5183676 NA 920.220000000001 895.180000000001 NA 917.090000000001 888.920000000001 NA 671.759999999998 NA NA NA 587.789999999998 NA NA NA 679.210000000001 773.110000000001 NA NA NA NA NA NA NA NA NA 544.249999999999 914.339999999998 NA 653.099999999998 641.650000000001 744.940000000001 640.659999999998 572.239999999998 NA 643.769999999998 757.460000000001 607.220000000001 NA 644.780000000001 842.809999999998 NA
856.1807534 844.7122578 NA 810.6295785 NA 828.0645877 828.0645877 624.8362364 709.7429805 546.9410652 605.1755405 NA 625.8401897 681.4355846 686.2872682 612.0162506 NA 867.5468792 871.9813881 NA 830.8285757 820.5575519 830.8285757 746.2412778 842.8965387 798.0271669 845.9089133 708.3509101 NA 561.33021715 537.9995527 NA 848.3319099 840.8724205 836.9301679 NA 863.880000000001 851.360000000001 NA 820.060000000001 785.630000000001 NA 668.649999999998 NA NA NA 478.939999999999 NA NA NA 485.150000000001 716.770000000001 NA NA NA NA NA NA NA NA NA 637.549999999998 755.729999999998 NA 538.029999999998 572.790000000001 638.520000000001 541.139999999999 463.389999999999 NA 559.799999999998 622.870000000001 494.540000000001 NA 491.410000000001 765.059999999998 NA
877.7419774 839.6918372 NA 795.8356867 NA 826.4978651 826.4978651 842.8362657 761.9937536 659.7949278 685.9638086 NA 687.3056436 757.5983944 746.5512567 740.4513578 NA 833.4345423 873.5136138 NA 853.194298 809.1967205 839.483656 773.2384788 833.702962 765.2166071 833.2500087 761.6731232 NA 688.40079435 682.4928602 NA 822.7588939 837.5531229 808.5797055 NA 923.350000000001 870.140000000001 NA 920.220000000001 807.540000000001 NA 749.509999999998 NA NA NA 637.549999999998 NA NA NA 676.080000000001 798.150000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 805.489999999998 NA 628.219999999998 635.390000000001 769.980000000001 621.999999999998 575.349999999998 NA 634.439999999998 795.020000000001 735.550000000001 NA 732.420000000001 802.379999999998 NA
871.7754499 864.1511871 NA 824.6917692 NA 843.3221368 843.3221368 651.7452282 726.0572399 558.146177 614.7166856 NA 636.0449549 697.1552197 703.9945486 626.4661509 NA 889.6119954 893.606685 NA 846.6239094 837.7731852 846.6239094 756.6486252 858.2925128 805.1866151 873.2337993 714.7872381 NA 576.86162935 551.5578372 NA 860.6904772 853.9684481 846.19839 NA 863.880000000001 873.270000000001 NA 829.450000000001 807.540000000001 NA 628.219999999998 NA NA NA 506.929999999999 NA NA NA 466.370000000001 798.150000000001 NA NA NA NA NA NA NA NA NA 671.759999999998 802.379999999998 NA 553.579999999998 588.440000000001 729.290000000001 550.469999999998 472.719999999999 NA 597.119999999998 563.400000000001 507.060000000001 NA 513.320000000001 761.949999999998 NA
877.8085814 873.5835846 NA 828.9876924 NA 852.2690239 852.2690239 683.609152 735.4076198 563.6497371 618.9644645 NA 642.4134526 709.0212337 717.913594 634.4967101 NA 901.0033333 904.3999036 NA 855.6107342 846.4158216 853.4563186 758.063561 865.1311628 806.7224164 869.4882498 714.7469242 NA 586.9794069 564.320833 NA 865.48452 858.6611067 848.5639636 NA 885.790000000001 901.440000000001 NA 835.710000000001 813.800000000001 NA 718.409999999998 NA NA NA 485.159999999999 NA NA NA 388.12 779.370000000001 NA NA NA NA NA NA NA NA NA 693.529999999998 780.609999999998 NA 649.989999999998 613.480000000001 716.770000000001 590.899999999998 482.049999999999 NA 625.109999999998 566.530000000001 507.060000000001 NA 547.750000000001 724.629999999998 NA
928.8285025 907.6878172 NA 819.0397487 NA 879.1190154 879.1190154 830.5686009 752.1137189 634.1569033 662.2823126 NA 666.3777211 750.5784203 743.1554672 721.0709909 NA 923.1684571 954.615759 NA 906.0741986 849.3320552 883.2944849 770.3534703 887.5506899 784.614279 892.4327981 746.8296396 NA 670.402083 658.3118169 NA 857.9086137 868.0738273 840.4142093 NA 926.480000000001 910.830000000001 NA 904.570000000001 863.880000000001 NA 702.859999999998 NA NA NA 572.239999999998 NA NA NA 435.070000000001 738.680000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 883.239999999998 NA 643.769999999998 635.390000000001 735.550000000001 646.879999999998 528.699999999999 NA 649.989999999998 751.200000000001 616.610000000001 NA 638.520000000001 771.279999999998 NA
853.273058 823.7784967 NA 788.9363777 NA 813.982387 813.982387 827.9867304 758.8546594 661.2792594 690.121998 NA 692.4652283 754.3691423 744.5494643 741.5045754 NA 814.5255376 846.5887948 NA 830.3333422 799.662364 826.2659373 768.8499707 820.1581844 759.8128948 817.5553664 757.4191665 NA 690.52960415 685.3537106 NA 813.9660119 828.2669258 800.8363514 NA 807.540000000001 782.500000000001 NA 795.020000000001 769.980000000001 NA 693.529999999998 NA NA NA 640.659999999998 NA NA NA 729.290000000001 760.590000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 789.939999999998 NA 643.769999999998 651.040000000001 707.380000000001 674.869999999998 575.349999999998 NA 681.089999999998 710.510000000001 579.050000000001 NA 651.040000000001 811.709999999998 NA
794.2971629 788.3216322 NA 739.2174651 NA 774.2071251 774.2071251 730.8674752 655.0447049 518.4058738 573.426656 NA 609.9659266 632.5747227 632.5747227 557.5439888 NA 792.4809725 792.4809725 NA 781.4429383 778.5568921 781.4429383 668.3045506 880.6984986 732.9780037 NA 669.0513318 NA 523.79402525 522.7169821 NA 790.6997128 782.7899035 773.0355562 NA 769.980000000001 773.110000000001 NA 776.240000000001 760.590000000001 NA 662.429999999998 NA NA NA 416.739999999999 NA NA NA 384.99 663.560000000001 NA NA NA NA NA NA NA NA NA 525.589999999999 765.059999999998 NA 590.899999999998 582.180000000001 666.690000000001 575.349999999998 478.939999999999 NA 587.789999999998 500.800000000001 500.800000000001 NA 497.670000000001 743.289999999998 NA
941.554066 894.9526839 NA 813.0321783 NA 869.0629674 869.0629674 847.8293304 753.950646 642.3586097 666.2536438 NA 667.1839207 748.4956361 740.9839377 731.7286412 NA 927.7047957 967.013923 NA 919.2346018 840.8248295 875.0663668 773.3609286 874.9900563 778.4659215 881.4399956 752.1938356 NA 675.6591677 668.3769822 NA 849.2631178 861.2625595 832.5208043 NA 888.920000000001 898.310000000001 NA 832.580000000001 807.540000000001 NA 718.409999999998 NA NA NA 578.459999999998 NA NA NA 447.59 729.290000000001 NA NA NA NA NA NA NA NA NA 488.269999999999 827.259999999998 NA 615.779999999998 626.000000000001 657.300000000001 637.549999999998 528.699999999999 NA 643.769999999998 694.860000000001 610.350000000001 NA 644.780000000001 768.169999999998 NA
825.9060098 814.5757554 NA 772.7410573 NA 799.2165027 799.2165027 629.5233583 672.5199145 525.9419093 574.303914 NA 603.6020536 644.2609035 648.3363306 581.4239565 NA 830.3405187 834.7750277 NA 805.734086 796.9885974 805.734086 711.5314623 821.860877 766.1872906 NA 688.5196723 NA 532.27998025 517.4723508 NA 826.5949041 814.8495831 805.7673534 NA 820.060000000001 795.020000000001 NA 801.280000000001 773.110000000001 NA 681.089999999998 NA NA NA 475.829999999999 NA NA NA 344.3 710.510000000001 NA NA NA NA NA NA NA NA NA 671.759999999998 830.369999999998 NA 600.229999999998 541.490000000001 638.520000000001 569.129999999998 513.149999999999 NA 581.569999999998 582.180000000001 488.280000000001 NA 485.150000000001 808.599999999998 NA
