"2016-05-31" "2016-06-27" "2016-08-18" "2016-08-19" "2017-06-14" "2017-07-19" "2017-08-05" "2017-08-08" "2018-07-24" "2018-08-01" "2018-09-15"
10.6502357342871 28.3129914541435 37.0774553806047 37.0774553806047 19.3473707845233 2.0076099482215 3.04300526340084 NA 3.00691355473533 3.00691355473533 39.7758200788669
25.9516608033556 29.5371268342437 36.8286446405345 36.8286446405345 20.5715061646235 5.58041873468404 8.86883349835353 NA 8.86883349835353 8.86883349835353 37.2261629113704
NA 34.9202182870985 41.670559533196 41.670559533196 26.0627687660812 NA 0.781650280263564 NA NA 0.745558571598054 47.6580302756839
26.0184514091771 21.3584237400147 25.8427938911692 25.8427938911692 16.6272556314282 14.3012763975451 13.9366657819107 NA 13.9366657819107 13.9366657819107 25.8427938911692
NA 35.2262341033295 45.1044720372373 45.1044720372373 33.526617632852 NA 15.8264431745911 NA 8.92672601715437 14.2931613120656 53.2428046692179
NA 36.4925039511473 45.6646532366912 45.6646532366912 33.1990408481211 NA 14.0679494885254 NA 7.93486757080388 12.7050322773916 52.8987266873406
NA 33.672398273689 42.6580139856806 42.6580139856806 33.672398273689 NA 18.0873636281041 NA 10.2019725910336 16.3350414995035 51.561447294251
30.2773093027437 26.8791003153234 31.8668190519968 31.8668190519968 19.8558984691061 8.58480922987461 12.7969619666922 NA 12.7969619666922 12.7969619666922 31.8668190519968
NA 31.0081054526644 40.3877848765495 40.3877848765495 31.0081054526644 NA 22.3226650059311 NA 12.1754643335269 18.3085332419969 47.3508268704778
NA 30.8962828801513 39.3869979030936 39.3869979030936 30.8962828801513 NA 25.3676148118232 NA 14.417721900906 19.7841571958172 45.4796596477809
NA 39.4888668564828 48.5378450103899 48.5378450103899 32.9234510730962 NA 5.23469589774574 NA 2.19046575920682 5.19860418908024 54.5253157528779
NA 19.4034918554479 30.3309416514581 30.3309416514581 16.9469151604064 67.3437902703373 16.9469151604064 5.15813837302875 19.0919344961984 19.0919344961984 45.9029595733026
NA 20.3022717611015 28.1757847211414 28.1757847211414 17.4947555381969 66.8897234597244 17.4947555381969 1.25286712566793 17.7110978354025 17.7110978354025 41.7917285832816
NA 22.6540139039341 26.6217015762241 26.6217015762241 12.5103802420201 65.5971509510965 12.5103802420201 0.157648664270511 12.5103802420201 12.5103802420201 34.5404259713045
NA 20.4156434456948 25.2397123386004 25.2397123386004 13.5465086141945 65.5971509510965 13.5465086141945 0.180169902023441 13.5465086141945 13.5465086141945 36.1266344911023
51.2912224839375 49.2143339656441 51.8362301976923 51.8362301976923 49.2143339656441 21.5661702424438 38.2910075292579 NA 40.2150603399686 35.5546233286316 52.1966853104765
46.6673489919012 40.1569503881859 44.4950770401691 44.4950770401691 40.1569503881859 12.7963226515716 30.1189286386334 NA 31.1576767625104 26.4972397511734 47.1468345460603
NA 30.1687847702249 37.1049463373871 37.1049463373871 21.2031641006047 NA 0.0360917086655096 NA NA NA 42.09534477328
4.39792391581094 8.91522881285167 11.0080973892763 11.0080973892763 6.99927457894277 69.8830636366298 7.77601408083226 NA 7.77601408083226 4.90640600251811 47.1242406539883
6.15709348213532 1.06876844724268 1.06876844724268 1.06876844724268 0.157547865891821 69.5919749182421 0.157547865891821 NA 0.157547865891821 0.157547865891821 48.4620247179481
