"2018-05-27" "2018-05-29" "2018-06-02" "2018-06-08" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-13" "2018-07-20" "2018-07-21" "2018-07-23" "2018-07-29" "2018-07-31" "2018-08-10" "2018-08-11" "2018-08-19" "2018-09-07" "2018-09-11" "2018-09-13" "2018-09-14" "2016-08-17" "2016-08-22" "2016-09-01" "2017-05-15" "2017-05-18" "2017-06-03" "2017-06-06" "2017-06-14" "2017-06-15" "2017-06-28" "2017-07-06" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-05" "2017-08-09" "2017-08-21" "2017-08-31" "2017-09-02" "2017-09-04" "2017-09-08" "2017-09-16"
641.650000000002 366.210000000001 381.860000000001 635.390000000002 632.260000000002 638.520000000002 626.000000000002 NA 597.830000000002 635.390000000002 632.260000000002 632.260000000002 638.520000000002 632.260000000002 635.390000000002 641.650000000002 641.650000000002 663.560000000002 488.280000000002 450.720000000001 588.440000000002 591.570000000002 597.830000000002 638.520000000002 635.390000000002 250.400000000001 278.570000000001 616.610000000002 613.480000000002 NA 613.480000000002 610.350000000002 619.740000000002 619.740000000002 619.740000000002 616.610000000002 616.610000000002 619.740000000002 688.600000000002 641.650000000002 NA 494.540000000002 635.390000000002 635.390000000002 359.950000000001
585.310000000002 372.470000000001 369.340000000001 582.180000000002 575.920000000002 585.310000000002 575.920000000002 NA 528.970000000002 582.180000000002 572.790000000002 575.920000000002 575.920000000002 544.620000000002 579.050000000002 582.180000000002 588.440000000002 569.660000000002 419.420000000001 384.990000000001 563.400000000002 560.270000000002 566.530000000002 575.920000000002 572.790000000002 203.450000000001 253.530000000001 547.750000000002 557.140000000002 NA 557.140000000002 550.880000000002 560.270000000002 557.140000000002 557.140000000002 550.880000000002 554.010000000002 557.140000000002 544.620000000002 579.050000000002 NA 444.460000000001 582.180000000002 582.180000000002 359.950000000001
528.970000000002 331.780000000001 331.780000000001 522.710000000002 519.580000000002 522.710000000002 516.450000000002 NA 441.330000000001 522.710000000002 516.450000000002 516.450000000002 525.840000000002 522.710000000002 519.580000000002 516.450000000002 528.970000000002 503.930000000002 356.820000000001 322.390000000001 525.840000000002 525.840000000002 532.100000000002 532.100000000002 532.100000000002 162.760000000001 256.660000000001 513.320000000002 513.320000000002 NA 516.450000000002 507.060000000002 519.580000000002 519.580000000002 519.580000000002 513.320000000002 513.320000000002 519.580000000002 472.630000000001 503.930000000002 NA 372.470000000001 528.970000000002 528.970000000002 338.040000000001
497.670000000002 259.790000000001 259.790000000001 488.280000000002 488.280000000002 485.150000000002 491.410000000002 NA 435.070000000001 491.410000000002 485.150000000002 491.410000000002 494.540000000002 488.280000000002 488.280000000002 488.280000000002 497.670000000002 466.370000000001 322.390000000001 306.740000000001 491.410000000002 494.540000000002 497.670000000002 510.190000000002 507.060000000002 140.85 206.580000000001 478.890000000001 478.890000000001 NA 488.280000000002 485.150000000002 491.410000000002 488.280000000002 488.280000000002 482.020000000001 482.020000000001 488.280000000002 413.160000000001 482.020000000001 NA 325.520000000001 497.670000000002 500.800000000002 281.700000000001
519.580000000002 309.870000000001 309.870000000001 510.190000000002 503.930000000002 507.060000000002 503.930000000002 NA 406.900000000001 510.190000000002 503.930000000002 507.060000000002 513.320000000002 507.060000000002 503.930000000002 510.190000000002 522.710000000002 503.930000000002 347.430000000001 328.650000000001 513.320000000002 510.190000000002 516.450000000002 528.970000000002 528.970000000002 169.020000000001 228.490000000001 497.670000000002 497.670000000002 NA 503.930000000002 497.670000000002 507.060000000002 507.060000000002 507.060000000002 507.060000000002 503.930000000002 507.060000000002 469.500000000001 500.800000000002 NA 350.560000000001 522.710000000002 525.840000000002 316.130000000001
979.690000000003 554.010000000002 547.750000000002 954.650000000003 945.260000000003 948.390000000003 954.650000000003 NA 879.530000000003 920.220000000003 926.480000000003 957.780000000003 832.580000000003 913.960000000003 945.260000000003 979.690000000003 973.430000000003 973.430000000003 669.820000000002 604.090000000002 932.740000000003 945.260000000003 960.910000000003 920.220000000003 1010.99 319.260000000001 419.420000000001 923.350000000003 913.960000000003 NA 932.740000000003 920.220000000003 945.260000000003 951.520000000003 951.520000000003 920.220000000003 929.610000000003 935.870000000003 964.040000000003 989.080000000003 NA 754.330000000002 992.210000000003 979.690000000003 554.010000000002
500.800000000002 178.410000000001 178.410000000001 482.020000000001 478.890000000001 494.540000000002 422.550000000001 NA 259.790000000001 460.110000000001 431.940000000001 485.150000000002 NA 507.060000000002 494.540000000002 497.670000000002 482.020000000001 291.090000000001 266.050000000001 222.230000000001 510.190000000002 503.930000000002 510.190000000002 450.720000000001 441.330000000001 147.11 153.37 469.500000000001 403.770000000001 NA 500.800000000002 475.760000000001 510.190000000002 497.670000000002 503.930000000002 466.370000000001 482.020000000001 494.540000000002 494.540000000002 519.580000000002 NA 266.050000000001 519.580000000002 507.060000000002 175.280000000001
669.820000000002 356.820000000001 350.560000000001 660.430000000002 657.300000000002 660.430000000002 651.040000000002 NA 641.650000000002 660.430000000002 657.300000000002 654.170000000002 660.430000000002 657.300000000002 651.040000000002 666.690000000002 691.730000000002 704.250000000002 554.010000000002 482.020000000001 616.610000000002 622.870000000002 629.130000000002 663.560000000002 663.560000000002 291.090000000001 313.000000000001 638.520000000002 644.780000000002 NA 651.040000000002 644.780000000002 654.170000000002 651.040000000002 651.040000000002 644.780000000002 644.780000000002 651.040000000002 741.810000000002 669.820000000002 NA 560.270000000002 663.560000000002 672.950000000002 359.950000000001
478.890000000001 219.100000000001 200.320000000001 488.280000000002 485.150000000002 419.420000000001 497.670000000002 NA 416.290000000001 494.540000000002 485.150000000002 497.670000000002 497.670000000002 494.540000000002 488.280000000002 491.410000000002 500.800000000002 491.410000000002 325.520000000001 269.180000000001 500.800000000002 491.410000000002 503.930000000002 507.060000000002 507.060000000002 134.59 178.410000000001 456.980000000001 438.200000000001 NA 491.410000000002 475.760000000001 497.670000000002 494.540000000002 494.540000000002 482.020000000001 488.280000000002 494.540000000002 366.210000000001 513.320000000002 NA 325.520000000001 503.930000000002 494.540000000002 228.490000000001
485.150000000002 219.100000000001 231.620000000001 482.020000000001 478.890000000001 416.290000000001 478.890000000001 NA 428.810000000001 482.020000000001 478.890000000001 482.020000000001 485.150000000002 478.890000000001 482.020000000001 485.150000000002 491.410000000002 485.150000000002 341.170000000001 272.310000000001 488.280000000002 485.150000000002 491.410000000002 494.540000000002 494.540000000002 131.46 190.930000000001 472.630000000001 472.630000000001 NA 482.020000000001 475.760000000001 485.150000000002 482.020000000001 478.890000000001 472.630000000001 475.760000000001 478.890000000001 384.990000000001 494.540000000002 NA 356.820000000001 494.540000000002 488.280000000002 241.010000000001
