"Date" "rc_Q" "gauge_Q"
2016-05-31 27.6367817911169 51.564977644032
2016-06-25 66.7831720782279 57.596465968128
2016-06-26 66.7831720782279 54.79309815552
2016-08-18 262.482466488382 120.686400175104
2016-08-19 262.482466488382 117.033526964736
2016-08-31 46.0042507766271 102.252133043712
2016-09-01 46.0042507766271 98.740844066304
2016-09-07 168.205294900257 105.848372560896
2016-09-09 168.205294900257 110.775503867904
2017-05-31 84.6339081610526 54.79309815552
2017-06-14 38.8007134235252 70.848750173184
2017-06-27 60.4424372534982 39.445367302656
2017-07-12 60.1796014440204 70.763799633408
2017-07-17 77.4420543324307 57.426564888576
2017-07-19 60.6433804242411 55.585969860096
2017-07-30 64.2994293031185 47.317450655232
2017-08-06 67.3306713099385 41.314279177728
2017-08-21 44.2339466286615 76.483802644992
2017-09-02 94.6296986052264 56.35052471808
2017-09-08 101.069951688503 49.044778297344
2017-09-15 78.6252224152918 44.570716535808
2018-05-21 151.739959768344 183.748017535488
2018-05-28 102.248369627783 172.959298983936
2018-06-02 141.639085410875 127.680661283328
2018-06-21 59.6583599744826 79.655289463296
2018-06-26 86.3078352079047 76.73865426432
2018-07-07 47.3266099464808 71.21686917888
2018-07-20 49.7459455310727 70.22577954816
2018-07-23 87.6620367757583 62.042210883072
2018-07-24 58.7486693696945 59.833496848896
2018-07-26 98.0883765588112 55.755870939648
2018-08-18 81.8186960352 94.634901310464
2018-09-08 151.299834220846 168.853356228096
2018-09-09 136.115990648201 159.933549551616
2018-09-11 528.509918953527 143.339877448704
2018-09-13 173.724436945615 128.671750914048
