"2016-05-31" "2016-06-27" "2016-08-18" "2016-08-19" "2017-06-14" "2017-07-19" "2017-08-05" "2017-08-08" "2018-07-24" "2018-08-01" "2018-09-15" "2018-06-20" "2018-07-04" "2018-07-25" "2018-07-29" "2018-07-31" "2018-08-11" "2016-09-12" "2017-06-02" "2017-06-13" "2017-07-14" "2017-07-22" "2017-07-31" "2017-08-06" "2017-08-10" "2017-08-09" "2017-08-31" "2017-09-06" "2017-09-08" "2017-09-04"
20.4609563313838 33.095690764065 29.0967399952507 29.0967399952507 24.3345881850298 44.5308223990951 9.56353319877845 NA 16.9086457260421 20.9962933128774 29.0967399952507 40.5599999999969 49.9199999999962 18.7199999999986 6.23999999999953 46.7999999999965 56.1599999999958 12.4799999999991 24.9599999999981 NA NA NA NA 12.4799999999991 NA 62.3999999999953 49.9199999999962 21.8399999999984 18.7199999999986 34.3199999999974
NA 19.4034918554479 30.3309416514581 30.3309416514581 16.9469151604064 67.3437902703373 16.9469151604064 5.15813837302875 19.0919344961984 19.0919344961984 45.9029595733026 24.9599999999981 NA 21.8399999999984 NA 31.1999999999976 34.3199999999974 34.3199999999974 28.0799999999979 NA NA NA NA NA NA 34.3199999999974 31.1999999999976 31.1999999999976 34.3199999999974 34.3199999999974
30.2773093027437 26.8791003153234 31.8668190519968 31.8668190519968 19.8558984691061 8.58480922987461 12.7969619666922 NA 12.7969619666922 12.7969619666922 31.8668190519968 31.1999999999976 21.8399999999984 12.4799999999991 NA 46.7999999999965 59.2799999999955 15.5999999999988 18.7199999999986 NA NA 56.1599999999958 NA 15.5999999999988 NA 59.2799999999955 59.2799999999955 28.0799999999979 31.1999999999976 37.4399999999972
10.6502357342871 28.3129914541435 37.0774553806047 37.0774553806047 19.3473707845233 2.0076099482215 3.04300526340084 NA 3.00691355473533 3.00691355473533 39.7758200788669 24.9599999999981 18.7199999999986 15.5999999999988 NA 40.5599999999969 31.1999999999976 24.9599999999981 21.8399999999984 NA NA 56.1599999999958 34.3199999999974 18.7199999999986 NA 71.7599999999946 49.9199999999962 31.1999999999976 31.1999999999976 24.9599999999981
NA 23.793539705001 25.8155354047745 25.8155354047745 12.3029519451235 71.8096988188118 12.5507950317678 NA 12.5507950317678 8.23483031160917 37.510260326827 34.3199999999974 NA 18.7199999999986 NA 43.6799999999967 43.6799999999967 18.7199999999986 37.4399999999972 NA NA NA NA 6.23999999999953 9.35999999999929 74.8799999999943 62.3999999999953 21.8399999999984 43.6799999999967 53.039999999996
NA 30.8962828801513 39.3869979030936 39.3869979030936 30.8962828801513 NA 25.3676148118232 NA 14.417721900906 19.7841571958172 45.4796596477809 21.8399999999984 28.0799999999979 21.8399999999984 NA 31.1999999999976 NA 28.0799999999979 24.9599999999981 NA NA 24.9599999999981 21.8399999999984 15.5999999999988 NA 34.3199999999974 28.0799999999979 24.9599999999981 24.9599999999981 28.0799999999979
NA 34.9202182870985 41.670559533196 41.670559533196 26.0627687660812 NA 0.781650280263564 NA NA 0.745558571598054 47.6580302756839 37.4399999999972 28.0799999999979 18.7199999999986 NA 46.7999999999965 15.5999999999988 40.5599999999969 46.7999999999965 NA NA 43.6799999999967 37.4399999999972 21.8399999999984 NA 53.039999999996 53.039999999996 43.6799999999967 46.7999999999965 49.9199999999962
NA 20.4156434456948 25.2397123386004 25.2397123386004 13.5465086141945 65.5971509510965 13.5465086141945 0.180169902023441 13.5465086141945 13.5465086141945 36.1266344911023 31.1999999999976 NA 12.4799999999991 NA 46.7999999999965 53.039999999996 28.0799999999979 43.6799999999967 NA NA NA NA NA NA 59.2799999999955 46.7999999999965 43.6799999999967 40.5599999999969 28.0799999999979
NA 20.3022717611015 28.1757847211414 28.1757847211414 17.4947555381969 66.8897234597244 17.4947555381969 1.25286712566793 17.7110978354025 17.7110978354025 41.7917285832816 34.3199999999974 NA 21.8399999999984 NA 49.9199999999962 68.6399999999948 49.9199999999962 37.4399999999972 NA NA NA NA NA NA 68.6399999999948 53.039999999996 49.9199999999962 46.7999999999965 46.7999999999965
NA 22.6540139039341 26.6217015762241 26.6217015762241 12.5103802420201 65.5971509510965 12.5103802420201 0.157648664270511 12.5103802420201 12.5103802420201 34.5404259713045 18.7199999999986 NA 21.8399999999984 NA 53.039999999996 49.9199999999962 28.0799999999979 28.0799999999979 NA NA NA NA NA NA 68.6399999999948 62.3999999999953 28.0799999999979 31.1999999999976 34.3199999999974
NA 39.4888668564828 48.5378450103899 48.5378450103899 32.9234510730962 NA 5.23469589774574 NA 2.19046575920682 5.19860418908024 54.5253157528779 28.0799999999979 24.9599999999981 18.7199999999986 NA 46.7999999999965 NA 28.0799999999979 37.4399999999972 NA NA 40.5599999999969 34.3199999999974 18.7199999999986 NA 59.2799999999955 59.2799999999955 37.4399999999972 37.4399999999972 34.3199999999974
38.7047298668721 61.2609022916868 53.1934780075193 53.1934780075193 24.6993629616024 93.2632263954232 NA NA 9.57945536888065 14.2510526109781 57.3797370973304 62.3999999999953 96.7199999999927 49.9199999999962 24.9599999999981 74.8799999999943 81.1199999999939 81.1199999999939 53.039999999996 59.2799999999955 40.5599999999969 NA NA 46.7999999999965 NA 84.2399999999936 90.4799999999932 87.3599999999934 81.1199999999939 90.4799999999932
NA 35.2262341033295 45.1044720372373 45.1044720372373 33.526617632852 NA 15.8264431745911 NA 8.92672601715437 14.2931613120656 53.2428046692179 40.5599999999969 43.6799999999967 24.9599999999981 NA 59.2799999999955 NA 37.4399999999972 46.7999999999965 NA NA 56.1599999999958 28.0799999999979 28.0799999999979 NA 71.7599999999946 62.3999999999953 53.039999999996 46.7999999999965 46.7999999999965
NA 29.8200783247436 33.776600597356 33.776600597356 13.8804618048362 75.1390238637327 14.1637110467154 NA 14.1637110467154 9.23117993796268 33.7226953269851 28.0799999999979 NA 21.8399999999984 NA 53.039999999996 71.7599999999946 18.7199999999986 31.1999999999976 NA NA NA NA NA 15.5999999999988 71.7599999999946 62.3999999999953 40.5599999999969 40.5599999999969 56.1599999999958
25.9516608033556 29.5371268342437 36.8286446405345 36.8286446405345 20.5715061646235 5.58041873468404 8.86883349835353 NA 8.86883349835353 8.86883349835353 37.2261629113704 24.9599999999981 12.4799999999991 12.4799999999991 NA 46.7999999999965 40.5599999999969 18.7199999999986 21.8399999999984 NA NA 56.1599999999958 18.7199999999986 12.4799999999991 NA 65.5199999999951 46.7999999999965 24.9599999999981 21.8399999999984 28.0799999999979
25.3133336461589 44.7560044441439 40.7370388887828 40.7370388887828 22.6091834297182 65.847313274588 0.997240838316147 NA 9.37926428608672 13.466911872922 37.4818905944203 40.5599999999969 49.9199999999962 28.0799999999979 21.8399999999984 49.9199999999962 59.2799999999955 31.1999999999976 37.4399999999972 24.9599999999981 6.23999999999953 NA NA 18.7199999999986 NA 74.8799999999943 46.7999999999965 37.4399999999972 34.3199999999974 46.7999999999965
NA 32.4590735656844 40.0063758082999 40.0063758082999 32.4590735656844 1.59049985730693 25.3676148118232 NA 16.4171489534739 21.1873136600616 45.4220751369108 31.1999999999976 46.7999999999965 24.9599999999981 NA 40.5599999999969 NA 34.3199999999974 31.1999999999976 NA NA 37.4399999999972 34.3199999999974 24.9599999999981 NA 53.039999999996 40.5599999999969 37.4399999999972 37.4399999999972 37.4399999999972
