"2016-08-31" "2018-07-04"
"48" 17.2656050086354 24.1150523355257
"49" 17.8589725076015 23.3794117634902
"50" 13.9107255835991 18.6469240121175
"51" 12.8290700902491 16.9732437152027
"52" 15.2859707700903 17.0218438292844
"53" 12.9550298038535 9.83399757114915
"54" 10.7996441910563 9.50770981083951
"55" 9.50770981083951 9.50770981083951
"56" 8.31924608448457 11.4930607152578
"57" 8.31924608448457 16.0742199142992
"58" 8.75664100558247 28.1942640950656
"59" 3.51384615641759 42.4771330573959
"60" 1.58065635153186 44.7477311082337
"61" 1.43185456354965 53.1430631988026
"62" 1.63640521548532 66.4288289985032
"63" 6.07494586692117 78.5117239457228
"64" 9.9099427217072 82.1964259617458
"65" 12.0411258591712 91.8701155720887
"66" 15.6974441252528 91.3317589192367
"67" 15.6974441252528 80.3742124944216
"68" 15.6974441252528 70.4865762258759
"69" 12.3034090460465 54.6086163085588
"70" 7.66031774267503 41.9078133616837
"71" 2.5865780476756 32.4565290446058
"72" 0.215996592032704 25.1742253783719
"73" 0 18.3976516717084
"74" 0 13.1770764152568
"75" 0 10.1701628605214
"76" 0 9.67707912247803
"77" 0 11.3327576304093
"78" 0 11.9737069292008
"79" 0 10.4851943181715
"80" 0.0719069407884171 12.0565638448435
"81" 1.64386778451925 19.0270873576157
"82" 3.94250469232888 32.4222812595965
"83" 3.86560182214472 48.4133379540779
"84" 4.34880204991281 52.534146767225
"85" 4.97005948561464 56.3359170199056
"86" 4.97005948561464 64.6850857782803
"87" 6.10489934242871 64.6850857782803
"88" 8.80376191230935 64.6850857782803
"89" 9.95875178614937 95.1005449737406
"90" 11.2254275679426 108.526598439633
"91" 15.5979611345638 122.179024351266
"92" 20.2524499174242 122.179024351266
