"2016-05-31" "2016-08-18" "2016-08-19" "2016-08-31" "2016-09-01" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-17" "2017-07-19" "2017-08-06" "2017-08-08" "2017-08-21" "2017-09-02" "2017-09-15" "2018-05-28" "2018-06-02" "2018-06-27" "2018-07-04" "2018-07-07" "2018-07-23" "2018-07-24" "2018-08-18"
"137" 0 73.6243426064799 73.6243426064799 0 0 0 0 66.1557068427434 0 72.6437629401489 0 73.6243426064799 71.9431770501543 66.856292732738 0 0 0 0 0 0 0 0 80.1326223897998
"138" 0 69.6757974888869 69.6757974888869 0 0 0 0 62.0216899175988 0 66.4343788204533 0 69.6757974888869 66.4343788204533 60.8957034341986 0 0 0 0 0 0 0 0 77.2039174918193
"139" 0 66.8979050619147 66.8979050619147 0 0 0 0 58.4056572673141 0 60.4130831996776 0 64.9217331706082 58.1533350728473 54.5945583037979 0 0 0 0 0 0 0 0 71.0149019522356
"140" 0 65.3874808107498 65.3874808107498 0 0 0 0 56.2217394567802 0 54.1350334887688 0 58.6436834596994 48.1356237559684 48.7773199756153 0 0 0 0 0 0 0 0 64.3572241293671
"141" 0 64.1232887638554 64.1232887638554 0 0 0 0 54.9575474098858 0 47.5366175056442 0 54.073523479128 38.4814211963099 45.377651344535 0 0 0 0 0 0 0 0 61.4018497609876
"142" 0 61.0516542205488 61.0516542205488 0 0 0 0 51.8859128665791 0 40.6068800659584 0 49.3039680758941 28.8225648875265 40.2880689729379 0 0 0 0 0 0 0 0 58.4724494258424
"143" 0 57.1269249544408 57.1269249544408 0 0 0 0 48.346345073437 0 34.4305508032852 0 43.1629580288533 18.6375046505762 34.9560509864516 0 0 0 0 0 0 0 0 52.3314393788015
"144" 0 55.5097239141553 55.5097239141553 0 0 0 0 45.8622332997972 0 35.2189806094045 0 42.8598369317765 16.3078165692542 35.678793269675 0 0 0 0 0 0 0 0 50.8822581129813
"145" 0 56.8428687125097 56.8428687125097 0 0 0 0 51.1141877106147 0 39.3883667426383 0 41.9198012112952 6.45420927321587 43.5802933049317 0 0 0 0 0 0 0 0 49.9422223924999
"146" 0 60.7969728021086 60.7969728021086 0 0 0 0 54.8550063333775 1.38396608957447 46.1804486268152 0 46.0026033005251 12.9427327995175 49.670585347796 0 0 0 0 0 0 0 0 52.6680678859616
"147" 0 63.9034035242708 63.9034035242708 0 0 0 0 56.6035298578595 5.1867606109072 53.4585516262534 0 53.2501617656554 21.6069147106671 54.5982643252206 0 0 0 0 0 0 0 0 57.6592013832717
"148" 0 65.0347482331208 65.0347482331208 0 0 0 0 57.9808492264527 7.85820558265459 55.7504354348831 0 55.5652000032404 24.7552399957051 56.1983909752181 0 0 0 0 0 0 0 0 59.4843463300105
"149" 0 67.2970938830887 67.2970938830887 0 0 0 0 58.5683227353582 13.4066503297956 62.1616219241412 0 60.2334345753461 31.482298471742 58.4467907162682 0 0 0 0 0 0 0 0 61.6646662949706
"150" 0 71.3756221581573 71.3756221581573 0 0 0 0 60.9193396653488 21.7344938658286 69.2408968963934 0 63.9050566186134 38.082630662697 62.3673226238181 0 0 0 0 0 0 0 0 63.9050566186134
"151" 0 74.8197853284399 74.8197853284399 0 0 0 0 63.4582236018489 24.4513055990572 74.3883694059502 0 68.3546447797693 42.8429594955341 66.655598349303 0 0 0 0 0 0 0 0 68.3546447797693
"152" 0 78.307544442823 78.307544442823 0 0 0 0 68.724503622896 33.4627292924598 78.307544442823 0 69.2829259682728 48.8634893405675 70.38881107436 0 0 0 0 0 0 0 0 70.4839325654159
"153" 0 78.7430693833242 78.7430693833242 0 0 0 0 70.8243360148612 41.5772914043669 78.7430693833242 0 69.966087119586 56.7302659102926 70.8243360148612 0 0 0 0 0 0 0 0 71.1980949091337
"154" 0 77.2583100331807 77.2583100331807 0 0 0 0 69.3395766647177 50.6032564667249 77.2583100331807 0 70.7312853936067 62.0306978167757 69.3395766647177 0 0 0 0 0 0 0 0 70.7866665197939
"155" 0 75.2888795033952 75.2888795033952 0 0 0 0 68.5685227595937 58.1205655565365 75.1651432715358 0 70.2076369792591 59.7823119592505 68.5685227595937 0 0 0 0 0 0 0 0 68.3219059681518
"156" 0 73.1531246625074 73.1531246625074 0 0 0 0 66.5038978701466 62.9184200035405 71.1533043199605 0 66.6586911636316 53.4798016889164 66.5038978701466 0 0 0 0 0 0 0 0 63.020404213734
"157" 0 70.8266708714306 70.8266708714306 0 0 0 0 62.8397360541301 66.1989337808745 66.8533797878537 0 64.2703245649931 47.6085482497856 62.8397360541301 0 0 0 0 0 0 0 0 58.7204796816272
"158" 0 67.9953136462966 67.9953136462966 0 0 0 0 61.4304894093235 67.0119742700894 63.5599019843519 0 62.9112998542119 40.0406074642442 61.4304894093235 0 0 0 0 0 0 0 0 55.6130987826878
"159" 0 64.9411308730063 64.9411308730063 0 0 0 0 59.8013655382471 64.8704074376124 59.8720889736409 0 65.8662930581796 30.3939473192987 59.8013655382471 0 0 0 0 0 0 0 0 55.0566996168121
"160" 0 67.3017908325057 67.3017908325057 0 0 0 0 58.8227542015927 63.7857874883817 61.1108244500411 0 67.140552198741 21.1910219169012 58.8227542015927 0 0 0 0 0 0 0 0 56.3308650273889
"161" 0 69.6682107194659 69.6682107194659 0 0 0 0 56.6986246721739 59.3276372148766 61.2142204216324 0 65.1949428442774 10.5836883126205 56.6986246721739 0 0 0 0 0 0 0 0 57.4516449560213
