"2016-05-17" "2016-06-25" "2016-06-26" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-09-08" "2017-09-15" "2018-05-28" "2018-06-21" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-26" "2018-09-09" "2018-09-11" "2018-09-13"
"13" 0 0 0 30.9461859907448 30.9461859907448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 39.8283392172554 39.8283392172554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 39.8283392172554 39.8283392172554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 39.8283392172554 39.8283392172554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 0 0 0 39.2284122028649 39.2284122028649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 0 0 0 29.4893399275098 29.4893399275098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19" 0 0 0 29.7224318850535 29.7224318850535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20" 0 0 0 28.5328030956142 28.5328030956142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 0 0 0 28.2950124143255 28.2950124143255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"22" 0 0 0 27.4387619517207 27.4387619517207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"23" 0 0 0 27.4387619517207 27.4387619517207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"24" 0 0 0 26.5682772378933 26.5682772378933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"25" 0 0 0 26.5682772378933 26.5682772378933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 30.2419776618172 30.2419776618172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" 0 0 0 31.8359446625543 31.8359446625543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" 0 0 0 34.8338355755636 34.8338355755636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"29" 0 0 0 47.3911937213521 47.3911937213521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 0 0 0 53.5664957173839 53.5664957173839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 0 0 0 55.9006753059336 55.9006753059336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 0 0 0 50.8153193795308 50.8153193795308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" 0 0 0 50.8153193795308 50.8153193795308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"34" 0 0 0 50.8153193795308 50.8153193795308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"35" 0 0 0 45.3328290224112 45.3328290224112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" 0 0 0 38.5696969004899 38.5696969004899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
