"2016-05-17" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-08-26" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-04" "2018-06-09" "2018-06-21" "2018-06-26" "2018-06-27" "2018-06-30" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-10" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-13"
"1" 306.495545522322 0 0 0 0 361.36594803226 360.832882602835 0 0 0 380.976581734696 0 0 0 363.284265245283 0 0 333.34701043286 370.598280599571 0 379.139221463761 0 0 0 0 0 0 543.221155308833 0 370.774973263662 0 0
"2" 302.757537987546 0 0 0 0 353.40012941653 351.465802553289 0 0 0 377.718680855996 0 0 0 353.426908667248 0 0 333.34701043286 363.976639472298 0 367.653482687165 0 0 0 0 0 0 533.204322048105 0 369.557394079168 0 0
"3" 298.327306608877 0 0 0 0 343.189158264264 344.953359776672 0 0 0 372.748818713307 0 0 0 346.587614871637 0 0 333.34701043286 357.155456750704 0 358.443093221568 0 0 0 0 0 0 525.697996914351 0 364.30874792727 0 0
"4" 290.17225997561 0 0 0 0 325.668876280653 329.334433775458 0 0 0 355.728214955985 0 0 0 331.361324056657 0 0 333.34701043286 343.070288376676 0 338.917447117328 0 0 0 0 0 0 507.838659121325 0 349.752460579922 0 0
"5" 283.120806733982 0 0 0 0 308.85914575418 316.245838290923 0 0 0 341.226020001059 0 0 0 317.183165930324 0 0 314.033109361257 328.13506478765 0 321.922131529769 0 0 0 0 0 0 491.71610147999 0 337.084310826239 0 0
"6" 280.565113122868 0 0 0 0 304.401201103626 308.996070675976 0 0 0 334.288960847227 0 0 0 311.94542145084 0 0 314.033109361257 320.923417418029 0 315.738099154115 0 0 0 0 0 0 480.017722406553 0 332.850006346518 0 0
"7" 267.355160342573 0 0 0 0 283.850768919517 292.943379643732 0 0 0 314.125232239366 0 0 0 310.876927595144 0 0 275.405307218053 298.532098238635 0 292.619695246643 0 0 0 0 0 0 447.029081802331 0 313.182458029437 0 0
"8" 263.99323929318 0 0 0 0 280.142175409633 287.775637178369 0 0 0 306.226265560453 0 0 0 322.148488977576 0 0 275.405307218053 292.860722131254 0 279.588022942977 0 0 0 0 0 0 442.21007752991 0 306.620715456755 0 0
"9" 256.400575774343 0 0 0 0 268.100882522359 276.355825142102 0 0 0 289.290889508854 0 0 0 329.117748670166 0 0 275.405307218053 279.810632133654 0 263.312788497061 0 0 0 0 0 0 421.023473830702 0 291.729491323479 0 0
"10" 248.897200171286 0 0 0 0 256.874798517596 258.571210951325 0 0 0 269.337842562359 0 0 0 342.859486921496 0 0 275.405307218053 264.568589939694 0 241.322526318899 0 0 0 0 0 0 387.603335715702 0 277.492315746033 0 0
"11" 249.068356852981 0 0 0 0 255.906298292675 257.698877516515 0 0 0 267.825254280823 0 0 0 341.898016450629 0 0 275.405307218053 261.592640224898 0 242.914290688722 0 0 0 0 0 0 379.80975637373 0 274.04944517683 0 0
"12" 249.582029488066 0 0 0 0 255.094147970325 250.616006126782 0 0 0 262.417048880362 0 0 0 331.82013676612 0 0 0 257.346747896498 0 237.679492652463 0 0 0 0 0 0 358.671419963361 0 268.187171250304 0 0
"13" 247.397320533443 0 0 0 0 253.057085980306 250.230815030571 0 0 0 258.503352799851 0 0 0 331.081734628526 0 0 0 255.309685906478 0 235.652246567014 0 0 0 0 0 0 340.524853702213 0 264.303420334235 0 0
"14" 248.613520724371 0 0 0 0 253.721665747625 250.253126522738 0 0 0 258.608770699261 0 0 0 320.083949468107 0 0 0 254.715695343861 0 238.523506999445 0 0 0 0 0 0 327.970967698165 0 264.880178715831 0 0
"15" 252.972363498353 0 0 0 0 255.35012376649 249.073414294715 0 0 0 261.996784310226 0 0 0 304.155222181815 0 0 0 256.226421970646 0 244.265193929573 0 0 0 0 0 0 312.051033008078 0 267.215968010085 0 0
"16" 259.658599122966 0 0 0 0 261.013177857087 254.713655538892 0 0 0 269.74314345507 0 0 0 294.345821445766 0 0 0 259.430921733523 0 253.307646629218 0 0 0 0 0 0 307.46097738658 0 273.173694226396 0 0
"17" 271.065505415327 0 0 0 0 269.202805224124 263.399763908654 0 0 0 281.180151468938 0 0 0 285.982405924955 0 0 0 263.866482932786 0 265.366058114145 0 0 0 0 0 0 309.168549554136 0 283.734905821421 0 0
"18" 293.982424854721 0 0 0 0 287.350694190077 276.515539409377 0 0 0 302.486191652448 0 0 0 290.369121249962 0 0 0 281.346859550096 0 282.086939627047 0 0 0 0 0 0 323.061080395747 0 305.828206258642 0 0
