"2016-06-17" "2016-06-24" "2017-06-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-03"
"924" 667.492734194914 665.946069090831 667.932116399458 646.195402931279 626.419872272664 659.176860553878 653.724913337722 654.96472064385 0 667.492734194914 0
"925" 666.003967824474 667.88458809235 668.123226356653 650.345947334585 627.083155059199 661.863182825572 660.609647649216 661.980497632826 0 666.003967824474 0
"926" 666.626300750526 670.658704506817 668.745559282705 653.127068521243 627.729794507686 663.026355879588 668.166917028393 677.669078913894 0 666.626300750526 0
"927" 665.855911315787 672.045121666872 667.975169847966 654.727723568084 629.121165783573 662.289778002357 694.63861470225 715.009079670467 0 665.855911315787 0
"928" 665.901513843724 672.496431852084 669.229443104868 661.091199928426 629.91318065241 662.335380530294 724.673027144931 755.212612326904 0 667.110184572689 0
"929" 663.682067144743 670.581021727331 669.163588806672 0 629.620038256776 660.115933831313 758.921078432593 794.707568745226 0 667.044330274494 0
"930" 660.454798327617 670.920298173531 666.874411322459 648.677479798837 628.844145441011 658.300135593795 799.877066268302 835.731166767091 0 664.75515279028 0
"931" 658.550445313702 670.968580408746 664.530676104 648.677479798837 627.994503039553 658.550445313702 845.302435863917 881.156536362706 0 662.850799776365 0
"932" 657.933856841747 668.944251982781 662.23421130441 648.677479798837 626.50308561899 657.933856841747 891.399044832618 923.724560884415 0 662.23421130441 0
"933" 654.862265594104 665.840849821409 659.466679868276 648.677479798837 623.519727026553 654.862265594104 936.936704492749 958.874591233804 0 659.162620056767 0
"934" 651.404186172283 662.381203312579 657.318647990403 648.677479798837 618.644312335412 651.404186172283 960.641795836862 974.339984687059 0 655.704540634946 0
"935" 648.43101717167 659.238908027854 653.136808260824 648.677479798837 611.980336974057 648.43101717167 979.787291094881 989.511535727191 0 651.522700905368 0
"936" 644.705020630835 655.479150300799 645.373737709024 648.677479798837 607.41778285425 642.821539020655 990.905014505482 998.17080920561 0 645.643111963747 0
"937" 644.723690249225 655.646142044715 644.454315994502 0 605.279298474508 640.82586554704 1004.8653848009 1014.40236789118 0 644.723690249225 0
"938" 643.793363470827 654.415876386801 643.479093506983 0 601.926842691455 639.245901318278 1008.90058483745 1020.34496454579 0 643.793363470827 0
"939" 640.947549603453 651.565050126375 640.633279639609 0 597.632639101786 636.400087450904 1016.30624235779 1027.75062206614 0 640.947549603453 0
"940" 639.004931415411 647.1491306012 638.335925004807 0 592.028726804344 634.457469262863 1019.61117111115 1031.05555081949 636.360368377688 639.004931415411 0
"941" 635.602352470361 641.232105563734 633.404957258485 604.681291354243 587.044178978477 631.054890317812 1023.335590116 1033.92855905027 635.637862149822 635.602352470361 0
"942" 628.5760755641 633.929817055448 626.378680352223 604.681291354243 579.179761588336 621.341866166969 1028.54133382444 1033.24146770579 629.911110403795 628.5760755641 0
"943" 623.741474657808 629.376498558768 623.741474657808 604.681291354243 569.137878038484 617.222473166244 1028.54133382444 1033.24146770579 624.007959221574 623.741474657808 0
"944" 613.71085255361 619.347085117083 613.71085255361 581.533976324759 556.41542835738 612.230422942682 1021.95075166607 1021.95075166607 620.157460205691 613.71085255361 0
"945" 600.897449544356 606.532529077989 603.584635997283 569.026982184987 543.943030906914 601.766990831478 937.95328148832 1015.81721429048 612.166657618415 600.897449544356 0
"946" 586.132240355732 591.767319889366 591.170166267568 569.026982184987 530.955543349046 587.001781642854 837.175882334062 965.173564384396 596.805081892332 586.132240355732 0
"947" 573.670021883234 579.305101416867 578.70794779507 551.19982760036 515.808856500246 574.539563170355 820.049437140144 951.042415832997 581.654688222913 573.670021883234 0
"948" 563.686342955761 569.321422489394 568.724268867597 551.19982760036 506.152450325333 567.242631487465 807.612838730626 941.208737325525 569.321422489394 563.686342955761 0
"949" 551.214841570211 558.94050386115 558.939953934974 551.19982760036 495.790400334342 556.253317408223 806.878862744327 932.578633788079 558.94050386115 553.902028023138 0
"950" 538.798474332785 548.876084929622 551.564039943408 513.948252754051 483.372384340896 543.837389954045 813.531743171048 924.292490213607 548.876084929622 546.526114031572 0
"951" 528.73772096147 541.503341580799 543.854081039708 483.764839987306 473.310423182416 536.464646605221 805.871732555391 913.657562735476 541.503341580799 538.815715775908 0
"952" 518.63045930176 533.745954784365 533.745954784365 483.692341345846 465.893080082052 531.394336446167 801.122068908774 888.455790748339 536.433031421744 528.708454116197 0
"953" 508.605581001387 526.409911247903 526.409911247903 483.735187035186 460.902269357556 523.720870507958 801.202403061341 863.350338146024 531.448400247446 521.372410579735 0
"954" 499.251905199998 521.509543363595 521.509543363595 483.735187035186 455.985323825095 516.742913365264 800.539060877783 840.452583953689 526.548032363138 514.096324036733 0
"955" 494.579200787184 516.500391956763 516.500391956763 483.735187035186 453.660064054232 514.420948411359 789.830621430435 817.658721869695 521.538880956307 506.736433170993 0
"956" 492.801996398506 512.147500530395 512.147500530395 483.685745512695 453.839896735146 512.419565507641 767.095440122009 802.960883060489 517.185989529939 499.918775536454 0
"957" 493.150921143248 509.974526140715 509.974526140715 483.705534083067 451.720037106927 510.90767927353 754.774169375671 788.580372489407 515.674103295827 497.917345165545 0
"958" 494.005962048595 510.324465867289 510.324465867289 483.863724103207 448.220454391821 511.826025335378 750.382662295421 780.119519165351 515.852566863891 498.772386070892 0
"959" 494.709680029083 508.339349083866 508.339349083866 488.086031986135 447.172302919808 514.456674342819 742.550555037236 777.040002914171 513.872083962541 496.78726928747 0
