OrthAngle,lat,lon,st_lat,st_lon,end_lat,end_lon,ID
4.014257279586958,64.84611898224593,-147.7079861547964,7191423.866848128,466364.4949318805,7191561.75484789,466480.1967016241,33
4.014257279586958,64.84593944909058,-147.70758220519687,7191403.645401138,466383.42876226763,7191541.5334009,466499.1305320112,34
4.014257279586958,64.84571503264638,-147.7071782555973,7191378.422268929,466402.3069659152,7191516.310268691,466518.0087356588,35
3.839724354387525,64.84549061620218,-147.70677430599775,7191364.292371966,466410.0923753572,7191479.994141709,466547.9803751186,36
3.4993851502486306,64.84360551807096,-147.7046199081335,7191179.4095295165,466494.5729919823,7191242.446858143,466663.173986047,44
3.4993851502486306,64.84338110162676,-147.7043954916893,7191154.282027562,466504.938728521,7191217.319356189,466673.5397225857,45
3.141592653589793,64.84127158705134,-147.7031387596018,7190950.053053465,466556.2349568925,7190950.053053465,466736.2349568925,53
3.141592653589793,64.84154088678436,-147.7032285261795,7190980.11118939,466552.310383826,7190980.11118939,466732.310383826,52
3.385938748868999,64.84181018651742,-147.703363176046,7190988.420017318,466548.9303292292,7191031.965958525,466723.58355995885,51
3.385938748868999,64.84207948625044,-147.7034529426237,7191018.478168841,466545.00594931125,7191062.024110049,466719.6591800409,50
3.3772121026090276,64.84234878598348,-147.7035875924902,7191049.322878004,466538.76606838463,7191091.343043498,466713.7926540562,49
3.3772121026090276,64.84261808571652,-147.70372224235672,7191079.404712874,466532.7129934788,7191121.424878368,466707.7395791504,48
3.385938748868999,64.84288738544953,-147.7039017755121,7191108.747347043,466524.71785778453,7191152.29328825,466699.37108851416,47
3.385938748868999,64.84311180189373,-147.70412619195628,7191133.874767704,466514.3517292387,7191177.4207089115,466689.0049599683,46
3.586651612848347,64.84414411753703,-147.70493409115534,7191232.369790613,466483.40760852577,7191309.861788039,466645.87295970874,42
3.4993851502486306,64.84387481780401,-147.70475455800002,7191209.491466755,466488.5207088555,7191272.528795382,466657.1217029202,43
3.586651612848347,64.84436853398121,-147.7051136243107,7191257.473666369,466475.1711382234,7191334.965663795,466637.63648940634,41
3.4993851502486306,64.84463783371424,-147.70533804075492,7191294.830427185,466461.79399504355,7191357.867755812,466630.39498910826,40
3.586651612848347,64.84490713344726,-147.7055624571991,7191317.732556167,466454.55270863284,7191395.224553593,466617.0180598158,39
3.7000980142279785,64.84508666660264,-147.70596640679867,7191329.00666595,466440.525845318,7191424.3921335125,466593.1745026262,38
3.7000980142279785,64.84531108304684,-147.70641523968706,7191354.253193787,466419.51803674735,7191449.63866135,466572.16669405554,37
2.199114857512855,64.84652293184548,-147.71557143061017,7191614.683941464,466010.21912587865,7191469.060882476,466116.02047129127,20
1.8151424220741026,64.84674734828968,-147.71440446510036,7191653.582872058,466096.9720854462,7191478.929641328,466140.5180266541,22
1.9285888234537343,64.846657581712,-147.71498794785526,7191640.8656031815,466059.4421276339,7191472.264609116,466122.4794562606,21
4.825835381764321,64.84679223157852,-147.71382098234545,7191481.524395195,466156.6610183317,7191660.367329217,466136.28443985345,23
4.71238898038469,64.84688199815619,-147.71319261630174,7191490.613541123,466176.38522344327,7191670.613541123,466176.38522344327,24
4.127703680966589,64.84629851540129,-147.70847987097363,7191438.030340474,466349.48072262167,7191588.129788445,466448.8293799779,32
4.127703680966589,64.8464331652678,-147.7090184704397,7191453.321775594,466324.10566038673,7191603.421223565,466423.45431774296,31
4.249876728606193,64.84656781513432,-147.70955706990577,7191463.119057548,466308.24738110846,7191624.207242637,466388.5629874682,30
4.354596483725852,64.84661269842316,-147.7101854359495,7191464.698673516,466287.1426025061,7191633.299667581,466350.1799311328,29
4.468042885105484,64.84679223157852,-147.71139728474816,7191482.325163536,466239.64176493627,7191656.978394266,466283.1877061442,27
4.468042885105484,64.84670246500083,-147.71081380199325,7191472.010674499,466267.2006519144,7191646.663905229,466310.7465931223,28
4.598942579005058,64.84692688144503,-147.71198076750306,7191495.546857719,466223.72400965,7191674.389791741,466244.10058812826,26
4.598942579005058,64.84692688144503,-147.71256425025797,7191495.8582479125,466196.05292291223,7191674.701181934,466216.4295013905,25
2.199114857512855,64.8464331652678,-147.71615491336505,7191604.993305052,465982.4344514979,7191459.370246064,466088.23579691054,19
2.155481626212997,64.84625363211245,-147.7166486295423,7191587.4893165175,465962.0198545899,7191437.389868546,466061.3685119461,18
2.897246558310587,64.83996997167502,-147.70354270920137,7190826.986593863,466538.1351680721,7190783.440652655,466712.78839880176,58
3.01941960595019,64.84023927140805,-147.70349782591254,7190846.169027629,466538.5952676198,7190824.232545816,466717.25357491523,57
3.141592653589793,64.8410022873183,-147.70304899302414,7190919.99492392,466560.15961588005,7190919.99492392,466740.15961588005,54
3.141592653589793,64.8407778708741,-147.70304899302414,7190894.985897273,466559.8818410771,7190894.985897273,466739.8818410771,55
3.141592653589793,64.84050857114107,-147.70327340946835,7190865.093321667,466548.9032370342,7190865.093321667,466728.9032370342,56
2.897246558310587,64.83970067194198,-147.70354270920137,7190796.9757681405,466537.80160715804,7190753.429826933,466712.45483788766,59
3.01941960595019,64.83943137220895,-147.70363247577902,7190756.207546114,466531.2072287339,7190734.271064301,466709.86553602933,60
3.141592653589793,64.83893765603172,-147.70372224235672,7190690.266802535,466525.6664213759,7190690.266802535,466705.6664213759,62
3.01941960595019,64.83916207247592,-147.70367735906788,7190726.220391525,466528.7444655059,7190704.283909712,466707.4027728013,61
3.141592653589793,64.83866835629868,-147.7038120089344,7190660.303327124,466521.07437775366,7190660.303327124,466701.07437775366,63
