"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" -10.8271360316695 -13.23647606659 -5.56105512117295 -13.4242173895779 -13.1584363175984 -11.7992868062944
"15356000" -820.636977552508 -582.552643222934 -476.59437661797 -677.326517130072 -609.628210976793 -649.179717931582
"15485500" -0.869418951710021 -1.65263477650569 -3.45901816263144 -1.07068109345999 -2.1736159477811 -4.06989945315733
"15515500" -8.11198699749941 -3.85145011703589 -0.700623393240662 -3.95085773999117 -8.57503187230456 -6.42793777490595
"15484000" NA -3.81362726357531 0.0172374167474715 NA -0.992824919193798 NA
"15493400" NA -3.22477639834075 -38.9589317543421 NA -71.9377405315565 NA
"15514000" NA -1.99031241086855 -3.79845742939754 NA -1.85002077764405 NA
"15477740" NA NA -42.8200427316847 NA NA NA
"15493700" NA NA -1.76515031080839 NA NA NA
"15511000" NA NA -93.7644665527772 NA NA NA
"15519100" NA NA -6.02338441175409 NA NA NA
