"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 93.5210121185503 102.162909301713 75.596313517006 103.06372420878 106.961592370584 100.818732801196
"15356000" 487.546952534519 410.133154229812 397.14988210461 454.356918832083 440.089018450294 457.59930243359
"15485500" 53.4836991502931 47.5749331123873 59.4589179945925 44.948359321886 50.7654694018037 66.2685429381061
"15515500" 100.462342069586 59.0989833408036 29.6474001914273 59.5795844360016 75.8491639325544 67.9701507006687
"15484000" NA 73.5872414904039 45.134457411141 NA 57.2878506019386 NA
"15493400" NA 92.7127413515221 322.383129064004 NA 419.632118740792 NA
"15514000" NA 79.9857482120143 98.1049578762176 NA 77.1907685292582 NA
"15477740" NA NA 220.40337732384 NA NA NA
"15493700" NA NA 80.9870843645831 NA NA NA
"15511000" NA NA 520.251812094812 NA NA NA
"15519100" NA NA 205.072328743747 NA NA NA
