"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 96.7996591692946 105.956973865621 87.8431361263604 105.830588996447 109.518712688208 102.916018828889
"15356000" 442.265711418086 393.87238258626 383.768287929976 421.244568151213 420.39952323544 432.351730022301
"15485500" 58.4457808754374 48.239935693656 55.8648022018046 45.7352357583919 51.206289113348 64.7030325696766
"15515500" 94.9277065958373 61.0143215324215 30.8082570610236 61.4715242083943 73.4199319826483 65.9031320670366
"15484000" NA 65.0312552185137 31.8162941521934 NA 62.6805901858417 NA
"15493400" NA 85.7445408767977 294.112346234494 NA 381.270094750014 NA
"15514000" NA 61.9477882238488 134.545764720855 NA 63.4235582905626 NA
"15477740" NA NA 305.596811068346 NA NA NA
"15493700" NA NA 91.4816023767526 NA NA NA
"15511000" NA NA 548.453208335544 NA NA NA
"15519100" NA NA 874.657649852521 NA NA NA
