"plID" "ID"
1 26
2 27
3 25
4 24
5 22
6 23
7 21
8 18
9 17
10 16
11 19
12 20
13 34
14 35
15 37
16 38
17 39
18 36
19 33
20 32
21 31
22 30
23 29
24 28
25 42
26 40
27 41
28 45
29 43
30 44
31 46
32 47
33 48
34 51
35 52
36 50
37 49
38 54
39 55
40 56
41 53
42 113
43 112
44 109
45 107
46 108
47 110
48 111
49 63
50 62
51 59
52 58
53 57
54 60
55 61
56 67
57 64
58 65
59 66
60 68
61 69
62 70
63 71
64 72
65 73
66 74
67 75
68 76
69 77
70 78
71 79
72 93
73 91
74 92
75 90
76 89
77 88
78 84
79 85
80 86
81 87
82 83
83 82
84 81
85 80
86 98
87 97
88 96
89 95
90 94
91 99
92 100
93 101
94 105
95 104
96 103
97 102
98 106
