"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"24" 428.445962566682 600.859322892196 630.785566244287 334.002371255119 0 615.645327128147 566.530630529766
"25" 408.981572109973 604.229511542554 620.192291580381 321.78648168224 0 617.129322717034 569.940164609159
"26" 392.686318017362 0 0 303.979993248717 0 0 574.849398800214
"27" 386.702996957838 0 0 299.096317746468 0 0 576.681091631247
"28" 379.374018213716 0 0 296.481540280995 0 0 580.684931471513
"29" 371.392005547357 0 0 288.794342563864 0 0 584.529346518998
"30" 360.084139499162 578.074385494896 0 282.569018302203 0 337.470133775211 582.061279058111
"31" 352.575852982172 576.588411859498 586.531435664735 271.494725630671 0 336.458549946816 578.446853617095
"32" 346.86539463703 575.08548367244 585.52186691051 261.95013778754 0 333.882114998614 576.981589822623
"33" 334.834961879601 569.831791801885 579.887569475026 249.01904724987 257.56896373975 319.206589598612 574.771864776042
"34" 319.991556177192 564.087212720664 573.888437039873 234.875980224949 251.399710678758 304.411363202443 571.473098628122
"35" 297.669520959772 560.089019847459 569.663543143728 220.606602326789 244.321851286055 292.037158085478 567.391004885162
"36" 278.559479593288 556.784159663667 568.983743279554 211.054647264102 236.495071262026 280.748239957543 566.90726675949
"37" 261.866124016459 552.484887488658 568.53171955993 201.739315848418 231.211546116803 263.752082169019 565.156579866246
"38" 247.816221619326 553.425272715158 567.873016714151 194.85461504909 229.062257915472 248.725572629737 566.130590940557
"39" 237.505688231129 556.630086047925 569.301734210065 191.129033783818 228.233262503333 234.45831673674 569.335413390941
"40" 231.766640790798 562.243458133378 577.064992968794 189.339127139881 223.022925118023 226.967951489961 577.233435792821
"41" 227.995280074595 569.461566273546 586.261013719873 190.227911997639 221.70014124016 225.577848313768 588.575259178182
"42" 229.838359639392 578.340328560583 595.74571997342 188.780379188757 223.677875019737 225.443194098989 598.998336990974
"43" 231.514168723172 587.173400053927 601.525023839789 186.652326425673 227.290028738388 231.43944105635 605.784351606552
"44" 234.179229158122 592.408523998422 604.876674865458 185.221019753707 230.158792605467 238.726324490194 611.682793642217
"45" 234.639220848215 590.364355433625 604.037692581358 182.795550746402 232.527387744798 244.68166140314 615.310276855453
"46" 230.5273079729 585.047266876103 601.395977234243 174.372839655898 234.844412173372 252.79965771091 614.746576276556
"47" 229.282663050319 577.222431225524 592.961134733139 166.24270491436 239.427015550304 269.841154440331 608.255332936872
"48" 228.636011394287 570.554875211107 585.015925385938 158.250122462368 241.155038089091 294.753480470011 598.197997530727
"49" 225.826409982838 563.880285674575 576.599168855099 155.562826306699 238.299807220494 328.367256942487 588.708230843981
"50" 224.224845482012 554.070639921258 567.899046776361 155.541987208839 0 359.097152661686 581.005342856166
"51" 218.614589366942 537.950156410666 554.66289713334 156.972779985693 0 382.568729769148 570.895365628641
"52" 211.924025990278 522.380030152568 540.235332890491 164.746356934262 0 406.989409662922 558.978001671287
"53" 217.65512987215 506.091461684068 526.733619608678 182.933310459075 0 429.434834856025 535.981994380449
"54" 225.620397398496 492.628557661561 516.427041364853 198.980063758404 0 444.050864755981 516.557420814028
"55" 245.018616159379 479.992304879728 506.406412970122 217.740497912789 0 449.339658939789 502.732751480182
"56" 270.321866096143 469.227438632517 500.058588475423 237.605766122432 0 450.776539124952 494.189620870379
"57" 298.443114773603 463.245690716508 494.211782553478 258.724455730227 0 450.558402935171 490.811826047375
"58" 334.138944832132 465.98193338535 496.739880492034 277.076036752226 0 456.573571043486 491.057987239144
"59" 372.511218766373 469.44972566251 503.860490625254 297.206645286894 0 460.445026460808 492.094965185273
"60" 409.145707930948 475.457084242635 508.595842120528 346.226539594744 0 466.519716053532 495.643804218413
"61" 461.058463445221 481.79940248686 509.90578840004 360.331643666066 0 472.862034297756 497.654488010254
"62" 465.055762679894 484.999234628391 507.879991246118 375.653541168613 0 477.635486275207 496.090091304122
"63" 466.688149734774 481.814268842221 501.918667954789 389.277808870446 0 475.418095527138 491.046706123531
"64" 466.658033246873 476.418544503238 497.187729003267 0 0 474.97919214877 492.939340825828
"65" 461.966670336636 468.18497331963 485.882133512755 0 0 465.811939093138 491.259917530062
"66" 459.291991923317 463.576214674282 475.239182867591 0 0 459.495503068294 479.185408534398
"67" 456.66258597939 456.945904646074 466.025744440068 0 0 449.886601986805 471.781001396297
"68" 450.207895851878 446.035961050859 456.722197087414 435.816633188667 0 437.908150429912 464.623588575785
"69" 446.298815775546 435.534802210301 450.907640645369 437.71823940767 0 425.362314771412 462.393952220427
"70" 441.192482909712 429.347749130593 443.711021740157 433.045242531585 0 414.934162162302 447.328924316226
"71" 434.583212809466 424.717213556282 436.135039108463 423.681293409329 0 404.619529379463 438.037697365828
"72" 431.649890857198 420.501342498339 431.649890857198 417.561944341433 0 403.050148237135 429.769946549503
"73" 425.285469968404 412.664539661168 425.285469968404 415.186273254053 0 398.730438790561 424.211070301471
"74" 418.524983836696 404.061099096312 419.593657039018 413.614223427274 0 393.105589278986 421.365163836778
"75" 417.265485032841 402.398117356208 420.210175958201 415.859018061481 0 390.365893440585 421.67342329637
"76" 413.539758267203 405.116833169603 422.391062210847 416.949461187804 0 392.781369855535 421.993976362311
"77" 411.50786016476 408.488626558792 427.26787582561 419.089271369764 0 398.484868076469 420.778791155754
"78" 409.869094221956 409.527084178882 432.959600036872 418.031804381634 0 403.061454334709 421.219575447281
"79" 411.895603529879 414.406523880747 440.58224811635 420.912138055855 0 408.374262019575 425.860886446004
"80" 414.919725169588 422.704849547096 447.643782053111 424.832330108847 0 416.672587685925 453.499680316124
