"2016-07-12" "2016-08-29" "2017-06-13"
"137" 66.8733845812425 70.1978080992171 56.8927239387904
"138" 63.6527983279191 69.8052666337513 53.672137685467
"139" 62.3163120358023 67.4564652859636 52.3356513933501
"140" 60.0253223144205 65.2725474754297 50.0446616719683
"141" 56.6413906477727 64.0083554285353 45.72468304854
"142" 50.292172924098 60.9367208852287 40.3488839008668
"143" 43.0402846705471 57.2150771090069 36.1882794448044
"144" 41.3118767163735 57.0274780762859 36.7569931707338
"145" 43.4671266849279 55.7015787300558 42.9482665467329
"146" 44.8652541057853 56.052731994282 44.3463939675903
"147" 44.8714072266893 56.4954766771015 44.8107151031127
"148" 44.8696664845335 56.9111573131587 46.5519373958713
"149" 44.4461169244994 55.7410489456406 49.1852948561921
"150" 44.7753200247341 57.465756981599 53.0326509014486
"151" 46.8414171900747 58.9934872011614 57.1121263856661
"152" 48.7454136259241 59.2817317560691 59.2724078899486
"153" 48.5663223805679 58.7332301676213 58.9096894588736
"154" 47.4922199196698 59.1710638895226 59.3475231807748
"155" 47.679558122524 59.544021323042 59.7823338473479
"156" 48.0428440133048 58.9395854901288 60.5753104590208
"157" 47.7990733999284 58.7466778859912 60.3517636878428
"158" 48.1310495259083 59.776831430529 59.776831430529
"159" 50.3044854560559 59.4181474299463 59.4181474299463
"160" 53.2647595595021 60.4383514472645 60.3323428346882
"161" 55.1609472896399 62.3061263388865 59.9725922253001
"162" 57.4958002587332 66.4371556343292 62.0246195215718
"163" 61.1297873982068 69.1624047229736 64.6439109633191
"164" 64.1671560245286 70.9072485820499 65.6356725291196
"165" 67.0687913018032 72.3403673547335 67.0687913018032
"166" 67.9889334358878 74.1834446330051 67.9889334358878
"167" 69.614198635668 77.9608150065426 69.614198635668
"168" 73.3457774464938 80.2683804719953 73.3457774464938
"169" 76.0622776773418 80.9058787036724 76.4861082649306
"170" 76.5115171781662 82.0387677875051 77.0059861970197
"171" 78.6809217237506 84.2081723330895 81.8123997475905
"172" 78.7046002227043 84.2318508320432 83.8155487403989
"173" 76.3890841646931 79.4507101066636 80.7698971798599
"174" 73.474047511901 74.277559667538 77.8548605270678
"175" 68.7609618697311 68.7609618697311 73.1417748848979
"176" 63.1313311780387 63.1313311780387 67.0883136056168
"177" 60.3997768085026 60.3997768085026 62.4517074304856
"178" 58.9277019032911 58.9277019032911 61.5437825326442
"179" 57.8540014972656 57.8540014972656 62.2327213519095
"180" 57.0261294749215 58.8896660650569 61.4048493295654
"181" 56.0384073391241 60.1551688476409 60.417127193768
"182" 55.2057408893165 59.7100820878426 59.5844607439604
"183" 61.714895170433 66.5370329162498 63.8778668759106
"184" 71.5290861993094 79.1352891619629 71.2244620336511
"185" 78.9027847154224 91.4732476560488 76.301925754592
"186" 80.4177150951447 94.6146979253062 78.1419635044181
"187" 86.3813186925017 101.720194467374 82.0178205063805
"188" 92.5723428894733 107.83893555538 87.4815950056653
"189" 89.8683883779281 104.83003034811 85.5048901918069
"190" 88.0694437151904 105.153930041897 85.563735338743
"191" 77.4563926616986 93.8440040261238 77.4150975697844
"192" 69.7981721065075 78.8804361551849 69.7981721065075
"193" 66.0155646026693 71.8675089698659 66.0155646026693
"194" 63.0620958751115 70.2008690681908 63.0620958751115
"195" 62.5549684629957 70.260347342383 62.6612070291784
"196" 61.5510453027409 66.992853378428 63.7762663061885
"197" 60.0419834749276 63.2970477300194 64.4149119313635
"198" 59.5948630754111 62.9561915086833 64.0740557100274
"199" 60.4414501691994 66.9725656847273 62.6952328692276
"200" 63.2419920232942 69.4018095030043 63.518972024939
"201" 64.3565889118379 69.1322623608004 64.6731374851462
"202" 66.858593831579 71.0373080994211 67.1355738332238
"203" 70.3810681609206 75.2041210524578 71.7052080163701
"204" 74.6009024102558 81.4007580001765 76.047735331482
"205" 79.8448353340289 87.4433568060302 80.211090115971
"206" 87.6420454093377 94.0204431635547 87.9543581248054
"207" 90.8008682575593 95.2758250343351 93.0166219504683
"208" 91.9312007877044 95.5630702234604 95.5630702234604
"209" 93.4294878591817 94.7983333795688 94.7983333795688
"210" 94.4116551500815 93.0637133845933 93.0637133845933
"211" 95.0901470634533 91.4830022140983 91.4830022140983
