"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15"
"1" 0 0 348.582283872026 371.735399876483 0 334.832833839727 314.521947000004 355.521834091486 350.974856714979
"2" 0 0 340.016733749414 364.544803751596 0 327.47456467844 311.599475752992 348.571162524291 343.397318371664
"3" 0 0 330.328629534898 354.59628909212 0 319.876821975753 304.171633930323 339.959982518136 336.48266650345
"4" 0 0 310.959263316306 330.534944542174 0 301.370938937285 296.622214755249 319.805358071215 320.496932206712
"5" 271.06750446295 0 294.395297691549 311.782037754164 0 285.120791151921 289.859756751366 303.869608744432 307.460163667403
"6" 260.7717399308 0 288.121108792563 303.024028846233 0 279.767592542794 282.49151440426 296.241946837892 302.333783013959
"7" 253.628212448151 0 271.190837505132 282.604578131439 0 264.898526608901 262.355596833503 276.863292870273 286.399248936604
"8" 247.904394447761 0 265.41113792534 276.364039596501 243.633250366887 257.871884469813 255.692230376615 272.116143941218 280.185471136425
"9" 243.532859042451 0 254.024307091375 260.956824399827 243.293907258643 246.215100904594 242.933583207728 260.999870783345 272.483327707146
"10" 240.694463066833 217.374067979629 240.694463066833 247.14364007518 242.938243022082 232.094521299086 228.266083986076 248.872157748608 260.57695885287
"11" 239.423686239636 217.374067979629 239.423686239636 246.38983496105 242.938243022082 229.907500025216 226.62598232835 247.871421538274 259.846616396622
"12" 235.457463955579 217.374067979629 235.457463955579 243.430857041445 243.020170435647 223.759642701388 224.319120387096 244.727245296515 255.429405475337
"13" 233.606424172261 217.374067979629 233.606424172261 242.780249386643 243.020170435647 220.737574574823 223.992319988407 245.866238913061 252.532777047776
"14" 232.898534076784 217.374067979629 232.898534076784 240.195144873164 243.020170435647 219.477306366831 224.984965306886 247.50063699455 251.485891691322
"15" 233.515862985756 217.374067979629 233.515862985756 239.7889902896 241.029750773516 220.095179574736 227.479907817271 248.964019896928 255.129993223214
"16" 235.753063993686 230.305654231439 235.753063993686 243.433041400278 244.562190176107 222.803538468024 230.917448118258 252.254891632503 259.763923008995
"17" 243.002600765157 253.204459801511 242.185160190322 250.859946781061 258.885963925531 228.528239860542 238.490596216033 259.416778507215 270.76364541965
"18" 258.267523526477 269.824420040232 252.027709214957 262.195650774709 258.885963925531 239.313110877502 250.209851852476 275.056537637851 281.688018879132
"19" 274.005286965424 284.984910596403 263.281202894561 274.237021078696 264.092634341927 253.053620512924 262.397568772061 292.347964326752 295.303948475209
"20" 296.604344070998 306.321676224129 284.680222323184 293.758027552691 264.092634341927 271.434855158333 280.218623249186 315.734122827736 300.016640550441
"21" 324.701035123557 329.62240287079 312.776913375742 320.654286476733 264.092634341927 295.864570564891 305.001622299783 344.117653682371 300.016640550441
"22" 337.704320609916 329.62240287079 324.076752898128 333.079465013545 264.092634341927 305.379650385746 315.190705954175 356.713043891893 306.774936686204
"23" 390.165559093718 329.62240287079 376.53799138193 387.453736132668 278.303165653709 357.735980032473 365.401813540925 410.856296446461 321.013650095521
"24" 453.557816554631 346.899435348299 439.560414511914 449.002472571235 299.522009546659 420.591519584036 427.424002912261 472.368854534976 340.928943897429
"25" 524.31170982974 444.593723311588 509.10450514623 517.610189819751 0 490.474048923086 496.699040001089 543.120592224097 412.242312611921
"26" 598.197768905875 547.776814287152 587.443349417325 594.54850191611 0 564.782939671036 572.889215638758 615.6118486481 420.329500355967
"27" 679.854087859529 602.104422292711 674.224548095942 680.42927016686 0 645.379985265648 657.671386133731 695.49255245895 0
"28" 723.781783069721 672.24965014527 760.938894403522 767.143616474439 0 733.042035370276 745.096447785245 777.789582164255 0
"29" 776.44990257315 785.311457165856 847.137794015653 854.513637798784 0 818.871870242289 829.521702172045 861.246098822344 0
"30" 819.837317940194 785.311457165856 914.814708746881 925.240619200854 0 877.794148987974 891.763948874653 925.973194789914 0
"31" 863.88638134991 785.311457165856 969.22449057501 984.659452594184 0 916.000123835261 938.937540463042 974.020555638868 0
"32" 905.941556881729 818.979795395491 1005.62497996394 1022.59716987373 0 933.759725686903 966.504818688059 998.039300623825 0
"33" 940.762292863492 0 1012.0272850194 1035.16680525606 0 932.5036467111 970.05104589053 1004.23922212718 0
"34" 0 0 995.671774719192 1027.36961427459 0 915.424187253606 955.230471649638 996.778972851177 0
"35" 0 0 961.072706657416 998.834181464934 0 876.003077286935 917.786529042281 973.466171791269 0
"36" 0 0 909.17253068747 952.695431370157 0 817.734644113221 863.336667256971 933.932092136542 0
"37" 0 0 843.594743987879 890.398003227717 0 752.198414757886 801.351421544777 877.539731454328 0
"38" 0 0 769.818965457966 818.65036983641 0 688.985642245377 735.50905402213 815.457289489702 0
"39" 0 0 698.726134565351 749.337251989759 0 633.385332484259 673.686776325115 761.772929831018 0
"40" 574.225558187186 0 646.698337993589 696.499685847518 0 591.968063404405 630.281928693065 716.440368126749 0
"41" 551.749869432451 0 600.215960424147 645.647429162382 0 551.830735723185 583.868801344804 668.068694772335 0
"42" 547.542064636721 0 563.068716165698 608.296985384291 0 522.210969888699 552.675971045332 628.278695610997 0
"43" 550.078895043264 0 538.776255438487 582.565003439361 0 511.665651849734 533.280539566158 599.189336549491 0
"44" 546.42893169369 0 521.266714961722 562.271278030665 0 503.176189867935 517.516358494761 578.859467818119 0
"45" 536.711453665697 0 505.526638235072 546.057018985071 0 493.008619249407 501.010766145269 564.117590720901 0
"46" 523.917910333595 0 486.46954581318 530.647774126215 0 477.131337090799 481.785385237177 543.819064944288 0
"47" 498.303782574841 0 458.838112955887 505.032982956551 0 447.490142019454 449.467448443865 514.048336453743 0
"48" 493.142049557695 0 429.077646625057 478.787370850085 0 416.687004064364 418.765210761208 482.613661070342 0
"49" 483.945168460182 0 388.794965173476 439.582800665214 0 377.942838546199 403.864765304728 440.895146038939 0
"50" 465.509114009504 0 340.072701713395 391.796255276075 0 325.459587732279 383.039442887055 393.117967463348 0
