"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-23"
"924" 659.821304797428 664.6629461981 645.373938526888 658.17133417913 0 667.957499160926 678.856538313087 667.957499160926 651.332687541951 0 0 NA 648.771407695064 633.857931047947 643.182873802315 0 648.771407695064 0
"925" 659.246618215103 664.527725825789 650.545030152403 660.0801095782 0 669.977353472332 680.910197717571 669.977353472332 655.362813647854 0 0 NA 652.801533800967 639.029022673461 646.23269477584 0 652.66646836759 0
"926" 659.170176232476 666.439597640544 655.283885080087 663.060167437097 0 673.632053563765 683.727324996426 672.794480751187 658.680896586728 0 0 NA 656.288629279831 644.038297665128 650.870142179531 0 654.069287291008 0
"927" 658.898594623407 667.723375704535 655.763948770404 662.289778002357 0 691.760507467029 688.10450564806 675.016421895037 657.944318709497 0 0 NA 657.707538193763 665.356870263898 648.897056455306 0 655.48819620494 0
"928" 660.532999949093 668.952264327844 654.330745128307 662.335380530294 0 714.055198295138 689.029270877962 676.245310518346 658.159050177244 0 0 NA 658.159050177244 694.962564225596 641.675071241392 0 655.939708188421 0
"929" 660.500621916181 667.238340110112 652.823386845171 660.115933831313 0 743.012842207838 686.37612283215 674.531386300615 657.994520096951 0 0 NA 657.994520096951 731.666577757146 630.144962016038 0 655.775178108129 0
"930" 658.629456666032 665.367174859963 653.061405079778 658.300135593795 0 777.33389941563 682.889231041487 671.519342783981 658.232538331558 0 0 NA 658.232538331558 771.245273061175 614.739681185267 0 656.013196342735 0
"931" 657.768604590459 664.269840856949 652.441005455239 657.679764408402 0 809.738812640205 678.66848903389 668.268334084625 657.61213870702 0 0 NA 657.61213870702 814.420968294489 598.007387108482 0 655.392796718197 0
"932" 653.554881048394 659.616651104871 649.669671872083 656.927976243195 0 830.702494111398 676.136733690216 661.46006964883 654.840805123864 0 0 NA 654.840805123864 856.03738400207 579.68802167143 0 652.756528568418 0
"933" 650.653410300146 654.557795839376 646.124425380328 654.768564430079 0 852.426580413715 672.326626902091 655.495958919235 650.56142073606 0 0 NA 650.56142073606 884.274833918861 558.24547683003 0 650.56142073606 0
