"2016-05-31" "2016-06-25" "2016-06-26" "2016-08-18" "2016-08-19" "2016-08-31" "2016-09-01" "2016-09-07" "2016-09-09" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-17" "2017-07-19" "2017-07-30" "2017-08-06" "2017-08-21" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-21" "2018-06-26" "2018-06-27" "2018-07-04" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-07-26" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-11" "2018-09-13"
"18" 0 38.9888950711968 38.9888950711968 53.2097993813098 53.2097993813098 25.9418322245431 25.9418322245431 43.8846118029133 43.8846118029133 0 29.3218727997985 0 0 39.3004504755916 41.9633925980657 0 0 40.6364358437653 0 0 0 45.0483901877053 0 43.8846118029133 0 39.7894970798891 0 0 0 41.9633925980657 0 0 37.0689646433646 0 47.926597017678 0 53.836481962379 0
"19" 0 40.5490146961469 40.5490146961469 56.9197162014494 56.9197162014494 29.0685532177744 29.0685532177744 49.8364658128778 49.8364658128778 0 32.6101691705769 0 0 40.9050780154553 45.5092148350641 0 0 39.8369891202899 0 0 0 48.3435321813511 0 49.8364658128778 0 45.1563347008502 0 0 0 45.5092148350641 0 0 45.1563347008502 0 50.1207704785688 0 56.9197162014494 0
"20" 0 43.7870897612951 43.7870897612951 57.7145480458162 57.7145480458162 34.5721810876472 34.5721810876472 53.074540878026 53.074540878026 0 35.8482442357251 0 0 44.1431530806035 48.7472899002123 0 0 38.1826844192991 0 0 0 49.3160544417747 0 53.074540878026 0 48.3944097659984 0 0 0 48.7472899002123 0 0 48.3944097659984 0 53.074540878026 0 58.789765569254 0
"21" 0 48.6213849889217 48.6213849889217 61.6331572950479 61.6331572950479 37.9728432708478 37.9728432708478 57.8388005106152 57.8388005106152 0 38.0471927162598 0 0 48.6213849889217 50.946238380747 0 0 38.3883771963211 0 0 0 53.2346636910063 0 57.8388005106152 0 52.8726416743166 0 0 0 50.946238380747 0 0 52.8726416743166 0 57.8388005106152 0 62.5231146252433 0
"22" 0 49.2947181725927 49.2947181725927 64.5826387160928 64.5826387160928 38.3862623489923 38.3862623489923 60.7882819316601 60.7882819316601 0 38.4606117944043 0 0 49.2947181725927 49.343423327044 0 0 38.8017962744656 0 0 0 56.1841451120513 0 60.7882819316601 0 55.5622089898351 0 0 0 49.343423327044 0 0 55.5622089898351 0 60.7882819316601 0 66.3605954099535 0
"23" 0 47.6572830900859 47.6572830900859 65.285036099347 65.285036099347 37.2144546817919 37.2144546817919 61.0636376481595 61.0636376481595 0 36.8256676906015 0 0 47.6572830900859 45.437329389902 0 0 37.1668521706628 0 0 0 56.4595008285506 0 61.4906793149143 0 56.1959237406675 0 0 0 45.2593953620875 0 0 56.1959237406675 0 61.0636376481595 0 68.0502200617503 0
"24" 0 46.7551588991618 46.7551588991618 65.8887709532543 65.8887709532543 38.7983953067258 38.7983953067258 59.3849452350724 59.3849452350724 0 36.1334600781613 0 0 46.7551588991618 42.1922653229954 0 0 35.4116540907899 0 0 0 55.5573766376265 0 62.0944141688216 0 54.9099784744214 0 0 0 39.4454817829166 0 0 54.9099784744214 0 59.3849452350724 0 72.1763240607631 0
"25" 0 49.3804999588391 49.3804999588391 64.0961983422687 64.0961983422687 40.8416981692084 40.8416981692084 57.5478129999736 57.5478129999736 0 38.7101262826491 0 0 49.3804999588391 42.264705637651 0 0 33.2397404590015 0 0 0 55.9870386060494 0 61.8219270825506 0 52.7867396978227 0 0 0 35.1011523631669 0 0 53.0728462393226 0 57.5478129999736 0 74.4608545836184 0
"26" 0 53.4033441133432 53.4033441133432 63.607774985584 63.607774985584 38.1794212666224 38.1794212666224 59.333660903007 59.333660903007 0 38.1794212666224 0 0 53.4033441133432 43.9053508419783 0 0 33.0323374831673 0 0 0 59.333660903007 0 62.1524249565712 0 50.8404629865779 0 0 0 35.0364487604915 0 0 53.4033441133432 0 59.333660903007 0 74.3211951966471 0
"27" 0 51.6154997696683 51.6154997696683 64.512677780093 64.512677780093 34.9074555629584 34.9074555629584 60.238563697516 60.238563697516 0 34.9074555629584 0 0 52.0420735737371 43.1128453744638 0 0 36.8479071161008 0 0 0 59.8119898934472 0 60.791154416965 0 47.7817841849482 0 0 0 34.243943292977 0 0 52.0420735737371 0 60.238563697516 0 75.0020779449868 0
