"2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15"
"82" 0 529.976867692972 528.223026235617 0 0 525.566750547673 535.873148815903 538.833770022132 542.335031594473 535.873148815903 0 541.024025399306 0 535.873148815903 528.39428683205 0 0 0 0 0 0 0 0
"83" 0 537.509274960458 537.585522815891 0 0 535.224898027996 547.246693592048 548.083690316618 553.708576370619 545.529180565048 0 550.44292278208 0 547.246693592048 536.367086494227 0 0 0 0 0 0 0 0
"84" 0 547.581943922828 550.145006763275 0 0 545.42546743044 560.685157236655 558.958761871541 565.597935951699 558.967644209656 0 563.280679900002 0 560.685157236655 548.791262112677 0 0 0 0 0 0 0 0
"85" 0 557.338917365267 562.862189699445 0 0 550.868992753441 575.559064232544 573.367801114703 579.060368210137 573.841551205544 0 575.998522889442 0 575.559064232544 562.455712086841 0 0 0 0 0 0 0 0
"86" 0 567.30978877017 575.353950382334 0 0 556.525590561791 590.20796171371 587.043872196646 593.709265691302 586.333311888434 0 588.49044868671 0 590.20796171371 576.131783168784 0 0 0 0 0 0 0 0
"87" 0 572.929163818687 582.728156172498 0 0 558.436217163369 599.26719248319 596.103102966127 602.768496460783 593.707517678597 0 597.549679456191 0 599.26719248319 587.348150736541 0 0 0 0 0 0 0 0
"88" 0 581.871218307118 589.149426261856 0 0 566.98737014545 606.148824275742 603.380245948312 609.212465256136 598.756367579693 0 602.118259135087 0 606.148824275742 594.990799477864 0 0 0 0 0 0 0 0
"89" 0 584.432482247461 594.703712968626 0 0 569.548634085793 609.330138015713 606.739192650486 612.393778996107 601.937681319664 0 605.299572875058 0 609.330138015713 599.644986529437 0 0 0 0 0 0 0 0
"90" 0 586.319816433495 598.828285461905 0 0 569.309704248731 610.933142659981 610.095686724238 614.434446637574 604.202133748638 0 608.044295526232 0 610.933142659981 603.705535612896 0 0 0 0 0 0 0 0
"91" 0 585.509554558835 600.795522755797 0 0 572.650226638267 613.207294921525 612.575498757005 614.757782177953 606.476286010182 0 610.118182572197 0 613.007029705946 607.935899151249 0 0 0 0 0 0 0 0
"92" 0 581.905458375694 600.633341943168 0 0 574.960537649751 614.981647349762 612.593418588078 614.502916581407 608.485087099064 0 609.836339473097 0 612.364080715127 607.926841479768 0 0 0 0 0 0 0 0
"93" 0 577.24215498611 602.477319883445 0 0 580.642703750861 618.60376240208 613.967675477129 614.818898576448 610.216156131357 0 609.79318386112 0 612.32092510315 608.9419607618 0 0 0 0 0 0 0 0
"94" 0 568.396527370883 602.654097155447 0 0 581.098550926075 620.382688328394 616.218198029235 616.510218393487 610.772559876886 0 608.374486798881 0 610.61020767666 608.08246643463 0 0 0 0 0 0 0 0
"95" 0 556.4846029155 602.590023629929 0 0 581.116873824345 625.620349061176 618.730137129219 621.194669135568 614.926583476133 0 610.500903550525 0 610.190210850499 608.036371544176 0 0 0 0 0 0 0 0
"96" 0 540.232624675736 605.739037071062 0 0 576.749302323683 631.028377059497 620.353227228797 626.498044473094 622.174492798393 0 617.748812872785 0 613.304601366402 611.499342967693 0 0 0 0 0 0 0 0
"97" 0 509.385914392601 614.28526135772 0 0 562.684293056786 641.44088177643 613.221466871577 632.680520372483 623.020691601946 0 619.148221667039 0 608.105223143166 600.677997752267 0 0 0 0 0 0 0 0
"98" 0 491.609515071773 619.6735273491 0 0 551.891925655246 647.034601157316 606.565216538208 636.206945687776 619.388643877911 0 615.983591821519 0 599.586288239921 591.779221289674 0 0 0 0 0 0 0 0
"99" 0 475.525232852312 624.986741693134 0 0 538.502469532971 651.330180518461 600.132399320121 639.867562387958 613.561852363569 0 613.855947938417 0 593.153769209925 582.437805301335 0 0 0 0 0 0 0 0
"100" 0 469.114448483841 627.666758717385 0 0 531.628737290999 652.864693751589 592.406354703752 640.894154890562 606.697126365361 0 610.23238005518 0 588.37253693984 575.159240386559 0 0 0 0 0 0 0 0
"101" 0 454.179417459991 633.016226732369 0 0 517.529744827114 655.764493992568 578.908943718282 644.562693109968 597.04957155178 0 604.61982537731 0 578.415919312343 561.666910403694 0 0 0 0 0 0 0 0
"102" 0 445.40057337716 635.363800803119 0 0 511.143206271715 657.465958118039 571.383090532993 644.95153823439 594.52168725143 0 603.125828914427 0 573.93845495559 555.09581993336 0 0 0 0 0 0 0 0
"103" 0 430.618832922094 643.344908890885 0 0 499.229445948636 662.910525468215 559.370061939047 649.982009028583 584.394276903478 0 593.412515122458 0 561.379237980618 541.331286197222 0 0 0 0 0 0 0 0
"104" 0 421.05693796045 650.255842329295 0 0 487.633343710611 668.312498136966 547.120397574774 654.861591241077 570.638710385061 0 579.656948604041 0 544.466390129877 527.351713671914 0 0 0 0 0 0 0 0
"105" 0 419.386895775414 654.8316741813 0 0 478.04751723538 674.887328454969 538.313987079124 661.271305469501 559.403119988964 0 568.421358207945 0 532.685003385648 519.441921427166 0 0 0 0 0 0 0 0
"106" 0 419.887127342809 659.539765161163 0 0 469.14916045618 681.522354417171 532.773084385121 668.691101221356 550.826386293882 0 560.667026779778 0 528.436013525622 516.100913144266 0 0 0 0 0 0 0 0
"107" 0 417.508720558386 666.574004145302 0 0 457.750473245827 693.281842805312 520.886372646748 681.981778374232 536.535504044147 0 550.917626980519 0 518.007312521467 507.397893005513 0 0 0 0 0 0 0 0
