"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" -10.7837848105972 -10.9662275786878 -10.4621836408133 -11.137728696965 -10.0194784854147 -10.2008052288976
"15356000" -9.41921691607187 -10.544704199539 -10.1960288487397 -7.80649138421487 -10.5184087516956 -10.8111534729402
"15485500" -4.20450314983173 -11.0518052571039 -12.1369550226384 -9.69619096505131 -9.99415936275959 -9.36634409468172
"15515500" 0.0861454452363445 -12.4657122350708 -7.90466132249889 -4.16194379312505 -11.2362697668302 -12.10428136126
"15484000" NA -7.11145727008716 -4.06567801429064 NA -4.94334451948343 NA
"15493400" NA -4.03061678823697 -0.489242031862604 NA -1.99925162574886 NA
"15514000" NA -3.44141896830071 -2.30052703247572 NA -3.28526204692974 NA
"15477740" NA -6.1580907622915 -3.42170480196073 NA -1.85691308259449 NA
"15493700" NA -3.12734437201953 -3.45369365150008 NA -3.38114606856608 NA
"15511000" NA NA -1.26255508905121 NA NA NA
"15519100" NA NA -0.333334470657332 NA NA NA
