"2016-06-17" "2016-06-29" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"16" 8.19241529625241 74.6759483018401 0 0 0 0 11.1226445305397 30.1526723905312
"17" 8.19241529625241 74.6759483018401 0 0 0 0 11.1226445305397 30.1526723905312
"18" 2.51134946436316 68.7536850645459 0 0 0 0 7.31427691543068 21.334426973745
"19" 0 63.5484841117624 0 0 0 0 0.251915514126322 14.1452327804205
"20" 0 63.5484841117624 0 0 0 0 0.251915514126322 14.1452327804205
"21" 0 59.6947358803092 0 0 0 0 0 7.39207236784454
"22" 0 59.6947358803092 0 0 0 0 0 7.39207236784454
"23" 0 63.9253562171465 0 0 0 0 0.0310822910444413 0.0310822910444413
"24" 0 77.3540032988637 0 0 0 0 0.0414430547259218 0.0414430547259218
"25" 0.431993184065409 77.3540032988637 0 0 0 0 2.65448129673305 2.65448129673305
"26" 3.4942857261011 0 0 0 0 0 7.96424585061364 7.96424585061364
"27" 8.0562228528962 0 0 0 0 0 11.9674379618447 11.9674379618447
"28" 13.4958151568009 0 0 0 0 0 15.5267079949494 16.9724508091996
"29" 27.6099296789761 0 0 0 0 0 27.9305060985878 32.0798898034887
"30" 37.8680970134939 0 0 0 0 0 37.3353232607946 42.3739876715775
"31" 46.5824399940653 77.20685683984 0 0 0 0 46.085180669409 55.00897291648
"32" 50.5056193989777 68.5687991082987 0 0 0 0 48.0947652667816 61.2165662781938
"33" 51.0748909079287 61.2815533348384 0 0 0 0 46.6974987653683 65.4771948623128
"34" 52.6584777889953 61.2815533348384 0 0 0 0 47.6557439117835 69.118253736863
"35" 51.9327984891548 61.2815533348384 0 0 0 0 48.2648898537828 71.1358704283337
"36" 42.7530262758332 55.1133282545342 0 0 0 0 40.0020947993042 67.0937603437833
"37" 35.3613155655972 55.1133282545342 0 0 0 0 34.3657403645677 65.6075840853426
"38" 32.3639278959788 51.8404909814821 0 0 21.4428658756093 0 30.9354009794252 61.5541935801707
"39" 27.2649946370443 45.1362255441896 0 0 36.3788864743594 0 22.6554802133699 59.4236770254059
"40" 27.2649946370443 45.1362255441896 0 0 36.3788864743594 0 22.6554802133699 59.4236770254059
"41" 31.5255157209131 44.5732375244077 0 0 39.2952085193861 0 27.492190600198 58.4193391706243
"42" 31.5255157209131 44.5732375244077 0 0 39.2952085193861 0 27.492190600198 58.4193391706243
"43" 40.6204066803021 45.9079416461583 0 0 42.808941363397 0 34.5231245827162 55.5432321940039
"44" 40.6204066803021 45.9079416461583 0 0 42.808941363397 0 34.5231245827162 55.5432321940039
"45" 47.4068250670138 46.8077591850808 0 0 47.4068250670138 0 40.0536452661467 59.1073098148512
"46" 47.4068250670138 46.8077591850808 0 0 47.4068250670138 0 40.0536452661467 59.1073098148512
"47" 47.4638825491651 47.9436852566182 0 0 47.4638825491651 0 42.8905108966697 60.3255518821243
"48" 48.9815589340606 56.491672596002 0 0 48.9815589340606 0 42.5788386205671 59.92730168752
"49" 37.1689116849674 59.8003751703506 0 0 37.1689116849674 0 32.5955400324721 57.282232992571
"50" 31.3991669695847 61.4547264575249 0 0 31.3991669695847 0 28.2987778190845 62.8099253161392
"51" 22.4279764068462 60.8913351287141 0 0 22.4279764068462 0 20.2134127279175 55.2013776795662
"52" 9.32682632999717 56.736798913547 0 0 9.32682632999717 0 9.32682632999717 52.5521570202913
"53" 9.32682632999717 56.736798913547 0 0 9.32682632999717 0 9.32682632999717 52.5521570202913
"54" 6.78068173321182 49.7116851454607 0 0 6.78068173321182 0 6.78068173321182 46.6155030057861
"55" 6.43803700160274 45.014468620635 0 0 6.43803700160274 0 6.43803700160274 44.9938797060212
"56" 10.7369153999414 42.8839417491349 0 0 10.7369153999414 0 10.7369153999414 42.8667843202901
"57" 21.5227518579887 36.7393212988373 0 0 21.5227518579887 0 21.5227518579887 46.7557410375228
"58" 21.5227518579887 36.7393212988373 0 0 21.5227518579887 0 21.5227518579887 46.7557410375228
"59" 28.2217531146377 35.8944881103269 0 0 28.2217531146377 0 27.6439154859359 46.7018338022693
"60" 36.2814335418111 39.640075495409 0 0 36.2814335418111 0 32.2514074318486 43.7831066534123
"61" 36.2814335418111 39.640075495409 0 0 36.2814335418111 0 32.2514074318486 43.7831066534123
"62" 41.7123621548028 54.2905366988517 0 0 40.8554586345609 0 32.2278786786454 42.1121922971285
"63" 41.7123621548028 54.2905366988517 0 0 40.8554586345609 0 32.2278786786454 42.1121922971285
"64" 45.8531099807206 52.3965148316666 0 0 37.9279448321986 0 31.7087246603512 35.3366117289316
"65" 47.1906998346103 48.5383591218354 0 0 35.941126416734 0 31.698733725713 29.8983654041046
"66" 47.1906998346103 48.5383591218354 0 0 35.941126416734 0 31.698733725713 29.8983654041046
"67" 42.3966383233274 50.3702902508216 0 0 32.7541468222906 0 31.9942806955386 32.0912675208156
"68" 38.0494454077809 47.3538530516759 0 0 25.7496222346679 0 31.928390263542 32.0641718189298
"69" 36.9838464707372 50.2657326677356 0 0 26.7339938264764 0 31.8829671838714 31.996118480028
"70" 26.4264529341285 50.1312614253432 0 0 29.0643597671569 0 26.7621257988434 29.0113182813232
"71" 25.5941055615244 53.5363664539097 0 0 31.1638506546792 0 25.5941055615244 27.8903291028423
"72" 28.7276644453621 53.8648037480739 0 0 33.4152294110089 0 27.218417718916 30.367824117732
"73" 30.0831931125635 50.366505892783 0 0 35.552018905818 0 25.6483659044738 30.0831931125635
"74" 30.0831931125635 50.366505892783 0 0 35.552018905818 0 25.6483659044738 30.0831931125635
