"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15" "2018-05-29"
"1" 312.622690388705 0 371.735399876483 387.379705696701 316.29709015021 371.735399876483 359.517227070495 365.993110277815 0 419.746645843133
"2" 316.695583322107 0 364.544803751596 377.248658672825 316.29709015021 364.544803751596 351.767476907498 356.948183473354 0 419.746645843133
"3" 310.098416377192 0 354.59628909212 367.646239748887 309.832754262594 354.59628909212 341.44585438453 346.940833309022 0 419.746645843133
"4" 302.346057546235 279.088981053366 330.534944542174 345.617157237984 295.162583029813 330.534944542174 319.809019965439 326.393573675867 0 0
"5" 296.090346929578 275.078242758158 311.782037754164 325.647339805111 282.353522667892 311.782037754164 303.245054340681 308.347455761838 0 0
"6" 288.487951674423 266.877486971655 303.024028846233 317.05450054528 274.384135850582 303.024028846233 295.70661449182 302.226028508188 0 0
"7" 276.863292870273 263.747833435461 280.101625574101 292.970863525774 271.085799262031 280.101625574101 275.018100222451 282.262507750544 0 0
"8" 272.116143941218 258.782428425743 273.048956270171 287.529912392689 267.875019102887 273.048956270171 268.6916488259 277.913737830062 0 251.821118307167
"9" 260.999870783345 253.640675834009 257.372427437194 276.280304513851 264.314954109674 257.372427437194 255.159968992429 266.797464672189 0 247.387841228783
"10" 248.872157748608 247.14364007518 240.694463066833 262.517897981827 252.739754962659 240.694463066833 240.694463066833 255.636017285593 0 247.387841228783
"11" 247.871421538274 246.38983496105 239.423686239636 259.836922630402 251.186504864604 239.423686239636 239.423686239636 253.938167747915 0 246.175584326472
"12" 242.849232341887 241.552844086816 235.457463955579 256.278715293803 245.749930252425 235.457463955579 235.457463955579 252.494141563636 0 249.201372077812
"13" 240.998192558568 240.278111042268 233.606424172261 255.540022711894 245.688491740454 235.396025443607 235.396025443607 251.755448981726 0 249.201372077812
"14" 239.848604952974 237.931317411499 232.898534076784 255.29720637538 243.945068716543 236.536760764687 236.536760764687 251.512632645212 0 249.201372077812
"15" 240.701020200035 239.892537036721 233.515862985756 255.354219874346 244.447810899221 237.735613104623 237.735613104623 253.800157133182 0 253.776421053752
"16" 244.257048811136 246.784141229996 237.395563528199 256.767260200538 248.208807168449 241.615313647066 241.615313647066 258.880837778562 0 263.937782344512
"17" 251.448393003861 255.596760971261 246.523004322939 262.405290665342 256.393820739549 250.742754441806 250.742754441806 266.072181971286 0 271.101759493761
"18" 266.389203009687 268.288009330116 260.993332289738 277.809541515281 274.267831174562 265.912031533415 265.065935224434 281.947303810571 0 277.939431736738
"19" 282.126966448634 283.292667569588 274.853445829453 293.224370372245 294.029461676162 281.325808323083 278.984955427654 299.239782566768 0 284.492997205041
"20" 305.513778348281 311.824693474419 296.340811590121 315.734122827736 322.002509289352 304.690533639718 301.495666201183 322.360597152241 0 284.492997205041
"21" 335.488228201951 333.055620914155 324.43750264268 344.117653682371 350.418272512617 331.697180621344 327.802755982395 350.744128006875 0 284.492997205041
"22" 350.032541270938 333.055620914155 337.403140631771 356.713043891893 350.418272512617 343.587200702752 339.13642968681 364.286157405613 0 284.492997205041
"23" 404.840332748266 383.37163733798 391.777411750893 411.488355687206 366.264599000401 395.383840979737 390.933069963795 418.829220492213 0 291.678838702098
"24" 468.193212461854 442.774458675059 454.998808004343 475.144271829968 385.661211193483 456.898956115492 454.120844914434 482.582998792302 0 299.757668090755
"25" 540.584461380677 510.172373282782 525.750545693464 547.56918625509 407.196011605189 525.506673364009 524.872582603555 555.377828029356 0 0
"26" 613.874516804463 587.443349417325 601.016577590398 620.060442679094 420.599656366464 599.502041776956 600.30678271097 627.330946179822 0 0
"27" 695.530835758117 674.224548095942 684.818782143174 699.941146489943 440.100801455924 681.528631186929 684.041665362597 705.065764391548 0 0
"28" 779.97341924167 760.938894403522 771.432161214131 782.238176195248 448.894809865738 765.996456479637 769.485507275999 786.664437376875 0 0
"29" 864.363322237751 847.474807458016 858.802182538476 865.863199574519 0 852.566983860652 856.855528600344 870.120954034964 0 0
"30" 926.511970501935 911.503127962473 929.529163940546 933.379320033606 0 924.002034908601 929.495542637734 933.541630942084 854.975150429242 0
"31" 968.600323811674 949.236768057128 987.645136147491 990.183977854752 0 981.311338462304 987.275337518992 981.98359013877 0 0
"32" 995.617642693201 986.130544228145 1026.05268739514 1030.96940646606 0 1017.84547475712 1022.59837247084 1011.32169343817 0 0
"33" 1019.85639677396 1017.93534844238 1044.09043518369 1052.36050291049 0 1027.43248344552 1034.59503737933 1026.88234448092 0 0
"34" 1039.62992275158 1043.65970030201 1044.87683414888 1054.58732766652 0 1017.99270164992 1031.32971233633 1027.70243761665 0 0
"35" 1048.2772172235 1058.6455307851 1023.64131173983 1037.16996115826 0 988.624675372916 1007.94963099623 1009.85615932218 0 0
"36" 932.947196078313 1051.09848463617 981.288540303213 998.266636943519 0 938.565334045469 962.248371768622 975.277505066684 0 0
"37" 790.48476320039 0 922.317124271099 940.196191280531 0 874.660494095385 899.218378933528 925.696291595104 0 0
"38" 654.371796233938 0 852.312366161615 869.721368493752 0 804.71933074527 827.134064440975 864.93387580397 0 0
"39" 635.557431853278 0 784.205542543001 802.755190574749 0 736.809793883355 756.347876465811 807.135026257513 625.115996414054 0
"40" 626.295006598729 0 724.889476354482 742.63534629628 0 686.954854435037 701.331107325185 753.047573564163 625.115996414054 0
"41" 615.050631620425 0 663.981788285886 688.092197313187 0 637.745188564029 645.745132161679 702.358618247731 625.115996414054 0
"42" 608.257017988225 0 617.691857395801 642.204969543418 0 601.227338253289 601.330701460268 661.188425970865 625.115996414054 0
"43" 588.45612296695 0 588.173896792713 612.652827730832 0 579.415947541029 575.699595704312 631.231866342678 625.115996414054 0
"44" 577.546394247315 0 564.856984890841 592.724975036112 0 561.934596929418 556.441260605419 607.445095313864 625.115996414054 0
"45" 566.624323935923 0 548.675522773987 579.227294300184 0 546.057018985071 542.709153500134 594.072200939943 625.115996414054 0
"46" 550.382958288129 0 530.557370295129 559.192235624411 0 529.915365274274 530.354881673624 575.517889735401 0 0
"47" 524.970050863231 0 503.336087493166 536.19289952888 0 502.155559316471 504.87538470383 548.56493453286 0 0
"48" 497.08415045509 0 477.225172921812 509.812120307109 0 474.572803308305 476.157337333869 518.096799800382 0 0
"49" 460.6303479363 0 439.660179448323 476.066571971583 0 435.368233123434 437.019533762976 478.99501203829 0 0
"50" 417.405068049803 0 391.873634059183 431.369236293348 0 387.581687734294 389.771688449108 430.545930937588 0 0
"51" 368.856386000426 0 344.333926910902 381.945606330589 0 339.209056507906 342.905018157275 379.583055773717 0 0
"52" 342.882778479931 0 295.300750224387 329.833047969184 0 288.099023627949 291.727033914408 322.077921509617 0 0
"53" 318.374378340569 0 239.689762211836 304.30759685768 0 234.331685484075 263.671172996522 267.407219388511 0 0
"54" 295.12923452415 0 186.553990774519 234.415760029722 0 181.061254625134 237.420074820645 213.061089580482 0 0
"55" 215.884988588474 0 147.201653734533 203.322398291334 0 139.563197909292 184.198804427046 165.667826103053 0 0
"56" 139.263136139138 0 109.886095330921 139.824190703593 0 100.674111743385 134.535639037688 119.806551497961 0 0
"57" 92.1370749110076 0 88.2499008478159 103.148003906839 0 78.3813982304382 107.677083111875 93.1140229336132 0 0
"58" 47.6656077089707 0 59.3093160205541 59.2626356821504 0 55.1309086917178 74.4709935538443 55.5221101807602 0 0
"59" 37.3839288985756 0 38.669890304429 30.3674396795753 0 30.367920511989 39.258255481216 37.1291200595577 0 0
"60" 29.9071431188605 0 28.5577069710196 25.3061997329794 0 16.2108638452158 26.1721703208106 17.6248889113244 0 0
"61" 24.9226192657171 0 25.2753835689207 21.4768224305307 0 14.7551678406898 26.1721703208106 13.1204447238422 13.0173660335315 0
"62" 17.1475409108476 0 16.4653110174615 18.4087049404549 0 3.09255030838558 5.61533436740574 1.45782719153803 0.47121686999209 0
"63" 16.1756561164889 0 14.0587391457162 16.0021330687096 0 1.63472311684756 0 0 0 0
"64" 1.0898154112317 0 2.20487751152669 2.20487751152669 0 1.30777849347804 0 0 0 0
"65" 0.934127495341461 0 2.20487751152669 2.20487751152669 0 1.0898154112317 0 0 0 0
"66" 0 0 0 0 0 0 0 0 0 0
"67" 0 0 0 0 0 0 0 0 0 0
"68" 0 0 0 0 0 0 0 0 0 0
"69" 0 0 0 0 0 0 0 0 0 0
"70" 0 0 0 0 0 0 0 0 0 0
"71" 0 0 0 0 0 0 0 0 0 0
"72" 0 0 0 0 0 0 0 0 0 0
"73" 0 0 0 0 0 0 0 0 0 0
"74" 0 0 0 0 0 0 0 0 0 0
"75" 0 0 0 0 0 0 0 0 0 0
"76" 0 0 0 0 0 0 0 0 0 0
"77" 0 0 0 0 0 0 0 0 0 0
"78" 0 0 0 0 0 0 0 0 0 0
"79" 0 0 0 0 0 0 0 0 0 0
"80" 0 0 0 0 0 0 0 0 0 0
"81" 0 0 0 0 0 0 0 0 0 0
"82" 0 0 0 0 0 0 0 0 0 0
"83" 0 0 0 0 0 0 0 0 0 0
"84" 0 0 0 0 0 0 0 0 0 0
"85" 0 0 0 0 0 0 0 0 0 0
"86" 0 0 0 0 0 0 0 0 0 0
"87" 0 0 0 0 0 0 0 0 0 0
"88" 0 0 0 0 0 0 0 0 0 0
"89" 0 0 0 0 0 0 0 0 0 0
"90" 0 0 0 0 0 0 0 0 0 0
"91" 0 0 0 0 0 0 0 0 0 0
"92" 0 0 0 0 0 0 0 0 0 0
"93" 0 0 0 0 0 0 0 0 0 0
"94" 0 0 0 0 0 0 0 0 0 0
"95" 0 0 0 0 0 0 0 0 0 0
"96" 0 0 0 0 0 0 0 0 0 0
"97" 0 0 0 0 0 0 0 0 0 0
"98" 0 0 0 0 0 0 0 0 0 0
"99" 0 0 0 0 0 0 0 0 0 0
"100" 0 0 0 0 0 0 0 0 0 0
"101" 0 0 0 0 0 0 0 0 0 0
"102" 0 0 0 0 0 0 0 0 0 0
"103" 0 0 0 0 0 0 0 0 0 0
"104" 0 0 0 0 0 0 0 0 0 0
"105" 0 0 0 0 0 0 0 0 0 0
"106" 0 0 0 0 0 0 0 0 0 0
"107" 0 0 0 0 0 0 0 0 0 0
"108" 0 0 0 0 0 0 0 0 0 0
"109" 0 0 0 0 0 0 0 0 0 0
"110" 0 0 0 0 0 0 0 0 0 0
"111" 0 0 0.0336668081617294 10.9585460566429 0 0 0 3.47609794269856 55.0929699406286 0
"112" 0 0 0.0336668081617294 10.9585460566429 0 0 0 3.47609794269856 55.0929699406286 0
"113" 0 0 7.70480439705024 20.0343766031459 0 0 0 13.7547494050031 104.785066167778 0
"114" 0 0 14.6727558696373 23.3734393703369 0 0 0 21.2612864986597 138.108266957076 0
"115" 0 0 14.6727558696373 35.5743419616322 0 0 0 24.0377245093211 145.023145090731 0
"116" 0 0 30.3415592798167 42.6892103539587 0 0 0 31.6660684132571 0 0
"117" 0 0 55.4969460368764 75.8462136140832 0 1.87551027978079 0 38.6634879324392 0 0
"118" 0 0 68.8914025979071 75.6303114184789 0 1.87551027978079 0 42.3894411200844 0 0
"119" 0 0 90.8921452447597 112.850688271127 0 3.61706046253355 0 50.6597011666833 0 0
"120" 0 0 119.494188533543 156.455664890168 10.3072713001966 13.3269307322698 0 57.6299526965445 0 0
"121" 0 0 163.61415716932 156.455664890168 32.8392322826991 36.0055577611024 0 78.6000292821345 0 0
"122" 0 0 200.117288187343 200.032544333557 32.8392322826991 46.4542530190845 0 94.2392063437137 0 0
"123" 0 0 237.635032743547 230.729393361471 32.8392322826991 71.7811806221241 0 118.694442157515 0 0
"124" 0 0 273.884659422889 246.965487626683 32.8392322826991 104.70100334316 0 154.358321876036 0 0
"125" 0 0 308.271280275305 277.065138304707 58.3166946925489 131.564731231254 0 182.657772128174 33.2745457622569 0
"126" 0 0 349.27265472938 309.111046028236 58.3166946925489 166.724421064759 0 222.568570393206 0 0
"127" 242.912296480922 0 380.417144608434 332.831154603753 82.3214063887251 196.007746786868 0 253.955980053795 0 0
"128" 242.881782809512 0 395.518561675439 332.831154603753 109.271619512249 212.144269952133 0 272.698577046302 0 0
"129" 247.736584450454 0 426.126284445472 375.490265244965 109.271619512249 242.495540844888 0 298.667334307561 0 0
"130" 253.838836758516 0 436.148612259762 397.463741016805 109.271619512249 265.51592654561 0 308.180423159052 0 0
"131" 260.336806501926 0 461.509962936888 0 0 289.917017105923 0 308.043364079407 0 0
"132" 266.887475315213 0 468.341677347019 0 0 302.480053147405 0 293.889048006152 0 0
"133" 277.023530682043 0 466.55066837199 527.872816450447 0 312.695136202856 0 282.721686294171 0 0
"134" 286.760567687938 0 469.775976516391 527.872816450447 0 322.644267691546 0 272.823630853147 0 0
"135" 294.064142925449 0 0 527.872816450447 0 330.276707694543 0 268.747505009094 0 0
"136" 300.231378010342 0 496.040683493988 527.872816450447 0 330.34084450316 0 267.393761860446 0 0
"137" 304.231161772152 0 496.158521879424 527.872816450447 0 327.802769097881 0 267.08088133054 0 0
"138" 305.830224651163 0 496.158521879424 527.872816450447 0 327.437601484552 0 267.317318334058 0 0
"139" 308.851532041478 0 502.468396292052 0 0 325.805092299795 0 264.833194106524 0 0
"140" 310.103076969337 0 505.471510511133 0 0 327.003111628697 0 264.351463715916 0 0
"141" 312.288082771597 0 512.407262438263 0 0 329.450338014192 0 266.835638056704 0 0
"142" 310.583098762187 0 512.407262438263 0 0 332.487386434671 0 261.329110046607 0 0
"143" 307.725732889515 0 516.498907174332 0 0 335.529679879894 0 259.288609193708 0 0
"144" 303.309661627331 0 523.239756144156 509.365393398587 0 334.662891307199 0 265.443565049032 0 0
"145" 297.476995356598 0 523.157993421946 518.818991666343 0 331.615837408207 366.9459510859 272.062780537205 0 0
"146" 290.668830506514 0 532.943810307727 530.07324079773 0 331.069842031229 366.9459510859 277.691003765358 0 0
"147" 286.059660364584 0 539.098129354178 530.07324079773 0 327.226735080948 366.9459510859 276.262580662338 0 0
"148" 278.032594499772 0 538.572058957873 512.17478693224 0 324.399972675421 366.9459510859 272.225379121588 0 0
"149" 277.071141635977 0 538.572058957873 512.17478693224 0 321.697796349938 366.9459510859 273.661580663616 0 0
"150" 274.620520905012 0 530.224404547819 502.548563905025 174.907409110425 319.819185275854 366.627955308632 270.462111180263 0 0
"151" 274.447006756448 0 530.224404547819 500.844356531635 174.907409110425 331.67476453358 366.627955308632 269.451718595009 0 0
"152" 275.453752422425 0 533.88025419407 491.701612064147 174.907409110425 359.603972280665 366.309959531365 286.245504049991 0 0
"153" 275.704639092269 0 513.529095727711 461.261548565968 174.907409110425 365.172275816727 366.309959531365 284.574456695809 0 0
"154" 275.501156428558 0 513.529095727711 461.261548565968 174.907409110425 395.79565987634 366.309959531365 312.814106289544 0 0
"155" 327.086204078509 0 654.521631402566 461.261548565968 174.907409110425 420.453211980293 366.309959531365 331.743749217733 0 0
"156" 341.555590965267 0 654.521631402566 464.043671796166 174.907409110425 451.44106784977 366.309959531365 355.957620543675 0 0
"157" 405.813342424749 0 795.514167077421 659.202365623303 258.376680455303 494.030633415328 0 396.894667092253 0 0
"158" 533.426394678312 0 795.514167077421 659.202365623303 258.376680455303 519.594757120116 0 423.252114434234 393.977885690278 0
