"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 5.68701864624724 -0.984689825840938 8.21593271520322 0.327335398189495 0.895400138517791 1.41830240752479
"15356000" 12.3712786679259 7.32667093103188 11.1679800265359 8.92567592225506 9.66218580628307 9.54977003563437
"15485500" 2.68228930587841 8.61895587051678 -2.81867851374451 4.86171733741765 5.24943817729878 6.18609597318085
"15515500" 17.3606802243741 6.78265099533879 10.7713025423124 9.38220795813951 9.27456140088348 9.72222624194495
"15484000" NA 18.8433778148444 12.7462333959702 NA 14.6055278601899 NA
"15493400" NA -13.5823368863121 59.1872685200049 NA 37.0744983070883 NA
"15514000" NA 14.8504692305504 45.1276166620598 NA 20.5379669803619 NA
"15477740" NA NA 43.8431409467909 NA NA NA
"15493700" NA NA 13.4310337529902 NA NA NA
"15511000" NA NA 37.7001350510533 NA NA NA
"15519100" NA NA 108.217514949477 NA NA NA
