"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 24.4886431702825 16.8791593132574 25.1423476613217 16.8127503144797 18.5663170374502 18.3735884694337
"15356000" 16.3850102776604 16.4697292770483 21.7338275033851 16.7433902241265 19.662814648402 19.3159191955871
"15485500" 15.9815546677301 16.7416519080589 23.7040190004897 14.1118008593439 27.6601729407254 27.5550803605522
"15515500" 31.3049037097024 21.5278496139755 27.3061345795522 24.7324877678262 27.8606594046845 28.5757232512713
"15484000" NA 36.8308027662506 28.9959218507708 NA 37.3682900072204 NA
"15493400" NA 28.2586293678755 105.188896823299 NA 85.6342981800851 NA
"15514000" NA 54.8076469132138 128.155833337656 NA 70.0450349661976 NA
"15477740" NA NA 86.6565906153638 NA NA NA
"15493700" NA NA 56.40508639574 NA NA NA
"15511000" NA NA 71.4270281989824 NA NA NA
"15519100" NA NA 299.816578798744 NA NA NA
