"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" 17.6580224331808 16.7219418740242 24.5197292647136 16.7620183551364 18.4508785863875 18.0593374031409
"15356000" 18.5273708047521 17.0543979825785 21.9525999242028 17.2952630748553 19.8838082030823 19.5584788531026
"15485500" 21.4013244369805 13.0011712890918 23.7242983195339 18.4278315373158 26.6039673007242 27.0893279572722
"15515500" 47.0327420028246 23.0410178141841 23.42396402013 25.1257113488503 27.93486559797 29.273911695117
"15484000" NA 34.7766811608401 27.746762032173 NA 41.1151508255756 NA
"15493400" NA 28.1554568258354 108.528043955913 NA 77.7305526372031 NA
"15514000" NA 53.441124258808 117.319587013764 NA 68.3486308764649 NA
"15477740" NA 66.992681924765 86.1730566291232 NA 97.33801754386 NA
"15493700" NA 57.2439286254458 52.1011305414178 NA 56.3322479885086 NA
"15511000" NA NA 74.4368014826712 NA NA NA
"15519100" NA NA 317.095685097633 NA NA NA
