"2016-05-31" "2016-08-18" "2016-08-19" "2016-08-31" "2016-09-01" "2016-09-07" "2016-09-09" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-19" "2017-08-06" "2017-08-08" "2017-08-21" "2017-09-02" "2017-09-15" "2018-05-28" "2018-06-02" "2018-06-07" "2018-06-24" "2018-06-27" "2018-07-04" "2018-07-07" "2018-07-23" "2018-07-24" "2018-08-18" "2018-09-08"
"16" 32.8219647361665 48.2102827583893 48.2102827583893 45.5983894971171 45.5983894971171 54.098824503921 54.098824503921 39.6389758455589 37.0270825842867 28.8005158909203 37.1457772580901 34.0772939678572 7.42735627943517 0 48.2102827583893 49.0194575334501 51.1597900455634 48.7019332546288 45.6462122648939 44.861714867135 NA 44.861714867135 10.5408720985402 37.1457772580901 39.7576705193622 0 0
"17" 32.8219647361665 48.2102827583893 48.2102827583893 45.5983894971171 45.5983894971171 54.098824503921 54.098824503921 39.6389758455589 37.0270825842867 28.8005158909203 37.1457772580901 34.0772939678572 7.42735627943517 0 48.2102827583893 49.0194575334501 51.1597900455634 48.7019332546288 45.6462122648939 44.861714867135 NA 44.861714867135 10.5408720985402 37.1457772580901 39.7576705193622 0 0
"18" 20.9251651772034 49.6789318457638 49.6789318457638 49.6789318457638 49.6789318457638 52.4172519042377 52.4172519042377 29.7097725750838 29.7097725750838 27.0850698175738 36.5472879883707 38.4649265441004 15.5517514647492 0 49.6789318457638 49.6789318457638 48.0764396060851 49.6789318457638 39.2856080468446 40.9221831436045 NA 40.9221831436045 9.03536474143169 36.5472879883707 36.5472879883707 0 0
"19" 13.7809776531392 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 24.0296862839996 24.0296862839996 31.5535548156492 37.4025420131067 42.5065863608795 21.0877813667413 0 52.7227931800653 52.7227931800653 47.6585121655539 52.7227931800653 37.4025420131067 42.5065863608795 NA 42.5065863608795 10.5412588650036 37.4025420131067 37.4025420131067 0 0
"20" 13.7809776531392 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 52.7227931800653 24.0296862839996 24.0296862839996 31.5535548156492 37.4025420131067 42.5065863608795 21.0877813667413 0 52.7227931800653 52.7227931800653 47.6585121655539 52.7227931800653 37.4025420131067 42.5065863608795 NA 42.5065863608795 10.5412588650036 37.4025420131067 37.4025420131067 0 0
"21" 5.04636991035276 47.802429151149 47.802429151149 39.8906786660389 39.8906786660389 47.802429151149 47.802429151149 13.7253976466027 13.7253976466027 25.1884082476646 26.8646144702762 31.1339299638797 18.0752411714925 0 39.8906786660389 39.8906786660389 43.8838449315045 47.802429151149 34.7763649553863 39.0456804489897 NA 39.0456804489897 6.96776303450321 33.6592198310001 33.6592198310001 0 0
"22" 5.04636991035276 47.802429151149 47.802429151149 39.8906786660389 39.8906786660389 47.802429151149 47.802429151149 13.7253976466027 13.7253976466027 25.1884082476646 26.8646144702762 31.1339299638797 18.0752411714925 0 39.8906786660389 39.8906786660389 43.8838449315045 47.802429151149 34.7763649553863 39.0456804489897 NA 39.0456804489897 6.96776303450321 33.6592198310001 33.6592198310001 0 0
"23" NA 42.3921083236002 42.3921083236002 18.6711759763053 18.6711759763053 44.9741429496597 44.9741429496597 0.123202698907465 0.123202698907465 21.9024454541357 13.5204467803567 13.5204467803567 10.2453188154796 0 18.6711759763053 18.6711759763053 50.606713985769 48.7468320593677 40.9835036333779 31.9160225529405 NA 31.9160225529405 0.123202698907465 27.8847178982623 27.8847178982623 0 0
"24" NA 38.8567185032755 38.8567185032755 7.22880870688227 7.22880870688227 42.2994313380215 42.2994313380215 NA NA 18.4869068427421 7.22880870688227 7.22880870688227 2.94407132453391 0 7.22880870688227 7.22880870688227 51.9347726089877 47.3296834842988 43.8462178442439 31.7562430703275 NA 31.7562430703275 NA 26.3811701974232 26.3811701974232 0 0
"25" NA 39.4082200933451 39.4082200933451 6.61880305620225 6.61880305620225 44.3228237163512 44.3228237163512 NA 0.422681307446012 19.9142277350896 6.61880305620225 6.61880305620225 2.52348970674335 0 6.61880305620225 6.61880305620225 54.5453945704033 48.4583512017245 41.7212269066655 29.0424500557845 NA 29.0424500557845 0.422681307446012 24.0125634287062 24.4352447361522 0 0
"26" NA 41.0245365178355 41.0245365178355 5.00871121357757 5.00871121357757 48.081263662451 48.081263662451 0.766933112674916 3.43752181934051 21.3840794081364 5.00871121357757 5.00871121357757 0.766933112674916 0 5.00871121357757 5.00871121357757 58.3743571015766 50.074667626215 41.0896359319365 27.4323582131598 NA 27.4323582131598 3.43752181934051 20.1545641868619 22.8251528935275 0 0
"27" NA 40.9064069275052 40.9064069275052 9.26980480987766 9.26980480987766 48.9146956390458 48.9146956390458 4.09286144079116 7.89501408992023 23.5982519801166 8.7787849042704 9.26980480987766 4.09286144079116 0 8.7787849042704 9.26980480987766 56.0874999382786 48.8252716473372 40.8406139384417 28.8904959345121 NA 28.8904959345121 7.40399418431297 21.0570386307048 24.3681713742266 0 0
"28" NA 43.095572430686 43.095572430686 14.4345829869311 14.4345829869311 50.2686908134087 50.2686908134087 7.55165525291012 13.2125467914134 27.170980471588 12.2564858929776 14.4345829869311 7.55165525291012 0 12.2564858929776 14.4345829869311 56.5898773291512 50.1345632927589 42.4975244345436 31.8751973199395 NA 31.8751973199395 11.0344496974599 23.1704892053637 26.1137183107164 0 0
