"2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15"
"82" 529.976867692972 529.976867692972 528.223026235617 535.873148815903 NA 525.566750547673 535.873148815903 538.833770022132 542.335031594473 535.873148815903 529.976867692972 541.024025399306 539.036779121793 535.873148815903 528.39428683205 526.643333347474 529.976867692972 0 527.149331408596 460.278816941229 529.976867692972 529.976867692972 532.539614470404
"83" 539.226787987458 537.509274960458 537.585522815891 547.246693592048 NA 535.224898027996 547.246693592048 548.083690316618 553.708576370619 545.529180565048 539.226787987458 550.44292278208 550.410323897939 547.246693592048 536.367086494227 532.45866590677 539.226787987458 0 538.084599521227 496.426549649933 539.226787987458 539.226787987458 540.47857151136
"84" 550.508775139677 547.581943922828 550.145006763275 560.685157236655 NA 545.42546743044 560.685157236655 558.958761871541 565.597935951699 558.967644209656 550.508775139677 563.280679900002 561.691320439665 560.685157236655 548.791262112677 543.673523335371 549.299456949828 0 549.299456949828 531.685971781751 550.508775139677 550.644083468611 553.038055458744
"85" 564.173225113841 557.338917365267 562.862189699445 575.559064232544 NA 550.868992753441 575.559064232544 573.367801114703 579.060368210137 573.841551205544 564.173225113841 575.998522889442 575.559064232544 575.559064232544 562.455712086841 553.430496777809 558.388268820824 0 559.056430392266 561.610061411725 564.173225113841 565.957793017854 565.755238394914
"86" 577.849296195784 567.30978877017 575.353950382334 590.20796171371 NA 556.525590561791 590.20796171371 587.043872196646 593.709265691302 586.333311888434 577.849296195784 588.49044868671 590.20796171371 590.20796171371 576.131783168784 563.401368182713 568.291465345781 0 571.624325315094 577.815179393214 577.849296195784 579.633864099797 578.246999077803
"87" 589.065663763541 572.929163818687 582.728156172498 599.26719248319 NA 558.436217163369 599.26719248319 596.103102966127 602.768496460783 593.707517678597 589.065663763541 597.549679456191 599.26719248319 599.26719248319 587.348150736541 569.02074323123 573.910840394299 0 582.840692882852 576.465833044857 589.065663763541 590.850231667554 585.621204867967
"88" 599.021364618519 581.871218307118 589.149426261856 606.148824275742 NA 566.98737014545 606.148824275742 603.380245948312 609.212465256136 598.756367579693 596.493623376488 602.118259135087 606.148824275742 606.148824275742 594.990799477864 575.576459856793 572.404687116649 0 590.632898851925 525.518390862192 599.021364618519 600.16898653057 591.680843870392
"89" 603.675551670092 584.432482247461 594.703712968626 609.330138015713 NA 569.548634085793 609.330138015713 606.739192650486 612.393778996107 601.937681319664 601.147810428062 605.299572875058 609.330138015713 609.330138015713 599.644986529437 581.762731207371 572.521768122898 0 594.240624347883 472.375701226709 603.675551670092 603.776712026528 595.347780353751
"90" 606.594382746645 586.319816433495 598.828285461905 610.933142659981 NA 569.309704248731 610.933142659981 610.095686724238 614.434446637574 604.202133748638 603.705535612896 608.044295526232 610.933142659981 610.933142659981 603.705535612896 585.426139490559 570.990058692709 0 595.811608664121 456.53741081135 606.594382746645 606.709994582572 598.828285461905
"91" 610.824746284998 585.509554558835 600.795522755797 613.007029705946 NA 572.650226638267 613.207294921525 612.575498757005 614.757782177953 606.476286010182 607.935899151249 610.118182572197 613.007029705946 613.007029705946 607.935899151249 590.865821218761 571.773574158699 0 599.123472476796 383.380159111159 610.824746284998 608.677231876464 600.795522755797
"92" 610.454582721798 581.905458375694 600.633341943168 612.364080715127 NA 574.960537649751 614.981647349762 612.593418588078 614.502916581407 608.485087099064 607.926841479768 609.836339473097 612.364080715127 612.364080715127 607.926841479768 592.990523288841 572.358059612398 0 599.170297949042 342.645707735125 610.454582721798 607.529837423752 600.633341943168
"93" 608.97264509708 577.24215498611 602.477319883445 612.350130447089 NA 580.642703750861 618.60376240208 613.967675477129 614.818898576448 610.216156131357 608.9419607618 609.79318386112 612.350130447089 612.32092510315 608.9419607618 594.927627629382 573.105580683681 0 601.107402289583 272.246481824042 611.498907347769 605.853326124214 601.22879143007
"94" 604.097870761452 568.396527370883 602.654097155447 612.32583062415 NA 581.098550926075 620.382688328394 616.218198029235 616.510218393487 610.772559876886 608.08246643463 608.374486798881 612.617850988402 610.61020767666 608.08246643463 593.586923375416 571.444465476141 0 597.494302457433 197.442468699364 612.32583062415 603.132201974941 599.251918515717
"95" 597.834178776707 556.4846029155 602.590023629929 614.281717237693 NA 581.116873824345 625.620349061176 618.730137129219 621.194669135568 614.926583476133 608.036371544176 610.500903550525 616.746249244043 610.190210850499 608.036371544176 595.99103217041 571.901922375054 0 593.153045846744 88.83537731626 614.281717237693 599.788874042397 595.64350273425
"96" 591.643203536945 540.232624675736 605.739037071062 617.71006573598 NA 576.749302323683 631.028377059497 620.353227228797 626.498044473094 622.174492798393 613.409254027197 617.748812872785 622.049624581568 613.304601366402 611.499342967693 597.683368120448 571.930211228686 0 591.411610426672 48.0813590691573 617.71006573598 597.594205053917 595.00757827664
"97" 576.149458123632 509.385914392601 614.28526135772 624.961836941083 NA 562.684293056786 641.44088177643 613.221466871577 632.680520372483 623.020691601946 618.899036601467 619.148221667039 628.788152967398 608.105223143166 600.677997752267 581.434656975513 556.28333642083 0 571.642155620044 23.8276321355212 622.662246846652 582.957901647122 582.439445148868
