"Landsat" "Sentinel-2" "Planet" "LS-ST" "ST-PL" "LS-ST-PL"
"15453500" -2.59580296240286 -1.2748258419879 -2.1433188879952 -1.56264257664403 -2.05562782035186 -1.96261372475011
"15356000" -1.81055004209866 -2.02812336756956 -0.650657829575519 -0.411848717312817 -1.63438504627641 -1.33337611432894
"15485500" -1.0328611765892 -5.95931792013416 -7.46313904458252 -2.77598915257724 -5.90633230199001 -5.69245821613339
"15515500" 0.00641533113317505 -6.5522560312962 -3.55607593676869 -5.90126625180395 -6.00880995421693 -6.02283481173388
"15484000" NA -1.79898115270373 -1.00237239566887 NA -1.36081882949056 NA
"15493400" NA 0.258360775988056 -1.64284362704362 NA -0.321556950123977 NA
"15514000" NA -0.239633699722884 -3.98084979259044 NA -1.90017258379628 NA
"15477740" NA NA -1.8326038760697 NA NA NA
"15493700" NA NA -0.0955277730854633 NA NA NA
"15511000" NA NA -7.76318358000139 NA NA NA
"15519100" NA NA -2.30703996436789 NA NA NA
