"plID" "ID"
1 34
2 35
3 32
4 31
5 33
6 29
7 30
8 28
9 27
10 26
11 18
12 19
13 17
14 16
15 15
16 14
17 20
18 21
19 22
20 23
21 24
22 25
23 38
24 37
25 36
26 39
27 40
28 41
29 42
30 43
31 44
32 45
33 46
34 47
35 48
36 49
37 52
38 51
39 50
40 54
41 55
42 53
43 58
44 57
45 56
46 8
47 13
48 12
49 11
50 10
51 9
52 5
53 7
54 6
55 59
56 60
57 61
58 63
59 62
60 65
61 64
62 66
63 72
64 70
65 69
66 68
67 67
68 71
69 73
70 74
71 75
72 76
