"2016-05-31" "2016-08-31" "2016-09-01" "2017-06-27" "2017-07-12" "2017-07-17" "2017-08-06" "2017-08-21" "2017-09-02" "2017-09-15" "2018-05-28" "2018-06-02" "2018-06-27" "2018-07-04" "2018-07-07" "2018-07-23" "2018-07-24" "2018-08-18"
"5" 34.2273270863634 37.7795169973379 37.7795169973379 29.6807967413817 NA 26.1286068304071 29.6807967413817 3.50731487994553 29.6807967413817 26.9016088523562 29.6807967413817 35.1541295102973 NA 29.6807967413817 NA 24.8232595630263 3.50731487994553 21.2710696520518
"6" 36.5810101164833 40.1332000274579 40.1332000274579 29.6175091386247 NA 26.0653192276502 29.6175091386247 8.54638649461503 29.8315581983629 26.2777200657694 29.8315581983629 35.0908419075403 NA 29.8315581983629 NA 23.3062220962143 8.33233743487685 19.7540321852398
"7" 43.7375290390884 46.228340845154 46.228340845154 33.0186798936816 NA 30.527868087616 33.0186798936816 22.8489113493693 37.1832144768019 32.0808799925614 37.1832144768019 37.8078460664827 NA 33.5178704998921 NA 24.1118304694418 18.684376766249 21.6210186633762
"8" 46.3363152806242 46.8371397344364 46.8371397344364 32.2882310189482 NA 31.4741322343721 32.2882310189482 29.1143979646479 37.7920133660844 34.6796662340972 37.7920133660844 37.0773971917494 NA 33.1006959559227 NA 23.0681072639446 23.6106156175117 22.5672828101323
"9" 48.3947090449234 48.3947090449234 48.3947090449234 33.4755539179036 NA 33.1175261113163 33.4755539179036 33.2735976738833 39.7655908860592 38.4891626588259 39.7655908860592 37.2407175675668 NA 34.4040852744459 NA 22.9382696264708 26.9835607057277 22.9382696264708
"10" 48.8245777434618 48.8245777434618 48.8245777434618 36.181570853816 NA 33.5467684619633 36.181570853816 36.1485836207674 42.4716078219716 42.4716078219716 42.4716078219716 37.6705862661052 NA 37.1101022103582 NA 24.5368273461217 29.8585466526118 24.5368273461217
"11" 47.7642697586032 47.7642697586032 47.7642697586032 37.0025937192149 NA 32.2532950868146 37.0025937192149 37.1287565338447 43.2926306873705 43.2926306873705 43.2926306873705 37.0025937192149 NA 37.9311250757572 NA 25.517000259199 30.8387195656891 25.517000259199
"12" 46.1369112180123 46.1369112180123 46.1369112180123 36.7204446835476 NA 32.5336186123033 36.7204446835476 36.7996473784546 42.2242270306837 42.2242270306837 42.2242270306837 36.7204446835476 NA 37.5329096205221 NA 26.6393606381397 31.2958650313185 26.6393606381397
"13" 43.8404591343792 43.8404591343792 43.8404591343792 36.9330940935292 NA 33.4854773008052 37.2071004752446 38.103721894322 42.0993514504767 45.0574141737631 42.0993514504767 37.2071004752446 NA 37.929291530333 NA 29.0723559029309 33.2114709190899 29.0723559029309
"14" 42.0823321956697 42.0823321956697 42.0823321956697 36.4765170897407 NA 34.5673644078004 38.7541904790447 35.6178327351214 42.0823321956697 46.0511784276789 42.0823321956697 38.7541904790447 NA 39.0674648098086 NA 30.893565459606 32.2896910184964 30.893565459606
"15" 40.2062192144193 41.8613045014254 41.8613045014254 34.9342127740935 NA 34.6801453791592 38.8669714504035 32.086634466865 40.2062192144193 45.8301507334346 40.2062192144193 38.8669714504035 NA 39.1802457811675 NA 30.7473867028492 30.7473867028492 30.7473867028492
"16" 37.6609513649896 41.3054771541934 41.3054771541934 33.7281926886795 NA 32.8589940568169 37.6609513649896 28.9262353805069 37.6609513649896 45.6800132141017 37.6609513649896 38.0666411928887 NA 37.6609513649896 NA 28.9262353805069 28.9262353805069 28.9262353805069
"17" 38.1069211828119 41.9763611228267 41.9763611228267 34.6111356927585 NA 32.0735182857326 38.1069211828119 28.5777327956792 38.1069211828119 48.3427541363327 38.1069211828119 40.2325307640925 NA 38.1069211828119 NA 28.5777327956792 28.5777327956792 28.5777327956792
"18" 37.1877099762227 41.0571499162376 41.0571499162376 33.6919244861694 NA 32.2104474731334 37.1877099762227 28.71466198308 37.1877099762227 50.6847236405799 37.1877099762227 40.805136265652 NA 37.1877099762227 NA 28.71466198308 28.71466198308 28.71466198308
"19" 37.2581656187917 41.1276055588066 41.1276055588066 33.7623801287384 NA 33.9255113027951 37.2581656187917 30.3189505578457 37.2581656187917 52.1883341433652 37.2581656187917 40.875591908221 NA 37.2581656187917 NA 30.3189505578457 30.3189505578457 30.4297258127417
"20" 37.5722611419062 41.9253810744229 41.9253810744229 33.6395024655962 NA 33.8542148043039 37.5722611419062 29.7968339662359 37.5722611419062 54.3687007320514 37.5722611419062 41.6418657175141 NA 37.5722611419062 NA 29.7968339662359 29.7968339662359 29.9214561279938
"21" 38.4633686651014 43.8343193845743 43.8343193845743 34.5306099887913 NA 34.745322327499 39.4811994520576 29.3515529752595 39.4811994520576 54.9460368000254 39.4811994520576 43.5508040276654 NA 38.4633686651014 NA 29.7244986071214 29.7244986071214 30.812563651189
"22" 39.6475180524742 48.0586361601782 48.0586361601782 36.023016555594 NA 35.9294717148719 42.6531505932738 29.7604127036927 43.7055162276615 57.2052140567647 43.7055162276615 47.7751208032694 NA 39.6475180524742 NA 31.65344202967 32.7058076640577 32.3049702179916
"23" 35.4868766358098 47.8114383347895 47.8114383347895 35.4868766358098 NA 31.2376808214071 40.1951609415703 28.3296150907797 44.7279701684916 57.5320694528174 44.7279701684916 49.3789468263292 NA 35.4868766358098 NA 31.7663528653148 36.2991620922361 31.2376808214071
"24" 35.4355890682034 50.0449233074796 50.0449233074796 35.4355890682034 NA 32.2474281883063 40.143873373964 29.3393624576789 49.2351014294077 59.3019089079085 49.2351014294077 53.4224325696463 NA 35.4355890682034 NA 32.776100232214 41.8673282876577 32.2474281883063
